T-R Separation Distance (m)	Received Power (dBm)	Path Loss (dB)	RMS Delay Spread (ns)	
           60.0	                      -93	            123.2	            29.6
           60.0	                      -78	            108.1	            16.8
           60.0	                      -86	            115.6	            39.6
           60.0	                      -84	            113.6	            45.7
           60.0	                      -77	            106.6	            35.0
           60.0	                      -82	            112.4	            40.9
           60.0	                      -86	            116.0	             4.2
           60.0	                      -77	            106.5	            46.7
           60.0	                      -76	            105.6	            36.2
           60.0	                      -86	            116.3	            22.4
           60.0	                      -97	            126.6	            32.3
           60.0	                      -96	            126.5	            57.0
           60.0	                      -83	            112.7	            10.3
           60.0	                      -89	            118.7	            48.2
           60.0	                      -91	            121.0	            13.8
           60.0	                      -96	            126.0	            40.3
           60.0	                      -87	            117.0	            34.4
           60.0	                      -84	            113.6	             5.7
           60.0	                      -82	            112.2	            13.2
           60.0	                      -89	            118.9	           104.0
           60.0	                     -102	            131.7	            26.0
           60.0	                      -76	            105.8	            17.0
           60.0	                      -84	            113.7	            16.6
           60.0	                      -84	            114.1	            11.2
           60.0	                      -89	            118.7	            29.0
           60.0	                      -86	            116.2	            47.1
           60.0	                      -99	            129.1	            40.3
           60.0	                      -79	            109.1	            36.0
           60.0	                      -96	            126.2	            22.7
           60.0	                     -100	            130.5	            36.6
           60.0	                      -87	            117.4	            70.6
           60.0	                      -78	            108.4	            59.2
           60.0	                      -76	            105.8	            12.0
           60.0	                      -83	            112.7	             3.2
           60.0	                      -88	            117.6	            16.1
           60.0	                      -93	            122.9	            35.9
           60.0	                      -86	            116.0	            23.7
           60.0	                      -86	            115.5	            26.8
           60.0	                      -86	            116.3	            20.2
           60.0	                      -88	            118.3	            22.3
           60.0	                      -87	            116.9	            30.8
           60.0	                      -87	            117.2	            27.9
           60.0	                      -81	            111.0	            24.4
           60.0	                      -87	            117.2	            20.2
           60.0	                      -93	            122.6	            40.2
           60.0	                      -79	            109.0	            36.8
           60.0	                      -84	            113.7	            39.5
           60.0	                      -88	            118.4	            55.3
           60.0	                      -84	            113.9	            27.1
           60.0	                      -79	            108.9	            47.9
           60.0	                      -83	            113.1	            35.4
           60.0	                      -89	            118.8	            54.6
           60.0	                      -84	            114.2	            50.4
           60.0	                      -92	            122.4	            13.1
           60.0	                      -77	            107.0	            36.6
           60.0	                      -79	            109.2	            63.7
           60.0	                      -86	            115.5	            15.2
           60.0	                      -87	            117.1	            35.9
           60.0	                      -86	            115.7	            25.2
           60.0	                      -89	            119.1	            14.7
           60.0	                      -81	            111.1	            42.3
           60.0	                      -89	            118.6	            15.8
           60.0	                      -81	            110.8	            42.9
           60.0	                      -99	            128.5	            14.8
           60.0	                      -87	            117.0	             0.0
           60.0	                      -82	            112.5	            34.3
           60.0	                      -87	            117.3	            11.6
           60.0	                      -74	            104.3	            27.2
           60.0	                      -97	            127.0	            52.5
           60.0	                      -63	             93.2	            51.6
           60.0	                      -91	            120.9	            13.7
           60.0	                      -95	            124.5	             5.0
           60.0	                      -81	            111.5	             9.6
           60.0	                      -81	            110.5	            28.8
           60.0	                      -85	            115.0	            11.7
           60.0	                      -92	            121.5	            30.7
           60.0	                      -74	            104.1	            26.1
           60.0	                      -86	            116.4	            22.9
           60.0	                      -84	            114.2	            18.8
           60.0	                      -85	            115.2	            16.0
           60.0	                      -99	            129.2	            50.1
           60.0	                      -85	            114.8	            35.7
           60.0	                      -89	            119.3	            11.6
           60.0	                      -92	            122.2	            47.2
           60.0	                      -95	            124.7	            34.4
           60.0	                      -83	            112.9	            31.0
           60.0	                      -86	            115.6	            21.8
           60.0	                      -93	            122.8	            19.2
           60.0	                      -91	            120.8	            20.7
           60.0	                      -87	            116.6	            18.3
           60.0	                      -98	            128.4	            22.0
           60.0	                      -79	            108.6	            13.8
           60.0	                      -79	            108.6	            54.8
           60.0	                      -92	            122.5	             9.2
           60.0	                      -95	            124.5	            13.3
           60.0	                      -95	            125.2	            50.1
