-0.10191+0.074205i,0.11547-0.086511i,-0.13709+0.10709i,0.18059-0.15092i,-0.34525+0.32801i,-0.33143+0.4427i,-0.016338-0.087705i,0.50183+0.10242i,0.034988+0.028852i,0.016517-0.06338i,-0.072294-0.092306i,0.073712-0.011541i,-0.088161+0.031439i
0.075401-0.097468i,-0.090004+0.1084i,0.11473-0.12514i,-0.1677+0.15724i,0.38091-0.27265i,0.53508-0.18426i,-0.094642-0.061192i,-0.20887+0.4729i,-0.06933-0.018987i,0.034316+0.092424i,0.0060697+0.051682i,-0.0061673+0.060956i,0.014943-0.087896i
-0.026733+0.077686i,0.039223-0.083446i,-0.062147+0.091131i,0.11523-0.1032i,-0.34473+0.13545i,-0.69257-0.043966i,0.23552+0.12036i,-0.41454-0.49551i,0.060842+0.043986i,-0.07168-0.11063i,0.057184-0.038512i,-0.064513-0.071682i,0.065987+0.096394i
-0.0086865-0.02014i,-0.0014432+0.017772i,0.021317-0.012601i,-0.069856-0.00074277i,0.28835+0.061605i,0.72278+0.21488i,-0.29338-0.08649i,0.65421-0.021585i,-0.073561-0.10228i,0.10284+0.11866i,-0.1053+0.05095i,0.11472+0.046492i,-0.12213-0.060554i
0.011889-0.042584i,-0.0029264+0.052582i,-0.014482-0.069603i,0.056351+0.10601i,-0.24089-0.25074i,-0.59515-0.35834i,0.22123+0.048766i,-0.24309+0.42468i,0.12297+0.12416i,-0.12184-0.10037i,0.12448-0.086839i,-0.12561+0.0018331i,0.13041+0.0011846i
0.0057606+0.077417i,-0.013429-0.091482i,0.027289+0.11515i,-0.05837-0.16563i,0.18598+0.36834i,0.35857+0.50222i,-0.084293-0.083594i,-0.3222-0.21587i,-0.14311-0.070118i,0.10204+0.057148i,-0.10024+0.13001i,0.088955-0.047906i,-0.086668+0.048824i
-0.016943-0.075867i,0.021026+0.090232i,-0.027687-0.11503i,0.041086+0.16972i,-0.09-0.3986i,-0.098-0.62272i,-0.014873+0.16951i,0.38991-0.34684i,0.071249-0.0037713i,-0.032002-0.025177i,0.038282-0.14906i,-0.020351+0.061559i,0.013991-0.05898i
0.0048309+0.054796i,-0.0028386-0.06772i,-0.0011195+0.090774i,0.010697-0.14328i,-0.052423+0.36943i,-0.13198+0.65929i,0.042959-0.21752i,0.060814+0.57501i,0.057311+0.0058613i,-0.052459+0.041339i,0.023804+0.12422i,-0.040039-0.031817i,0.044168+0.024079i
0.024381-0.036188i,-0.0327+0.047492i,0.047212-0.067861i,-0.078805+0.11429i,0.20551-0.31235i,0.32726-0.57401i,-0.053209+0.17497i,-0.41515-0.19414i,-0.13228+0.073834i,0.091584-0.093614i,-0.041112-0.075959i,0.053893-0.015098i,-0.052724+0.024553i
-0.051373+0.028506i,0.063795-0.037585i,-0.085222+0.053603i,0.13186-0.089022i,-0.32163+0.23394i,-0.497+0.38713i,0.10323-0.078725i,0.1937-0.33026i,0.092683-0.13793i,-0.063998+0.12147i,0.0054196+0.055373i,-0.020251+0.031059i,0.015911-0.038939i
0.06144-0.02567i,-0.075175+0.030706i,0.099138-0.03915i,-0.1524+0.056863i,0.37622-0.12538i,0.62343-0.15403i,-0.17971+0.0016393i,0.35625+0.37709i,-0.0039433+0.090054i,0.016244-0.077493i,0.040423-0.095581i,-0.018058+0.010517i,0.021664-0.0040148i
