0.0052151-0.0049831i,-0.0020334+0.0040546i,-0.0037923-0.0023245i,0.016151-0.0012806i,-0.05295+0.011427i,0.78932-0.1962i,0.12799-0.026894i,-0.070935-0.0017758i,-0.10709+0.35375i,-0.10518+0.088286i,0.122-0.082824i,0.17871-0.12076i,0.017578-0.00088926i
-0.010065-0.0042943i,0.009977+0.0084861i,-0.0094111-0.015595i,0.007614+0.029671i,-0.0012245-0.069058i,-0.13221+0.81892i,-0.03185+0.10691i,0.012339-0.039656i,0.26592-0.2467i,0.095697-0.075494i,-0.10953+0.031524i,-0.17356-0.23576i,-0.029286+0.087103i
0.010935+0.00031809i,-0.012146-0.0042254i,0.013825+0.01103i,-0.016556-0.024801i,0.023075+0.063969i,-0.13955-0.81638i,-0.0059638-0.11301i,0.0043338+0.04393i,-0.20506+0.30007i,-0.069109+0.099468i,0.091404-0.058332i,0.21492+0.22798i,0.005612-0.11538i
0.0018354+0.00048728i,0.0017055+0.00118i,-0.0079188-0.004032i,0.020575+0.009711i,-0.056764-0.025675i,0.75391+0.33149i,0.10704+0.047078i,-0.040878-0.022494i,-0.35798-0.015778i,-0.127-0.0098999i,0.12209-0.020222i,0.13589-0.23162i,0.020489+0.055714i
-0.0024067-0.0024268i,-0.0014152+0.002182i,0.0081338-0.0017042i,-0.021843+0.00066167i,0.06112+0.0024693i,-0.81959-0.065592i,-0.1178-0.01357i,0.047386+0.010962i,0.34872-0.071572i,0.12934-0.016941i,-0.12092+0.040607i,-0.10223+0.24705i,-0.030305-0.060832i
0.0051109+0.0034069i,-0.001604-0.0045327i,-0.0046854+0.006387i,0.017729-0.0099796i,-0.055586+0.019879i,0.79319-0.20608i,0.11966-0.022923i,-0.05241+0.0035049i,-0.31628+0.15207i,-0.12895+0.046271i,0.12041-0.064003i,0.060449-0.25331i,0.053501+0.057115i
-0.008583-0.0019237i,0.0058526+0.0041104i,-0.00076223-0.0078758i,-0.01011+0.015454i,0.042361-0.037001i,-0.67939+0.45205i,-0.11037+0.060845i,0.053039-0.021899i,0.26572-0.21842i,0.12189-0.079918i,-0.11534+0.09391i,-0.018584+0.24418i,-0.077794-0.033762i
0.010729-0.0020272i,-0.0090041-0.00079684i,0.0055793+0.0058486i,0.0020567-0.016338i,-0.025367+0.046904i,0.49327-0.64564i,0.087757-0.096161i,-0.045634+0.042103i,-0.20443+0.26762i,-0.10295+0.11519i,0.098569-0.12792i,-0.01236-0.22174i,0.085897-0.0066371i
-0.010081+0.0068893i,0.0093834-0.0038109i,-0.007797-0.0018936i,0.0039802+0.014062i,0.0081799-0.050241i,-0.25684+0.76791i,-0.052128+0.12275i,0.028652-0.059102i,0.13861-0.30104i,0.069786-0.14509i,-0.06634+0.15797i,0.02583+0.19616i,-0.067413+0.048559i
0.0067484-0.010513i,-0.0070072+0.007446i,0.0072546-0.0016224i,-0.0074544-0.011018i,0.0074883+0.049044i,-0.0045592-0.80838i,0.0076191-0.13463i,-0.0044476+0.067333i,-0.07083+0.32194i,-0.02554+0.16172i,0.021744-0.17458i,-0.024508-0.17981i,0.026501-0.072795i
-0.0023441+0.011507i,0.0035027-0.0086355i,-0.0055222+0.0031431i,0.0096728+0.0088244i,-0.021838-0.044876i,0.26488+0.76428i,0.038436+0.12867i,-0.021239-0.063717i,0.00034625-0.33207i,-0.021823-0.16056i,0.026119+0.17233i,0.019217+0.17978i,0.019862+0.068441i
-0.0010729-0.010089i,-0.00097218+0.0076107i,0.0046767-0.0029068i,-0.012485-0.0072662i,0.035656+0.037674i,-0.49865-0.63979i,-0.077991-0.10618i,0.041884+0.049432i,0.074246+0.32976i,0.063207+0.14302i,-0.066785-0.15309i,-0.022581-0.19355i,-0.051958-0.039717i
0.0023209+0.007866i,0.00056747-0.0060683i,-0.0057665+0.002679i,0.016641+0.0045877i,-0.048624-0.026069i,0.68198+0.44593i,0.10522+0.072378i,-0.053277-0.029271i,-0.15174-0.31064i,-0.092753-0.11548i,0.09391+0.1247i,0.041547+0.21068i,0.05917+0.0031222i
-0.0018171-0.0067174i,-0.0017259+0.0059533i,0.0080048-0.0044266i,-0.02095+0.0010597i,0.058516+0.0089373i,-0.79416-0.20096i,-0.11818-0.033965i,0.0552+0.0090214i,0.22676+0.27069i,0.11013+0.085553i,-0.10809-0.096241i,-0.07364-0.21949i,-0.045819+0.023184i
0.0012277+0.0075207i,0.0025691-0.0080864i,-0.009232+0.0088343i,0.022835-0.010018i,-0.061922+0.01292i,0.82044-0.069863i,0.11843-0.0035587i,-0.050708+0.0074734i,-0.29098-0.20953i,-0.11939-0.057923i,0.11526+0.072791i,0.1093+0.21422i,0.027246-0.030735i
