0.0052151-0.0049831i,-0.0020334+0.0040546i,-0.0037923-0.0023245i,0.016151-0.0012806i,-0.05295+0.011427i,0.78932-0.1962i,0.12799-0.026894i,-0.070935-0.0017758i,-0.10709+0.35375i,-0.10518+0.088286i,0.122-0.082824i,0.17871-0.12076i,0.017578-0.00088926i
0.043137-0.0088712i,-0.048207+0.0084595i,0.055952-0.0074254i,-0.070167+0.0048204i,0.10857+0.0036271i,-0.8482-0.17503i,-0.075268-0.036104i,0.033962+0.013927i,-0.28305+0.26605i,-0.058871+0.098102i,0.040366-0.11751i,-0.11729-0.22833i,0.067569-0.015561i
-0.03747+0.020278i,0.042368-0.021433i,-0.049987+0.022859i,0.064218-0.024891i,-0.10319+0.029237i,0.85829-0.10673i,0.084145+0.0071809i,-0.039145-9.7452e-05i,0.21426-0.3301i,0.031057-0.10557i,-0.011144+0.1207i,0.13016+0.21443i,-0.044426+0.015326i
0.030525-0.029229i,-0.034885+0.031803i,0.041742-0.035505i,-0.054665+0.041912i,0.09024-0.058521i,-0.77954+0.37643i,-0.079839+0.023278i,0.035947-0.015233i,-0.12708+0.37668i,-0.0079797+0.10528i,-0.011177-0.11616i,-0.15099-0.20347i,0.03786-0.0063692i
-0.022509+0.037019i,0.025994-0.04086i,-0.0315+0.04658i,0.041893-0.056833i,-0.07043+0.084089i,0.61974-0.60828i,0.06357-0.048318i,-0.025388+0.026339i,0.027487-0.39786i,-0.010129-0.10335i,0.026857+0.11162i,0.17824+0.18517i,-0.045558+0.0055419i
0.012269-0.043942i,-0.014504+0.048837i,0.018065-0.05619i,-0.024802+0.069445i,0.043208-0.10471i,-0.3932+0.77892i,-0.040316+0.06338i,0.012068-0.029962i,0.074304+0.38966i,0.027531+0.10298i,-0.041786-0.11107i,-0.20278-0.15456i,0.053202-0.021263i
0.0012693+0.04856i,-0.00067006-0.054135i,-0.00038969+0.062501i,0.0025409-0.077526i,-0.0085862+0.11721i,0.12117-0.86888i,0.016103-0.068005i,-0.0012265+0.027028i,-0.16746-0.35413i,-0.049049-0.10216i,0.062515+0.11182i,0.21468+0.1159i,-0.04509+0.047396i
-0.017605-0.04835i,0.018914+0.054018i,-0.020711-0.062506i,0.023662+0.077683i,-0.030969-0.11749i,0.16834+0.86542i,0.0049707+0.065073i,-0.0044697-0.021647i,0.24453+0.29805i,0.075774+0.095183i,-0.09084-0.1064i,-0.21054-0.080132i,0.015738-0.067167i
0.034152+0.041326i,-0.037374-0.046349i,0.042003+0.053891i,-0.049934-0.067395i,0.070032+0.10279i,-0.44279-0.76589i,-0.022142-0.058243i,0.0062953+0.018106i,-0.30327-0.22933i,-0.10336-0.076791i,0.12163+0.087848i,0.19653+0.057643i,0.02533+0.064499i
-0.047142-0.027554i,0.051932+0.031217i,-0.058893-0.036793i,0.070942+0.046915i,-0.10164-0.07376i,0.66949+0.58005i,0.037025+0.049346i,-0.0081431-0.017896i,0.34526+0.15335i,0.12406+0.046351i,-0.14536-0.054932i,-0.18494-0.051188i,-0.058895-0.0352i
0.053401+0.0095505i,-0.059117-0.01136i,0.067506+0.014252i,-0.082184-0.019759i,0.11993+0.03498i,-0.82123-0.32955i,-0.051107-0.037486i,0.013444+0.018758i,-0.3725-0.071674i,-0.13123-0.0090818i,0.15379+0.013771i,0.18653+0.05364i,0.068002-0.0094713i
-0.051908+0.0087384i,0.057777-0.0089282i,-0.066503+0.0089764i,0.081997-0.0086138i,-0.12242+0.0065819i,0.88106+0.044562i,0.06352+0.020401i,-0.022428-0.016374i,0.38422-0.016213i,0.12336-0.026454i,-0.14501+0.025308i,-0.20374-0.052183i,-0.048683+0.049319i
0.044143-0.023762i,-0.049469+0.025762i,0.057513-0.028548i,-0.07205+0.033134i,0.11065-0.044226i,-0.84452+0.24168i,-0.070699+0.0029066i,0.031598+0.0075577i,-0.37639+0.10943i,-0.10489+0.053014i,0.12449-0.053604i,0.22913+0.036194i,0.012355-0.067533i
-0.033049+0.033854i,0.037348-0.037272i,-0.043943+0.042284i,0.056065-0.05107i,-0.088794+0.073777i,0.71877-0.49811i,0.068242-0.030159i,-0.035785+0.0072074i,0.34403-0.20296i,0.083389-0.068462i,-0.10159+0.068803i,-0.25018-0.0036685i,0.021654+0.060748i
0.021303-0.039501i,-0.024312+0.043896i,0.028976-0.050506i,-0.037641+0.062436i,0.061274-0.094163i,-0.5197+0.69936i,-0.053797+0.055872i,0.031457-0.023609i,-0.28505+0.28768i,-0.064946+0.076233i,0.083723-0.075549i,0.25721-0.038014i,-0.038515-0.04023i
-0.010022+0.042282i,0.011611-0.047262i,-0.014068+0.05485i,0.018607-0.068736i,-0.030902+0.10617i,0.26863-0.827i,0.029046-0.073633i,-0.019082+0.035876i,0.20288-0.3533i,0.050705-0.082241i,-0.072007+0.081549i,-0.24919+0.0774i,0.037001+0.023525i
-0.0012848-0.043279i,0.0012048+0.048491i,-0.0011266-0.056447i,0.0010966+0.07103i,-0.001342-0.11039i,0.0098325+0.86932i,0.00057536+0.079199i,0.0029766-0.040135i,-0.10616+0.39251i,-0.036941+0.090334i,0.061385-0.091846i,0.23366-0.10676i,-0.029311-0.022195i
0.041749+0.0086056i,-0.04621-0.010721i,0.052945+0.01426i,-0.065213-0.021312i,0.098354+0.041567i,-0.74246-0.44194i,-0.064807-0.056949i,0.035645+0.026979i,-0.39956+0.059749i,-0.082598+0.050262i,0.053807-0.078859i,-0.16933-0.25615i,0.1018+0.021069i
-0.040334+0.0047494i,0.045126-0.0042237i,-0.052512+0.0031087i,0.066246-0.00049658i,-0.10397-0.0077807i,0.84282+0.17752i,0.082961+0.033361i,-0.046548-0.016083i,0.37917-0.15335i,0.062764-0.069913i,-0.029865+0.09308i,0.1844+0.22421i,-0.079107-0.00031343i
0.03624-0.015524i,-0.040914+0.016508i,0.048226-0.017777i,-0.062014+0.019698i,0.10031-0.024062i,-0.85415+0.103i,-0.090276-0.0026913i,0.05117-0.0007522i,-0.33378+0.24347i,-0.042296+0.079504i,0.0071968-0.09566i,-0.19975-0.2015i,0.062251-0.00088068i
-0.030957+0.024621i,0.035159-0.026997i,-0.041774+0.0305i,0.054315-0.036725i,-0.089248+0.053227i,0.77691-0.37226i,0.084068-0.028551i,-0.04675+0.018284i,0.26316-0.32032i,0.025761-0.083741i,0.0088006+0.092861i,0.22172+0.17969i,-0.061608-0.003447i
0.024255-0.033211i,-0.027639+0.036856i,0.032964-0.042365i,-0.043033+0.052396i,0.070972-0.07945i,-0.61834+0.60434i,-0.066158+0.053521i,0.034912-0.030833i,-0.1729+0.37439i,-0.012334+0.088253i,-0.019546-0.092039i,-0.24744-0.14911i,0.072935-0.0029276i
-0.014751+0.041237i,0.016923-0.045953i,-0.020342+0.053097i,0.026797-0.066107i,-0.044643+0.10108i,0.39249-0.77548i,0.041853-0.06811i,-0.020589+0.035541i,0.07298-0.40038i,-0.0028398-0.09523i,0.031575+0.096154i,0.26714+0.10615i,-0.0809+0.026667i
0.0014247-0.046895i,-0.0019808+0.052305i,0.0029226-0.060464i,-0.0048217+0.075215i,0.010343-0.11452i,-0.12073+0.8658i,-0.017104+0.072335i,0.0089233-0.033774i,0.026062+0.3989i,0.024501+0.10159i,-0.051319-0.10143i,-0.27119-0.056523i,0.070201-0.059747i
0.014971+0.047476i,-0.016311-0.052984i,0.018205+0.061253i,-0.021377-0.076116i,0.029152+0.11544i,-0.16862-0.86237i,-0.0043483-0.069302i,-0.0021995+0.029796i,-0.11692-0.37501i,-0.053155-0.10088i,0.079898+0.099734i,0.25725+0.012i,-0.036795+0.084406i
-0.031607-0.04105i,0.034841+0.04591i,-0.039537-0.053216i,0.047637+0.066361i,-0.068111-0.10117i,0.44266+0.7627i,0.022086+0.062541i,-0.0012096-0.027663i,0.19703+0.3346i,0.083779+0.087691i,-0.11144-0.084115i,-0.23258+0.017049i,-0.0083182-0.084873i
0.04464+0.027877i,-0.049415-0.03138i,0.056398+0.036709i,-0.068541-0.046442i,0.099485+0.072625i,-0.66865-0.57687i,-0.037806-0.053541i,0.0052369+0.028411i,-0.26689-0.28098i,-0.10826-0.061582i,0.13611+0.053775i,0.21002-0.028474i,0.045348+0.058104i
-0.051033-0.010625i,0.056703+0.01229i,-0.065065-0.014945i,0.079753+0.02006i,-0.11759-0.03459i,0.8196+0.32683i,0.052758+0.041136i,-0.012977-0.029413i,0.32663+0.21406i,0.12001+0.027939i,-0.14591-0.015188i,-0.20013+0.029923i,-0.05794-0.016344i
0.049987-0.0068041i,-0.055792+0.0071082i,0.064454-0.0073621i,-0.079885+0.0073633i,0.12026-0.0060027i,-0.87895-0.042722i,-0.065683-0.02309i,0.024142+0.026333i,-0.3732-0.13246i,-0.11773+0.0048633i,0.13939-0.021435i,0.20477-0.03411i,0.043332-0.02023i
-0.043113+0.021095i,0.048379-0.023178i,-0.056345+0.026131i,0.070772-0.031037i,-0.1092+0.042746i,0.8425-0.24251i,0.072752-0.0012603i,-0.034846-0.016334i,0.40024+0.037051i,0.10588-0.030147i,-0.12229+0.048031i,-0.21623+0.050857i,-0.013742+0.035958i
0.033269-0.030884i,-0.037529+0.034363i,0.044052-0.039517i,-0.056046+0.048584i,0.088527-0.071845i,-0.71738+0.49823i,-0.069629+0.029185i,0.039895+0.00040536i,-0.40083+0.066537i,-0.091569+0.046432i,0.10366-0.063091i,0.22249-0.081135i,-0.011881-0.029066i
-0.022842+0.036829i,0.025839-0.04129i,-0.030447+0.048039i,0.038976-0.060231i,-0.0623+0.09246i,0.51916-0.69933i,0.054338-0.054917i,-0.036082+0.016799i,0.37139-0.16828i,0.07995-0.057475i,-0.089969+0.071716i,-0.21512+0.11697i,0.020252+0.011817i
0.012611-0.040454i,-0.014203+0.045526i,0.016608-0.053271i,-0.020993+0.067422i,0.032918-0.10531i,-0.26875+0.82735i,-0.029029+0.072101i,0.024317-0.029525i,-0.31418+0.25698i,-0.071131+0.068913i,0.081287-0.081388i,0.19458-0.14723i,-0.012069-0.001445i
0.031621+0.024211i,-0.034859-0.027755i,0.039748+0.03336i,-0.048691-0.044026i,0.073073+0.073812i,-0.55312-0.66018i,-0.050645-0.07351i,0.032808+0.039992i,-0.3816-0.17594i,-0.073352-0.0045864i,0.041433-0.033896i,-0.1941-0.28785i,0.10679+0.069682i
-0.035529-0.011287i,0.039643+0.013409i,-0.04598-0.016899i,0.057784+0.023794i,-0.090387-0.043664i,0.73446+0.4422i,0.07459+0.057211i,-0.046778-0.033605i,0.41734+0.084483i,0.067943-0.020022i,-0.029809+0.053754i,0.22006+0.24305i,-0.098783-0.032502i
0.035319-0.00010716i,-0.039786-0.00052569i,0.046783+0.0017062i,-0.060038-0.0042956i,0.097153+0.012345i,-0.83542-0.18029i,-0.092059-0.030611i,0.058485+0.019184i,-0.43046+0.018194i,-0.056096+0.036501i,0.012412-0.063047i,-0.2361-0.2072i,0.08098+0.015402i
-0.033112+0.0096347i,0.037518-0.010433i,-0.044492+0.011542i,0.057836-0.013368i,-0.095508+0.017809i,0.84829-0.098348i,0.097631-0.0023297i,-0.062659+0.00074469i,0.41502-0.12457i,0.044607-0.045528i,0.0022542+0.063037i,0.25303+0.17887i,-0.071052-0.015177i
0.029912-0.018383i,-0.033921+0.020529i,0.040271-0.023813i,-0.052428+0.029862i,0.086764-0.046316i,-0.77293+0.36664i,-0.089241+0.034778i,0.05712-0.020545i,-0.36966+0.22369i,-0.036834+0.052121i,-0.010041-0.060445i,-0.27584-0.14929i,0.077443+0.016934i
-0.025043+0.027386i,0.028306-0.03079i,-0.033435+0.036055i,0.043184-0.045861i,-0.070559+0.072769i,0.61609-0.59854i,0.069319-0.060025i,-0.044088+0.034626i,0.29911-0.30497i,0.030775-0.061496i,0.013615+0.062266i,0.3003+0.10931i,-0.093914-0.005075i
0.0169-0.036256i,-0.019007+0.040737i,0.022286-0.047632i,-0.028471+0.060386i,0.045784-0.09513i,-0.39155+0.7699i,-0.043477+0.074386i,0.028774-0.040527i,-0.21242+0.36208i,-0.020879+0.074924i,-0.020223-0.070515i,-0.31596-0.05661i,0.10411-0.025373i
-0.0045086+0.042877i,0.0050394-0.048065i,-0.0058835+0.055972i,0.0075532-0.070436i,-0.012576+0.10942i,0.12078-0.86049i,0.017593-0.078294i,-0.016198+0.039992i,0.11918-0.39435i,0.0023464-0.088348i,0.036279+0.080428i,0.31346-0.0018202i,-0.093096+0.064655i
-0.011192-0.044419i,0.012521+0.049713i,-0.014474-0.057723i,0.017829+0.072263i,-0.026049-0.11116i,0.16762+0.85727i,0.0048864+0.075007i,0.0082947-0.037362i,-0.025893+0.40507i,0.024961+0.094704i,-0.062403-0.083333i,-0.29134+0.053522i,0.05809-0.094197i
0.02723+0.039029i,-0.030416-0.043687i,0.035122+0.050729i,-0.043342-0.063516i,0.06417+0.097799i,-0.44056-0.75793i,-0.023774-0.067887i,-0.0031762+0.036419i,-0.065118-0.39788i,-0.055632-0.088422i,0.092246+0.072308i,0.25773-0.088242i,-0.011275+0.098635i
-0.039809-0.027125i,0.044494+0.030448i,-0.05143-0.035526i,0.063613+0.044886i,-0.094784-0.070476i,0.66533+0.57285i,0.04072+0.058124i,-0.0030208-0.037767i,0.15377+0.37377i,0.081479+0.069147i,-0.11593-0.046886i,-0.2257+0.10438i,-0.02733-0.075996i
0.046106+0.011427i,-0.051651-0.012955i,0.059914+0.015393i,-0.07456-0.020154i,0.11248+0.03407i,-0.81531-0.32414i,-0.05664-0.044392i,0.01298+0.038512i,-0.23879-0.33066i,-0.096186-0.042203i,0.12589+0.013684i,0.20541-0.10992i,0.042247+0.03926i
-0.045569+0.0043238i,0.051236-0.0047087i,-0.059767+0.0051253i,0.075094-0.0054317i,-0.11542+0.0046576i,0.87432+0.041784i,0.069865+0.024617i,-0.025889-0.034418i,0.31522+0.26588i,0.098797+0.01549i,-0.12128+0.017482i,-0.19805+0.11721i,-0.032025-0.0082424i
0.039905-0.017155i,-0.045049+0.019262i,0.052885-0.02232i,-0.06718+0.027472i,0.10548-0.039712i,-0.83838+0.24168i,-0.076351+0.0014087i,0.037538+0.023099i,-0.3747-0.17976i,-0.093791+0.0051695i,0.10806-0.039455i,0.19567-0.13504i,0.0096106-0.0028656i
-0.03182+0.026065i,0.035999-0.029533i,-0.042424+0.03475i,0.054289-0.044018i,-0.086584+0.067754i,0.71452-0.49612i,0.071913-0.030433i,-0.042803-0.0060925i,0.40857+0.077933i,0.087722-0.019181i,-0.094833+0.051732i,-0.18687+0.16317i,0.0065965-0.0059127i
0.023351-0.031917i,-0.026319+0.036361i,0.030869-0.043164i,-0.039288+0.05554i,0.06239-0.08821i,-0.51789+0.69673i,-0.055031+0.056383i,0.03889-0.011613i,-0.41183+0.029367i,-0.084691+0.030796i,0.087039-0.060006i,0.16461-0.19298i,-0.0050353+0.021239i
0.014696+0.033397i,-0.016235-0.037841i,0.018643+0.044762i,-0.023229-0.057759i,0.036263+0.093777i,-0.30118-0.80344i,-0.03365-0.086423i,0.025439+0.051654i,-0.23566-0.36111i,-0.033065-0.045508i,0.0043311+0.00043312i,-0.191-0.30597i,0.078958+0.10931i
-0.023455-0.023843i,0.02636+0.027268i,-0.030906-0.032694i,0.03951+0.043077i,-0.063618-0.072375i,0.54446+0.65711i,0.060277+0.077351i,-0.039971-0.049416i,0.31655+0.30194i,0.04279+0.026101i,-0.0071676+0.015882i,0.23134+0.259i,-0.093624-0.069576i
0.027553+0.013764i,-0.031306-0.01588i,0.037252+0.019311i,-0.048643-0.026047i,0.080838+0.045544i,-0.72516-0.44228i,-0.084932-0.057526i,0.056124+0.039897i,-0.38452-0.22121i,-0.042946-0.00928i,-0.00033131-0.027486i,-0.25444-0.21403i,0.086575+0.039357i
-0.02866-0.0048668i,0.032785+0.0056081i,-0.039399-0.0068551i,0.052224+0.0094215i,-0.088858-0.01724i,0.82685+0.18338i,0.10161+0.027571i,-0.068514-0.02215i,0.43075+0.12148i,0.039195-0.0011783i,0.010856+0.02988i,0.26966+0.17767i,-0.073294-0.028343i
0.028539-0.0029673i,-0.032663+0.0035653i,0.039308-0.0045054i,-0.052255+0.006237i,0.089432-0.010773i,-0.84143+0.092974i,-0.10528+0.0078852i,0.072185-0.00058515i,-0.44775-0.010678i,-0.037467+0.0069715i,-0.016712-0.0255i,-0.28705-0.1472i,0.070452+0.031372i
-0.02769+0.010976i,0.031499-0.012867i,-0.037597+0.015916i,0.04942-0.021789i,-0.083277+0.03823i,0.76821-0.35996i,0.094516-0.041738i,-0.06557+0.022361i,0.43293-0.099786i,0.039839-0.013515i,0.015071+0.021567i,0.3102+0.11331i,-0.084474-0.032693i
0.025015-0.020044i,-0.028159+0.023172i,0.033113-0.028173i,-0.042594+0.037757i,0.069517-0.06457i,-0.61344+0.59138i,-0.072332+0.067437i,0.051434-0.037727i,-0.38977+0.19897i,-0.0431+0.025712i,-0.0098634-0.024765i,-0.33354-0.067341i,0.10714+0.017316i
-0.018716+0.029491i,0.020772-0.0337i,-0.023943+0.040323i,0.029914-0.052826i,-0.046797+0.087402i,0.39068-0.76275i,0.044605-0.081692i,-0.035207+0.044616i,0.32595-0.28004i,0.040955-0.044058i,0.0090589+0.036271i,0.34598+0.0081085i,-0.12112+0.018148i
0.0078545-0.036966i,-0.0083919+0.041893i,0.0091818-0.049526i,-0.010684+0.063716i,0.015302-0.10245i,-0.12148+0.85355i,-0.017139+0.085277i,0.021756-0.045085i,-0.24947+0.34135i,-0.028431+0.063701i,-0.019127-0.050492i,-0.33837+0.056313i,0.11181-0.062413i
0.0065082+0.039579i,-0.007779-0.044628i,0.0097328+0.052367i,-0.013203-0.066604i,0.021782+0.10517i,-0.16535-0.85071i,-0.0068533-0.081522i,-0.012705+0.043488i,0.16545-0.38459i,0.0055524-0.077103i,0.040363+0.05835i,0.31001-0.11298i,-0.077545+0.096315i
-0.021368-0.035579i,0.024442+0.040016i,-0.029089-0.046797i,0.037357+0.059263i,-0.058465-0.093128i,0.43662+0.75213i,0.027301+0.0736i,0.0059921-0.043306i,-0.075403+0.41127i,0.022163+0.078597i,-0.06619-0.053013i,-0.2696+0.15188i,0.031391-0.10502i
0.033075+0.025495i,-0.037596-0.02864i,0.044412+0.033487i,-0.056564-0.042533i,0.087906+0.067655i,-0.65983-0.56844i,-0.045688-0.062451i,0.0020836+0.044764i,-0.020597-0.42001i,-0.046744-0.067844i,0.086957+0.034273i,0.23021-0.17192i,0.0067485+0.087559i
-0.039089-0.012007i,0.044434+0.013423i,-0.052526-0.015688i,0.067068+0.020176i,-0.10505-0.03362i,0.80873+0.32179i,0.062529+0.046695i,-0.013748-0.044799i,0.12046+0.40664i,0.062379+0.049928i,-0.095739-0.0087078i,-0.20133+0.18128i,-0.022529-0.057442i
0.039111-0.0014066i,-0.044571+0.0018239i,0.052911-0.0023357i,-0.068091+0.0028491i,0.10838-0.0025082i,-0.86757-0.041914i,-0.075742-0.024547i,0.027689+0.039395i,-0.21791-0.36695i,-0.068586-0.032033i,0.092366-0.0145i,0.1834-0.19172i,0.015916+0.033817i
-0.034906+0.012197i,0.039873-0.014261i,-0.047539+0.017338i,0.061686-0.022624i,-0.099895+0.035241i,0.83256-0.23919i,0.081127-0.0036487i,-0.039455-0.026698i,0.30317+0.30032i,0.069887+0.018897i,-0.083037+0.029317i,-0.16824+0.21078i,-0.00053356-0.029141i
0.028973-0.019767i,-0.03304+0.023141i,0.039348-0.028325i,-0.051098+0.037678i,0.083284-0.061747i,-0.71051+0.49191i,-0.074727+0.034073i,0.044093+0.0088126i,-0.36629-0.21182i,-0.072249-0.010037i,0.075822-0.036412i,0.14514-0.23693i,-0.0059017+0.041434i
-0.004663+0.033295i,0.0050326-0.037938i,-0.0054052+0.045212i,0.0056881-0.05895i,-0.0053711+0.09722i,-0.016261-0.8544i,-0.013355-0.095919i,0.01357+0.060585i,-0.011461-0.43332i,0.024015-0.056308i,-0.046013+0.01061i,-0.17078-0.29583i,0.029364+0.12022i
-0.0067084-0.029498i,0.0080098+0.03373i,-0.010204-0.040397i,0.014644+0.05308i,-0.027705-0.088674i,0.29412+0.79731i,0.040969+0.093031i,-0.027514-0.061049i,0.11218+0.42523i,-0.0051822+0.050904i,0.033217-0.0067184i,0.22098+0.2581i,-0.063183-0.094552i
0.014378+0.022946i,-0.016968-0.026251i,0.021208+0.031513i,-0.029548-0.041658i,0.053523+0.070568i,-0.53543-0.65389i,-0.069669-0.08082i,0.045064+0.056822i,-0.21299-0.39248i,-0.0055952-0.041635i,-0.030046-0.00015573i,-0.25358-0.21245i,0.073962+0.062256i
-0.01867-0.016035i,0.022076+0.01815i,-0.02767-0.021539i,0.038727+0.028154i,-0.07067-0.047356i,0.71557+0.44245i,0.094874+0.057357i,-0.062914-0.044515i,0.30579+0.33246i,0.010077+0.034686i,0.034039+0.0022i,0.27134+0.17027i,-0.066676-0.040831i
0.021131+0.0098805i,-0.024929-0.010739i,0.031202+0.012068i,-0.043682-0.014641i,0.080003+0.022281i,-0.81805-0.18672i,-0.11061-0.024056i,0.075617+0.023973i,-0.38034-0.24721i,-0.013712-0.032482i,-0.037953+0.0036429i,-0.28383-0.13661i,0.057167+0.037786i
-0.023129-0.0039643i,0.026989+0.0035776i,-0.033348-0.0028207i,0.04599+0.0012009i,-0.082846+0.0034068i,0.83441-0.087237i,0.11228-0.013857i,-0.07861+0.00094915i,0.42794+0.14435i,0.021549+0.032246i,0.03495-0.013747i,0.30033+0.10739i,-0.061007-0.045984i
0.024688-0.0030492i,-0.028317+0.0046719i,0.034208-0.0074752i,-0.04579+0.013168i,0.079345-0.029603i,-0.7634+0.35277i,-0.099095+0.04908i,0.070917-0.024102i,-0.44484-0.034936i,-0.034417-0.028103i,-0.023501+0.020384i,-0.32305-0.072761i,0.082609+0.048855i
-0.024346+0.011895i,0.027396-0.014732i,-0.032226+0.019461i,0.041529-0.028829i,-0.068172+0.055585i,0.61082-0.58354i,0.074577-0.075244i,-0.055783+0.040234i,0.43316-0.070468i,0.047948+0.015354i,0.0087372-0.017127i,0.34518+0.024488i,-0.11187-0.032002i
0.020163-0.021655i,-0.022201+0.025574i,0.025316-0.031919i,-0.031165+0.04419i,0.04778-0.078663i,-0.39009+0.75475i,-0.044807+0.089413i,0.038779-0.047654i,-0.39884+0.16513i,-0.055133+0.0059019i,0.00069781+0.0034972i,-0.35505+0.037669i,0.13059-0.0065179i
-0.011228+0.029823i,0.011812-0.034473i,-0.012608+0.041833i,0.014035-0.055777i,-0.018398+0.094352i,0.12282-0.84569i,0.015505-0.092614i,-0.024595+0.048677i,0.34795-0.24697i,0.050761-0.030235i,0.0017568+0.014266i,0.34374-0.10478i,-0.12453+0.054129i
-0.0013375-0.03352i,0.0024992+0.038314i,-0.0043869-0.045789i,0.0078791+0.05977i,-0.016682-0.09811i,0.16202+0.84335i,0.010284+0.08818i,0.014579-0.047609i,-0.28373+0.31648i,-0.034846+0.049827i,-0.016211-0.026852i,-0.31115+0.16365i,0.092997-0.091326i
0.014591+0.031111i,-0.017493-0.035329i,0.022009+0.041871i,-0.030234-0.05408i,0.051504+0.087668i,-0.43126-0.74584i,-0.032508-0.079075i,-0.0065739+0.047628i,0.20636-0.37332i,0.012763-0.059011i,0.036086+0.027599i,0.26633-0.20463i,-0.04966+0.10394i
-0.025116-0.023197i,0.029408+0.026182i,-0.036029-0.030839i,0.048068+0.039656i,-0.079489-0.064475i,0.65268+0.56399i,0.052395+0.06604i,-0.0028886-0.048636i,-0.11533+0.41404i,0.0079933+0.057447i,-0.052188-0.016528i,-0.22207+0.22717i,0.014007-0.092018i
0.030694+0.012343i,-0.035774-0.013682i,0.043627+0.015837i,-0.057999-0.020155i,0.095974+0.033315i,-0.80049-0.31994i,-0.07001-0.047736i,0.01556+0.047508i,0.01289-0.43246i,-0.022325-0.049864i,0.058414+4.5423e-05i,0.187-0.23951i,0.00098783+0.069396i
-0.031274-0.0016868i,0.03647+0.0012915i,-0.044566-0.00076459i,0.059555+0.00016714i,-0.09979-0.00027414i,0.85933+0.043029i,0.082876+0.022763i,-0.029675-0.040541i,0.094091+0.4228i,0.030352+0.042575i,-0.055361+0.013467i,-0.16071+0.25268i,0.0032011-0.054334i
0.028645-0.0066894i,-0.033394+0.00864i,0.040855-0.011642i,-0.054838+0.01693i,0.092981-0.029722i,-0.82553+0.23531i,-0.086696+0.0079221i,0.04063+0.026464i,-0.19511-0.38325i,-0.036701-0.039082i,0.049458-0.019249i,0.13478-0.27286i,-0.012306+0.057369i
-0.020996+0.023972i,0.023154-0.028085i,-0.026186+0.034706i,0.031231-0.047518i,-0.043597+0.083832i,0.26752-0.80771i,0.01125-0.10072i,-0.0025234+0.06494i,0.21534-0.36849i,0.076268-0.032236i,-0.091589-0.0074359i,-0.15192-0.25242i,-0.019772+0.09358i
0.010422-0.026647i,-0.010889+0.031053i,0.011313-0.038087i,-0.01155+0.051594i,0.010971-0.089661i,0.012532+0.84669i,0.017027+0.10344i,-0.011226-0.067031i,-0.12567+0.41336i,-0.059016+0.044046i,0.07853-0.0051353i,0.20061+0.23027i,-0.018829-0.09256i
-0.0012361+0.025263i,0.00013495-0.029306i,0.0018971+0.035769i,-0.0062597-0.048231i,0.019448+0.083576i,-0.28752-0.79152i,-0.047549-0.09851i,0.028155+0.066935i,0.02414-0.43772i,0.04409-0.048125i,-0.06912+0.0093943i,-0.23866-0.19296i,0.044829+0.072101i
-0.0053779-0.021765i,0.0076927+0.02497i,-0.011684-0.030112i,0.019845+0.040103i,-0.04382-0.068784i,0.52702+0.651i,0.077994+0.083249i,-0.047861-0.061016i,0.084573+0.43577i,-0.034201+0.049644i,0.066678-0.012146i,0.26085+0.15072i,-0.050196-0.048041i
0.0098619+0.017974i,-0.012963-0.020104i,0.01827+0.023485i,-0.029093-0.030049i,0.060947+0.049089i,-0.7067-0.44281i,-0.10348-0.056411i,0.06667+0.046516i,-0.19162-0.40366i,0.02713-0.053565i,-0.06812+0.020005i,-0.27099-0.11375i,0.04138+0.036383i
-0.013575-0.01449i,0.017089+0.015475i,-0.023089-0.016912i,0.035336+0.01954i,-0.071534-0.0271i,0.80998+0.19004i,0.11816+0.020116i,-0.079194-0.023968i,0.28601+0.34248i,-0.01762+0.060959i,0.066306-0.034613i,0.27881+0.085518i,-0.034499-0.042439i
0.017504+0.010492i,-0.021142-0.010321i,0.027285+0.0097596i,-0.039739-0.0082803i,0.076478+0.0036591i,-0.82798+0.081678i,-0.11789+0.019931i,0.081291-0.0023025i,-0.35833-0.25885i,0.0014335-0.067991i,-0.055219+0.051213i,-0.29284-0.060622i,0.044011+0.057179i
-0.02127-0.0046017i,0.024759+0.0032469i,-0.030514-0.00069173i,0.041972-0.0048124i,-0.075434+0.021224i,0.759-0.34579i,0.10243-0.056317i,-0.072528+0.02606i,0.40395+0.16275i,0.021148+0.068302i,0.034516-0.061601i,0.31406+0.028697i,-0.07242-0.063288i
0.023144-0.0037774i,-0.026137+0.006327i,0.030908-0.010788i,-0.040151+0.019952i,0.066717-0.046669i,-0.60848+0.5758i,-0.07571+0.082863i,0.056528-0.0423i,-0.4237-0.063657i,-0.044756-0.057284i,-0.010378+0.059545i,-0.33457+0.018169i,0.10792+0.046944i
-0.021101+0.01356i,0.023156-0.017193i,-0.026281+0.023272i,0.032119-0.035337i,-0.048663+0.06976i,0.38976-0.74669i,0.043946-0.09693i,-0.038924+0.04968i,0.42173-0.032463i,0.061761+0.035424i,-0.0079833-0.045109i,0.34225-0.079445i,-0.13163-0.0074884i
0.01426-0.022178i,-0.01493+0.026556i,0.015797-0.03366i,-0.017257+0.047399i,0.021549-0.085901i,-0.12455+0.83766i,-0.012759+0.099711i,0.024205-0.050709i,-0.40195+0.12368i,-0.066709-0.0084855i,0.01393+0.024967i,-0.32845+0.14561i,0.12974-0.041478i
