-0.024775-0.04402i,0.031397+0.050765i,-0.050614-0.067565i,0.57332+0.4832i,0.036436-0.0008644i,-0.0076774+0.020848i,-0.04281-0.022973i,-0.12289+0.040224i,0.12526-0.031685i,-0.45001-0.028135i,-0.30599-0.12292i,0.13505+0.094018i,0.07169+0.084057i
-0.013959+0.029478i,0.018561-0.039936i,-0.030833+0.065641i,0.3447-0.66012i,0.020026-0.018726i,-0.0050493-0.025563i,0.0079771+0.097101i,0.034045+0.024744i,-0.042291+0.075074i,0.14528-0.41401i,0.080748-0.31018i,-0.023794+0.14485i,-0.026131-0.35255i
0.041534+0.0089018i,-0.050584-0.010913i,0.075091+0.017475i,-0.71203-0.2177i,-0.028214-0.020352i,-0.0073158+0.016229i,0.059265-0.034484i,0.094057-0.0098825i,-0.092114-0.024763i,0.39056+0.16347i,0.31881+0.14886i,-0.1669-0.08854i,0.021577+0.30138i
0.039411-0.041121i,-0.042705+0.052955i,0.048297-0.081804i,-0.13475+0.74948i,0.039913+0.014035i,-0.045599+0.03349i,0.032145-0.10235i,-0.11446-0.0067045i,0.12566-0.087454i,-0.30086+0.3986i,-0.077397+0.24974i,-0.025802-0.084232i,0.28953-0.069881i
-0.01046+0.028699i,0.018616-0.031866i,-0.042857+0.036645i,0.70848-0.078251i,0.068708+0.041541i,-0.03397-0.054667i,-0.011949+0.093139i,-0.12452-0.025477i,0.12347+0.086116i,-0.38552-0.29983i,-0.23717-0.1514i,0.11352+0.042387i,-0.34447-0.066144i
-0.020113+0.065481i,0.019474-0.078171i,-0.015195+0.10757i,-0.13981-0.76288i,-0.044372+0.015769i,0.036194-0.062634i,-0.0082596+0.12525i,0.12036-0.036401i,-0.12691+0.12059i,0.35591-0.38865i,0.16999-0.15199i,-0.056135+0.0016252i,0.19886+0.2415i
-0.011732-0.026081i,0.0053047+0.032223i,0.015723-0.045772i,-0.62355+0.32168i,-0.089247-0.012744i,0.059569+0.039185i,-0.023322-0.092157i,0.13589+0.0013639i,-0.1376-0.080244i,0.35304+0.35313i,0.14467+0.21948i,-0.033266-0.070708i,-0.0092513-0.22379i
-0.017077-0.026008i,0.011936+0.025286i,0.0066843-0.017685i,-0.58406-0.30335i,-0.099868-0.087998i,0.081677+0.089543i,-0.10205-0.14479i,0.04723+0.026616i,-0.089992-0.11843i,0.24204+0.43941i,0.077341+0.24549i,0.0046945-0.077422i,-0.093097-0.20384i
0.039382-0.029519i,-0.044663+0.038444i,0.055524-0.062615i,-0.27564+0.69398i,0.0253+0.042193i,-0.035999-0.014733i,0.0077412+0.028381i,-0.16154+0.062608i,0.17764-0.059192i,-0.50078+0.16711i,-0.2188+0.078772i,0.046631-0.027714i,-0.088645+0.24908i
0.013867+0.0052308i,-0.0076062-0.0059359i,-0.014039+0.0050499i,0.66983+0.090415i,0.10554+0.032787i,-0.084457-0.041598i,0.11243+0.091214i,-0.021513+0.0084465i,0.062528+0.077583i,-0.14371-0.4165i,-0.011539-0.3329i,-0.037344+0.17176i,0.26803-0.27892i
0.0014914+0.018331i,-0.00069171-0.026837i,0.00011378+0.051241i,-0.01942-0.71712i,-0.0067944-0.063138i,0.0058647+0.037675i,0.019914-0.063528i,0.10772-0.051672i,-0.12956+0.028037i,0.46712-0.059864i,0.29026-0.0164i,-0.10412-0.0044123i,-0.19894-0.0058656i
0.03308-0.0018412i,-0.041898+0.0051343i,0.066254-0.012544i,-0.71786+0.15683i,-0.044895+0.0019736i,0.020324+0.015923i,-0.050208-0.059521i,-0.076765-0.01262i,0.046723-0.066737i,-0.049819+0.41159i,0.047034+0.35648i,-0.062517-0.19304i,0.26767+0.33323i
-0.0062782+0.0054886i,0.0083224+0.00086328i,-0.016199-0.021608i,0.27033+0.63447i,0.03127+0.089292i,-0.021125-0.070545i,0.0018038+0.10891i,-0.098278+0.022053i,0.12713+0.022084i,-0.4633-0.069805i,-0.29574-0.025404i,0.12176+0.013531i,-0.13217-0.26441i
-0.048256+0.041284i,0.056964-0.049225i,-0.079133+0.066794i,0.63972-0.43531i,0.013491+0.019039i,0.0082933-0.048498i,0.025572+0.088076i,0.12577-0.053357i,-0.10336+0.12861i,0.1837-0.47085i,-0.012273-0.26423i,0.067665+0.081676i,-0.19889+0.19452i
-0.0073367+0.011026i,0.0036652-0.016123i,0.010569+0.032352i,-0.46523-0.51434i,-0.073883-0.056693i,0.057363+0.045322i,-0.047534-0.09195i,0.10926-0.049408i,-0.14612-0.010361i,0.46676+0.13366i,0.25172+0.12668i,-0.091121-0.066941i,0.27163-0.063337i
0.014414-0.052913i,-0.019625+0.063266i,0.034194-0.087381i,-0.4279+0.63069i,-0.034053-0.0095673i,0.022023+0.045151i,-0.062875-0.075027i,-0.098417+0.075987i,0.078551-0.13811i,-0.22397+0.45345i,-0.11858+0.22287i,0.045454-0.056801i,-0.27353-0.019446i
-0.012207-0.034815i,0.018528+0.038439i,-0.038882-0.048513i,0.6366+0.33736i,0.06797+0.0061564i,-0.04524-0.0035086i,0.043475+0.055017i,-0.064497+0.089543i,0.1051-0.019319i,-0.39206-0.17054i,-0.24914-0.24664i,0.09738+0.15458i,0.11978+0.027798i
-0.007352+0.023585i,0.0099813-0.033312i,-0.016839+0.058986i,0.19441-0.70433i,0.013914-0.042956i,-0.0109+0.0081764i,0.053429+0.0062156i,0.1122-0.038579i,-0.10134+0.079322i,0.31175-0.34582i,0.17284-0.24514i,-0.057734+0.11471i,-0.019976-0.33076i
0.036112+0.0065118i,-0.044638-0.0058367i,0.068888+0.0058247i,-0.73232-0.060973i,-0.045445-0.013724i,0.018878+0.024372i,-0.024701-0.081842i,0.0025343-0.053022i,-0.042643-0.028235i,0.27786+0.27942i,0.26044+0.27054i,-0.14351-0.15662i,0.01603+0.36654i
0.035075-0.021169i,-0.036532+0.030789i,0.036706-0.056713i,0.022882+0.72241i,0.051824+0.05099i,-0.047665-0.018254i,0.0087222+0.017314i,-0.17214+0.048641i,0.17475-0.071278i,-0.44348+0.28303i,-0.15478+0.18048i,0.0014843-0.063741i,0.26937-0.088045i
-0.013828+0.038419i,0.021275-0.044321i,-0.043839+0.055617i,0.68388-0.24281i,0.068918+0.040822i,-0.045608-0.06605i,0.063096+0.12828i,-0.003601-0.013887i,0.045887+0.10533i,-0.22247-0.4105i,-0.18128-0.23505i,0.10569+0.080853i,-0.35045-0.082331i
-0.026273+0.043338i,0.024594-0.053008i,-0.016064+0.077362i,-0.27521-0.67846i,-0.07012-0.018441i,0.055951-0.01006i,-0.019072-0.001055i,0.16598-0.096613i,-0.17614+0.10219i,0.48131-0.25045i,0.21342-0.061513i,-0.057974-0.029911i,0.19731+0.24759i
