0.045938+0.015872i,-0.058024-0.015392i,0.07946+0.01318i,-0.13179-0.0032516i,0.68267-0.16458i,0.08693-0.11282i,0.058485+0.16491i,0.20869+0.27789i,-0.0077729-0.064272i,-0.14238+0.071868i,-0.50729+0.14461i,0.15541-0.048985i,-0.10524+0.051545i
0.023518+0.0038665i,-0.03187-0.00092946i,0.047946-0.0056946i,-0.090752+0.026787i,0.57767-0.31944i,0.1159-0.1374i,0.012131+0.16567i,0.32472+0.25082i,-0.16762-0.05033i,0.26524+0.03305i,0.4408-0.0052335i,-0.088987+0.022387i,0.048351-0.042213i
0.05296+0.0132i,-0.063667-0.0098286i,0.081788+0.0013944i,-0.12351+0.026919i,0.53323-0.424i,0.022534-0.19066i,0.11621+0.20223i,0.2309+0.17647i,0.007007+0.020954i,-0.15979-0.090631i,-0.4709-0.14707i,0.12396+0.0078065i,-0.072027+0.026881i
0.030449-0.012177i,-0.036944+0.019324i,0.048552-0.033424i,-0.077018+0.072786i,0.37268-0.5584i,0.03174-0.16911i,0.082981+0.15151i,0.32592+0.21065i,-0.12769-0.069516i,0.19056+0.136i,0.3566+0.31253i,-0.093673-0.076609i,0.071889+0.03133i
0.041127+0.0179i,-0.047658-0.013155i,0.058003+0.0013692i,-0.0794+0.037592i,0.25476-0.57145i,-0.041104-0.24416i,0.1526+0.22615i,0.27262+0.073141i,-0.021281+0.099365i,-0.07869-0.2282i,-0.26184-0.3557i,0.068594+0.034133i,-0.041148+0.028782i
0.028406-0.018844i,-0.031798+0.027968i,0.036719-0.045524i,-0.045146+0.093027i,0.083746-0.65908i,-0.064372-0.17702i,0.15467+0.13044i,0.31168+0.15705i,-0.072579-0.07007i,0.06332+0.18462i,0.09471+0.49511i,-0.032813-0.13996i,0.037573+0.083095i
0.01498+0.016538i,-0.01574-0.011322i,0.015943-0.0012863i,-0.01236+0.042083i,-0.085793-0.59084i,-0.094081-0.24118i,0.16695+0.20619i,0.32729+0.0049286i,-0.080044+0.1264i,0.064568-0.26613i,0.032923-0.41277i,0.010726+0.044437i,-0.024188+0.023257i
0.023002-0.02263i,-0.023067+0.031535i,0.02096-0.048304i,-0.0086256+0.092638i,-0.21657-0.60912i,-0.15796-0.14741i,0.22028+0.091906i,0.28676+0.10207i,-0.012976-0.059434i,-0.077785+0.17009i,-0.21499+0.44948i,0.045729-0.12175i,-0.012137+0.067271i
-0.0074716+0.0048713i,0.011843+0.0001167i,-0.020745-0.011214i,0.046942+0.045115i,-0.39374-0.48419i,-0.14369-0.17472i,0.17953+0.13556i,0.36427-0.017241i,-0.12675+0.090398i,0.18854-0.1851i,0.31119-0.2989i,-0.052376+0.040943i,0.0044633+0.0037693i
0.023496-0.020772i,-0.021202+0.027181i,0.013806-0.038974i,0.014753+0.069465i,-0.44976-0.41769i,-0.23852-0.088842i,0.27726+0.043708i,0.25208+0.041172i,0.043934-0.031691i,-0.19362+0.089424i,-0.41632+0.20488i,0.079863-0.041332i,-0.020341+0.0056936i
-0.013637-0.0068634i,0.020788+0.010437i,-0.035034-0.017432i,0.075524+0.036616i,-0.58841-0.26575i,-0.19057-0.070444i,0.20209+0.039207i,0.36371-0.01766i,-0.1316+0.023207i,0.22933-0.035725i,0.46654-0.044837i,-0.10745+0.0042571i,0.047996+0.0042674i
0.028242-0.0068455i,-0.024868+0.0086998i,0.014851-0.012111i,0.022037+0.020916i,-0.56547-0.12036i,-0.28438-0.022469i,0.30905+0.0017737i,0.22478-0.035587i,0.074668+0.02006i,-0.23534-0.041802i,-0.42345-0.11321i,0.055623+0.041562i,0.01532-0.042754i
-0.0071802-0.0086433i,0.01448+0.0094429i,-0.029483-0.010117i,0.073123+0.0094918i,-0.63215+0.02438i,-0.21686+0.03772i,0.22215-0.052383i,0.33578-0.026431i,-0.1022-0.034382i,0.18115+0.10711i,0.4185+0.25326i,-0.11298-0.064006i,0.063821+0.041327i
-0.011724+0.065083i,0.007916-0.07651i,0.0012046+0.095676i,-0.030537-0.13924i,0.42394+0.55812i,0.17267+0.0026537i,-0.14998+0.15874i,-0.022313+0.31267i,-0.077112-0.01493i,0.16025-0.13117i,0.22663-0.42217i,-0.014473+0.11786i,-0.025717-0.082268i
0.015793+0.042414i,-0.023839-0.050039i,0.039261+0.063232i,-0.080603-0.094297i,0.5656+0.40135i,0.14463+0.0093224i,-0.088128+0.12742i,-0.061687+0.38157i,0.034781-0.12341i,-0.13396+0.15641i,-0.42481+0.27524i,0.1348-0.07807i,-0.094964+0.072597i
-0.0032051+0.038858i,-0.0029768-0.045156i,0.016692+0.055416i,-0.058392-0.077326i,0.59438+0.26213i,0.20637-0.036533i,-0.14764+0.16163i,0.070488+0.35108i,-0.12917-0.065642i,0.25301-0.0093318i,0.40634-0.18456i,-0.057926+0.075838i,0.0036629-0.074072i
0.034907+0.033426i,-0.045606-0.037567i,0.065297+0.043613i,-0.11592-0.054077i,0.68671+0.1044i,0.13733-0.074712i,-0.047987+0.1796i,-0.011653+0.34523i,0.044694-0.06641i,-0.17782+0.023065i,-0.51072-0.026506i,0.14727+0.0025211i,-0.096272+0.017415i
0.015326+0.01287i,-0.023163-0.013406i,0.039152+0.013478i,-0.084663-0.010245i,0.6422-0.078706i,0.17902-0.087307i,-0.097569+0.16652i,0.1157+0.372i,-0.11968-0.11211i,0.23079+0.12475i,0.42176+0.12987i,-0.088003+0.00022891i,0.045793-0.033864i
0.045067+0.032153i,-0.055764-0.033118i,0.074942+0.032225i,-0.1229-0.021845i,0.64879-0.19281i,0.10228-0.17127i,-0.0025577+0.24073i,0.045236+0.28067i,0.032174+0.010561i,-0.14387-0.12963i,-0.37949-0.29726i,0.09573+0.052645i,-0.052588-0.0016923i
0.030502-0.00076532i,-0.038378+0.004846i,0.053241-0.013363i,-0.092549+0.038811i,0.54512-0.37793i,0.10845-0.14804i,-0.02062+0.18398i,0.13313+0.3572i,-0.073139-0.12491i,0.12276+0.20407i,0.24508+0.3976i,-0.067683-0.088336i,0.054019+0.034595i
0.035271+0.033994i,-0.042857-0.032384i,0.056381+0.025821i,-0.08985+0.0015414i,0.44997-0.42986i,0.057965-0.24991i,0.02985+0.28677i,0.12396+0.21411i,-0.018582+0.07322i,-0.025661-0.23358i,-0.11017-0.42615i,0.029407+0.057243i,-0.017063+0.014703i
0.032706-0.006329i,-0.038614+0.013234i,0.048782-0.02723i,-0.072832+0.067392i,0.31742-0.57662i,0.018777-0.19501i,0.059665+0.19927i,0.14576+0.31801i,-0.021127-0.10914i,-0.014729+0.20837i,-0.059104+0.48775i,0.0063728-0.13128i,0.010999+0.07551i
