0.010876-0.023869i,-0.013823+0.03441i,0.019768-0.054857i,-0.036327+0.10961i,0.22189-0.7046i,0.054937-0.17728i,-0.012297+0.043256i,0.093373-0.24358i,-0.051566+0.12139i,0.061343-0.1287i,0.12279-0.40371i,0.066777-0.024824i,-0.22893+0.04592i
-0.0090234-0.011682i,0.016058+0.019363i,-0.029857-0.03477i,0.067236+0.077095i,-0.47922-0.54348i,-0.13647-0.14803i,0.05777+0.035971i,-0.10549-0.25143i,0.064998+0.13196i,-0.067927-0.14475i,-0.22116-0.33566i,0.0098688-0.087452i,-0.083935+0.23731i
-0.0092192+0.011918i,0.019084-0.014182i,-0.038963+0.018139i,0.093899-0.028139i,-0.70508+0.13926i,-0.20702+0.033325i,0.077623-0.03684i,-0.24644-0.11728i,0.14488+0.048952i,-0.15968-0.053444i,-0.39202-0.031664i,-0.072227-0.076823i,0.15635+0.22605i
0.010762+0.024006i,-0.0078074-0.033793i,0.0011291+0.0529i,0.018506-0.10487i,-0.23897+0.68468i,-0.084172+0.18842i,0.012056-0.093875i,-0.24888+0.067343i,0.1304-0.061458i,-0.14447+0.073018i,-0.27273+0.29518i,-0.10933-0.0055353i,0.28299+0.02185i
0.030696+0.012311i,-0.03758-0.020075i,0.050424+0.035748i,-0.084506-0.079287i,0.46633+0.56696i,0.11663+0.16277i,-0.083746-0.062206i,-0.12986+0.18849i,0.039855-0.11618i,-0.038158+0.13743i,0.053271+0.41741i,-0.073402+0.063455i,0.18685-0.19781i
0.02906-0.011308i,-0.039103+0.012915i,0.058834-0.015546i,-0.11308+0.021999i,0.72651-0.096881i,0.20295-0.025255i,-0.11505+0.047677i,0.020959+0.19111i,-0.052713-0.082137i,0.074409+0.095262i,0.35918+0.24837i,0.00096233+0.073784i,-0.047767-0.24381i
-0.0025975-0.014415i,0.011554+0.017044i,-0.030154-0.021119i,0.083324+0.029112i,-0.69814-0.084001i,-0.23726+0.02211i,0.15173-0.072129i,-0.047001-0.14608i,0.082123+0.016152i,-0.088528+0.027401i,0.085574+0.53119i,-0.11991-0.084907i,0.23118+0.15942i
-0.0033306+0.0070314i,0.0093576-0.013613i,-0.021364+0.027634i,0.054176-0.06908i,-0.41646+0.56685i,-0.12411+0.20349i,0.052175-0.16313i,-0.10573-0.082936i,0.057645-0.037499i,-0.033102+0.07078i,0.46282+0.2886i,-0.14318+0.025263i,0.27104-0.078054i
0.012506+0.016466i,-0.015537-0.024997i,0.021967+0.042313i,-0.041326-0.091271i,0.28161+0.65731i,0.096587+0.20683i,-0.091947-0.13864i,-0.10845-0.025484i,0.0016511-0.040634i,0.0369+0.046079i,0.51488-0.14731i,-0.067574+0.10345i,0.095051-0.24184i
0.025899+0.0075785i,-0.034836-0.0093554i,0.053007+0.012577i,-0.10486-0.020719i,0.71341+0.106i,0.22264+0.020077i,-0.16516-0.0040646i,-0.097477+0.001168i,-0.025223+0.0081672i,0.054604-0.030831i,0.21985-0.45822i,0.035046+0.084575i,-0.13766-0.18502i
0.023162-0.0067823i,-0.029039+0.013275i,0.04075-0.027015i,-0.073761+0.06725i,0.45973-0.54477i,0.1349-0.1897i,-0.10374+0.1391i,-0.10252+0.022918i,0.0091082+0.056026i,-0.0045251-0.091433i,-0.19692-0.43131i,0.073495-0.0075409i,-0.21734+0.039862i
0.0092338-0.0093587i,-0.0063849+0.017092i,0.00013307-0.033502i,0.01819+0.081769i,-0.22945-0.65808i,-0.088281-0.2313i,0.045101+0.17862i,-0.10388+0.072746i,0.073969+0.046801i,-0.094307-0.074289i,-0.43694-0.10328i,0.018842-0.086162i,-0.072987+0.22909i
0.0014723+0.0030688i,0.0067302-0.0025043i,-0.024268+0.00057151i,0.075606+0.0071677i,-0.67939-0.12189i,-0.24325-0.068911i,0.16284+0.08876i,-0.055863+0.13829i,0.10244-0.021947i,-0.13397+0.01615i,-0.34218+0.28076i,-0.073716-0.081949i,0.16459+0.21176i
0.010628+0.016186i,-0.0061711-0.024014i,-0.0042968+0.039395i,0.037259-0.081158i,-0.44738+0.54155i,-0.1919+0.14502i,0.16266-0.049747i,0.053111+0.15934i,0.05528-0.091565i,-0.079695+0.10731i,0.0039142+0.45048i,-0.11864-0.0031009i,0.2812+0.0027615i
0.028493+0.013261i,-0.033495-0.022055i,0.041979+0.040134i,-0.061617-0.091506i,0.24522+0.68288i,0.010461+0.21458i,0.061476-0.12428i,0.16748+0.083401i,-0.03788-0.09383i,0.032423+0.11857i,0.34843+0.29815i,-0.077185+0.076539i,0.17099-0.21169i
0.035333-0.0063264i,-0.046189+0.0054606i,0.067002-0.0026452i,-0.12244-0.0080482i,0.72565+0.15776i,0.17102+0.084118i,-0.043108-0.089188i,0.19828-0.072628i,-0.10032-0.014787i,0.11277+0.032247i,0.4518-0.056667i,0.011427+0.086129i,-0.07019-0.24056i
0.020358-0.024455i,-0.027356+0.033018i,0.04138-0.049092i,-0.080414+0.090738i,0.52224-0.52962i,0.14378-0.11349i,-0.065941+0.001648i,0.098955-0.21738i,-0.074781+0.088282i,0.092934-0.087631i,0.2505-0.3601i,0.068834+0.019272i,-0.23091-0.056911i
-0.0053769-0.021487i,0.008692+0.031791i,-0.014661-0.052085i,0.029332+0.10719i,-0.17548-0.71283i,-0.034319-0.18776i,-0.0086524+0.054437i,-0.084857-0.24898i,0.024924+0.13339i,-0.015584-0.14652i,-0.1072-0.40249i,0.047417-0.064435i,-0.17084+0.17977i
