0.052642+0.017429i,-0.058936-0.015388i,0.068287+0.010531i,-0.085217+0.0025624i,0.13523-0.056466i,0.45973-0.74521i,-0.010483+0.18384i,-0.011025-0.26551i,0.091721-0.168i,-0.095245+0.016443i,0.18652-0.025232i,-0.027934-0.068574i,0.0832+0.062471i
-0.060127-0.0050656i,0.066647+0.0021036i,-0.076084+0.0039395i,0.092594-0.0188i,-0.13936+0.076788i,-0.39626+0.76429i,-0.013834-0.17165i,0.047477+0.25082i,-0.077782+0.18932i,0.10086-0.039105i,-0.19574+0.052121i,0.041179+0.041069i,-0.098412-0.029429i
0.063897-0.0098707i,-0.070421+0.013876i,0.079684-0.02123i,-0.095452+0.037965i,0.13848-0.099965i,0.33544-0.776i,0.033094+0.15462i,-0.078305-0.22957i,0.057502-0.21142i,-0.099475+0.065107i,0.19711-0.083088i,-0.045571-0.0088814i,0.10337-0.0088741i
-0.06305+0.026087i,0.06931-0.031186i,-0.078092+0.039898i,0.092744-0.058522i,-0.13147+0.12435i,-0.27873+0.78191i,-0.045927-0.13461i,0.10187+0.20378i,-0.029863+0.23214i,0.089707-0.092049i,-0.18905+0.11547i,0.039376-0.024989i,-0.096161+0.049009i
0.057185-0.041979i,-0.062897+0.048137i,0.07087-0.058155i,-0.084013+0.078571i,0.11788-0.1479i,0.22696-0.78405i,0.05168+0.11391i,-0.11731-0.17596i,-0.0053256-0.24886i,-0.071066+0.11702i,0.17102-0.14602i,-0.02198+0.056924i,0.076133-0.086862i
-0.046504+0.055834i,0.051396-0.062925i,-0.058248+0.074095i,0.06951-0.096092i,-0.098001+0.16847i,-0.18015+0.78458i,-0.050556-0.09497i,0.12469+0.14881i,0.047265+0.25884i,0.044152-0.13694i,-0.14364+0.17136i,-0.0059004-0.083133i,-0.044135+0.11815i
0.031824-0.06607i,-0.035671+0.073882i,0.041142-0.085957i,-0.050211+0.10922i,0.072887-0.18406i,0.13753-0.78551i,0.043637+0.080052i,-0.12502-0.12485i,-0.094157-0.25965i,-0.010666+0.14904i,0.10875-0.18838i,0.042207+0.10017i,0.0025269-0.13897i
-0.014506+0.071459i,0.017154-0.079718i,-0.021067+0.092379i,0.027726-0.1165i,-0.044271+0.19312i,-0.097606+0.78841i,-0.032771-0.070921i,0.12015+0.10607i,0.14334+0.24948i,-0.026739-0.1512i,-0.069249+0.19475i,-0.083716-0.10541i,0.045026+0.14638i
-0.0037154-0.071316i,0.0023248+0.079712i,-4.4504e-05-0.092596i,-0.0041052+0.11713i,0.014354-0.19478i,0.058379-0.79414i,0.020341+0.068579i,-0.11252-0.093678i,-0.19157-0.22747i,0.064745+0.14231i,0.028747-0.18921i,0.1264+0.097467i,-0.093959-0.13881i
0.0073736-0.019708i,-0.0037297+0.020156i,-0.0036072-0.019778i,0.021303+0.016587i,-0.088635+0.0018717i,-0.86289+0.31414i,0.18253-0.1022i,-0.23496+0.15835i,-0.1336+0.083838i,0.017647+0.0086646i,-0.082754-0.017464i,-0.11814+0.059233i,0.089603-0.068622i
