0.01259-0.057186i,-0.015413+0.069274i,0.019858-0.088092i,-0.027875+0.12163i,0.046645-0.19922i,-0.14192+0.5889i,-0.13601+0.54164i,0.045518-0.17011i,-0.026527+0.088372i,0.016765-0.040775i,-0.0035436-0.034015i,0.095833-0.45776i,-0.042675+0.13063i
-0.051016+0.028803i,0.061882-0.034757i,-0.078863+0.043939i,0.10926-0.060135i,-0.1799+0.097184i,0.53618-0.28134i,0.49987-0.24999i,-0.16081+0.073633i,0.087909-0.032798i,-0.048218+0.0056683i,-0.0076352+0.04507i,-0.34581+0.30928i,0.11551-0.070511i
0.055381+0.018474i,-0.066973-0.022565i,0.085005+0.029106i,-0.11712-0.041104i,0.19136+0.069697i,-0.564-0.21722i,-0.51682-0.21691i,0.16145+0.077903i,-0.083075-0.051695i,0.037038+0.043785i,0.036653-0.049847i,0.45605-0.043649i,-0.1312-0.021501i
-0.02329-0.052832i,0.027876+0.064062i,-0.034855-0.081711i,0.046976+0.11351i,-0.074242-0.18789i,0.20757+0.56537i,0.17357+0.53592i,-0.044895-0.17765i,0.012432+0.1032i,0.013678-0.067122i,-0.073851+0.028611i,-0.38727-0.23035i,0.084005+0.099663i
-0.023073+0.051616i,0.028385-0.062291i,-0.036936+0.078949i,0.052738-0.10872i,-0.090673+0.17781i,0.28767-0.52569i,0.29406-0.48498i,-0.10904+0.15357i,0.075812-0.081406i,-0.069344+0.04027i,0.093027+0.023548i,0.17459+0.40566i,-0.00012002-0.12728i
0.052273-0.016569i,-0.063611+0.019497i,0.081544-0.023894i,-0.11407+0.031409i,0.19069-0.047991i,-0.58194+0.12742i,-0.56324+0.096737i,0.1929-0.019116i,-0.11862-0.0030195i,0.087512+0.025205i,-0.069607-0.086639i,0.09217-0.42164i,-0.077966+0.09552i
-0.045097-0.027666i,0.054545+0.034271i,-0.069386-0.044879i,0.096095+0.064436i,-0.15849-0.11129i,0.47461+0.35433i,0.44655+0.36315i,-0.14603-0.13501i,0.082271+0.094378i,-0.048471-0.087744i,0.0014658+0.12408i,-0.31022+0.28434i,0.11506-0.025595i
0.0074883+0.050652i,-0.0085533-0.062008i,0.010107+0.080031i,-0.012655-0.11284i,0.017964+0.19043i,-0.041597-0.58811i,-0.021663-0.57832i,-0.0027247+0.2027i,0.01303-0.1295i,-0.028748+0.10328i,0.083298-0.1056i,0.40585-0.056205i,-0.10068-0.045786i
0.033843-0.037064i,-0.041785+0.045176i,0.054444-0.057996i,-0.077619+0.081218i,0.13279-0.13583i,-0.4175+0.41415i,-0.42125+0.39942i,0.15375-0.13553i,-0.10544+0.081402i,0.096816-0.056003i,-0.13921+0.029767i,-0.35799-0.17573i,0.050687+0.087748i
-0.050026-0.0029514i,0.061349+0.00375i,-0.079309-0.0050483i,0.112+0.007495i,-0.18933-0.013548i,0.58604+0.046166i,0.5785+0.052657i,-0.20433-0.023204i,0.13284+0.021095i,-0.11075-0.028862i,0.1303+0.06997i,0.19682+0.3351i,0.0059004-0.090108i
