-0.042373+0.023514i,0.049258-0.021179i,-0.060549+0.016177i,0.083538-0.0040081i,-0.16119-0.04132i,-0.67572-0.45896i,0.088709+0.10486i,-0.055418-0.072094i,0.10125+0.032559i,0.3717-0.24574i,-0.14198+0.11978i,0.24686-0.048301i,-0.0067858+0.19254i
0.028441-0.0014256i,-0.029279-0.0037021i,0.029591+0.013584i,-0.028286-0.036603i,0.019188+0.12242i,-0.13679+0.85011i,0.053992-0.17569i,-0.040923+0.14034i,-0.0054763-0.18142i,-0.35766-0.18015i,0.18483-0.033814i,-0.29279+0.1365i,0.073573+0.0047356i
-0.0016299-0.022655i,-0.0029944+0.024536i,0.012195-0.027646i,-0.034076+0.034323i,0.11652-0.059026i,0.81936-0.23171i,-0.16925+0.036225i,0.13165-0.038216i,-0.15383+0.10245i,-0.075823+0.34349i,-0.056398-0.075919i,0.067084-0.085079i,-0.11932-0.19116i
-0.0077262+0.026189i,0.011111-0.023177i,-0.017542+0.016528i,0.032497+0.00018996i,-0.08874-0.064795i,-0.55717-0.67264i,0.11305+0.15952i,-0.097365-0.12658i,0.16009+0.12817i,0.34637-0.055486i,-0.080862+0.095105i,0.17452-0.059693i,0.1039+0.18188i
-0.007835-0.014665i,0.010495+0.011375i,-0.015312-0.0040371i,0.02592-0.014894i,-0.063503+0.090614i,-0.34594+0.80201i,0.056805-0.19104i,-0.033041+0.16852i,0.014382-0.2356i,-0.1102-0.25333i,0.070867-0.044889i,-0.17098+0.17874i,-0.040824-0.025405i
0.018455+0.012921i,-0.024222-0.01478i,0.034805+0.017151i,-0.05864-0.020339i,0.14572+0.025387i,0.83314-0.016509i,-0.15358+0.034577i,0.11872-0.050234i,-0.16821+0.095895i,-0.27633+0.13928i,0.033509+0.026486i,-0.034356-0.18734i,-0.045836-0.065493i
0.0049696-0.023861i,-0.0035288+0.030308i,0.00036632-0.041418i,0.0077578+0.065024i,-0.040374-0.1472i,-0.34729-0.74999i,0.083649+0.12142i,-0.077929-0.083382i,0.12774+0.11418i,0.25364+0.23222i,-0.05522-0.055668i,0.1592+0.076655i,0.13092-0.0085488i
-0.045622+0.020638i,0.051572-0.025045i,-0.061088+0.032905i,0.079981-0.050337i,-0.14235+0.11388i,-0.51909+0.60517i,0.052148-0.10881i,-0.020849+0.088928i,0.035186-0.14808i,0.16726-0.31664i,-0.055704+0.044281i,-0.036876+0.085678i,-0.16341+0.11402i
-0.0024444-0.0012386i,0.003017-0.0050759i,-0.0037807+0.016681i,0.0048064-0.042316i,-0.0059565+0.13255i,0.017091+0.84063i,-0.0174-0.1496i,0.031157+0.087297i,-0.090117-0.02599i,-0.32281+0.31408i,0.10957-0.14132i,-0.21056+0.07116i,-0.04871-0.19885i
0.0018147+0.047863i,-0.0076728-0.048392i,0.018372+0.047334i,-0.04189-0.041314i,0.12431+0.0098066i,0.7609-0.42107i,-0.13078+0.14683i,0.070617-0.1434i,0.0031072+0.18927i,0.40886+0.091024i,-0.19281+0.093513i,0.28412-0.20877i,-0.064899+0.064404i
0.018814-0.046691i,-0.015986+0.054042i,0.0096411-0.065464i,0.0065691+0.086955i,-0.07017-0.15238i,-0.66423-0.48526i,0.15573+0.016618i,-0.12663+0.042998i,0.14048-0.13677i,0.00052554-0.32715i,0.084409+0.026509i,-0.083723+0.14957i,0.15387+0.1073i
-0.034975-0.0062733i,0.039764+0.00075872i,-0.0467+0.0096254i,0.058628-0.033108i,-0.091131+0.11772i,-0.19435+0.81279i,-0.024363-0.1581i,0.063325+0.10871i,-0.1489-0.089821i,-0.34857+0.10461i,0.069973-0.087638i,-0.15584+0.04818i,-0.14007-0.14429i
0.030269+0.054757i,-0.038153-0.05798i,0.051415+0.061373i,-0.078718-0.064258i,0.17025+0.061439i,0.79496-0.18174i,-0.10724+0.11856i,0.046548-0.13921i,0.00017149+0.21952i,0.17461+0.23425i,-0.075704+0.05664i,0.15554-0.19976i,0.057551+0.036841i
-0.0079541-0.056398i,0.010598+0.065624i,-0.015582-0.079979i,0.027127+0.10715i,-0.070499-0.19092i,-0.42794-0.64018i,0.085449+0.035548i,-0.073748+0.030889i,0.12307-0.10729i,0.26626-0.19244i,-0.054399-0.024667i,0.068994+0.19573i,0.021674+0.04342i
-0.021057+0.023249i,0.026482-0.029376i,-0.035308+0.039725i,0.052731-0.061262i,-0.10832+0.13485i,-0.45223+0.65885i,0.04472-0.10054i,0.003437+0.064339i,-0.079786-0.084686i,-0.34799-0.18756i,0.11467+0.053825i,-0.21583-0.074119i,-0.077782+0.02886i
0.043269+0.0081789i,-0.051212-0.010602i,0.064332+0.01446i,-0.091074-0.021698i,0.18074+0.042759i,0.77284+0.14588i,-0.098028+0.00012368i,0.047693-0.031122i,-0.0433+0.11216i,-0.073339+0.37208i,0.013166-0.079604i,0.067906-0.058076i,0.11957-0.15484i
-0.042576-0.0198i,0.045388+0.027113i,-0.049257-0.039668i,0.055911+0.065962i,-0.075975-0.15527i,-0.13626-0.79382i,-0.0091997+0.11942i,0.0069286-0.062761i,0.057997+0.031622i,0.45298-0.072928i,-0.18823+0.017359i,0.22642+0.1173i,-0.1221+0.13457i
0.015156+0.017299i,-0.01129-0.021356i,0.0033994+0.028308i,0.015462-0.043136i,-0.085811+0.095509i,-0.6988+0.48731i,0.14735-0.08355i,-0.10278+0.067432i,0.063799-0.12283i,-0.28598-0.33992i,0.18784+0.09128i,-0.32341-0.079776i,0.056847+0.062316i
0.016294-0.012323i,-0.021141+0.0096194i,0.030134-0.0042452i,-0.0506-0.008176i,0.12605+0.052669i,0.72697+0.42494i,-0.13579-0.082866i,0.10621+0.045289i,-0.14881+0.015584i,-0.2124+0.33059i,-0.0010103-0.12206i,0.099203-0.0081153i,0.032514-0.24037i
-0.022439+0.012537i,0.022229-0.0077076i,-0.021354-0.0019622i,0.018841+0.02495i,-0.0096139-0.11119i,0.0999-0.86318i,-0.029658+0.18487i,0.010407-0.14383i,0.055433+0.16279i,0.3981+0.072262i,-0.15739+0.045695i,0.20566+0.048327i,-0.059581+0.21432i
0.0055612-0.019075i,-0.00097118+0.019132i,-0.0082028-0.018076i,0.030035+0.01341i,-0.11209+0.010453i,-0.81568+0.30685i,0.16935-0.099113i,-0.12796+0.10518i,0.12971-0.17971i,-0.063921-0.31448i,0.12696+0.02607i,-0.27961+0.0219i,0.017612-0.028466i
0.00053119+0.022525i,-0.0029844-0.02845i,0.0083575+0.03841i,-0.022218-0.05885i,0.078158+0.127i,0.5884+0.58784i,-0.13488-0.077508i,0.12292+0.031799i,-0.19211+0.00080206i,-0.29799+0.077929i,0.0050497-0.0024346i,0.093494-0.13455i,-0.0055375-0.11439i
0.021705-0.0083369i,-0.025837+0.013643i,0.032343-0.023413i,-0.044781+0.045401i,0.083384-0.1255i,0.29979-0.77262i,-0.02041+0.14863i,-0.012272-0.11658i,0.059402+0.16501i,0.18381+0.28356i,-0.046277-0.052182i,0.10607+0.13249i,0.086098+0.10106i
