0.007839-0.050888i,-0.0094452+0.046643i,0.01327-0.036262i,-0.026328+0.0029214i,0.30833+0.64434i,0.063148+0.17964i,-0.065861-0.12825i,0.5203+0.035657i,0.068957-0.13814i,-0.041474+0.14026i,-0.047675-0.049208i,0.0016835+0.11073i,-0.0099793-0.1085i
-0.059222+0.027315i,0.060137-0.022932i,-0.060419+0.012326i,0.058565+0.022453i,-0.0084308-0.72479i,0.06962-0.1812i,-0.053939+0.14922i,-0.22174-0.51278i,-0.13656+0.031721i,0.12797-0.064925i,-0.017276+0.02091i,0.087891-0.063153i,-0.08236+0.069647i
0.014759+0.016539i,-0.022796-0.018242i,0.038076+0.021235i,-0.079007-0.029038i,0.77998+0.16707i,0.09226+0.0080622i,-0.011868+0.00038111i,-0.47155+0.048368i,-0.10794+0.01979i,0.056255-0.015787i,-0.16239+0.025368i,0.076321-0.01563i,-0.073226+0.0033765i
-0.0013581-0.015644i,0.007085+0.021144i,-0.018398-0.03139i,0.049773+0.058274i,-0.60315-0.5095i,-0.089849-0.049093i,0.032799-0.0074948i,0.23515+0.41212i,0.078395+0.081224i,-0.044691-0.045073i,0.15088+0.071562i,-0.068928-0.04558i,0.057792+0.055i
-0.0023451+0.007702i,0.0003102-0.014791i,0.0041559+0.028584i,-0.018063-0.066302i,0.29419+0.72279i,0.062521+0.096517i,-0.053338-0.023814i,0.28524-0.3945i,0.023967-0.10776i,-0.016565+0.066321i,-0.077887-0.13319i,0.013939+0.078224i,0.0026375-0.080123i
-0.0024739-0.0060397i,0.0011883+0.01264i,0.0011154-0.025995i,-0.0063354+0.064371i,0.069016-0.77126i,-0.0022885-0.125i,0.031103+0.071525i,-0.49811-0.089411i,-0.096377+0.034674i,0.067149-0.023214i,-0.0044122+0.12759i,0.042597-0.053846i,-0.05953+0.045224i
0.0026761+0.014236i,0.00087655-0.019415i,-0.0082227+0.029922i,0.029384-0.060871i,-0.41279+0.65537i,-0.069342+0.1088i,0.031125-0.084346i,0.15276+0.50229i,0.068547+0.058845i,-0.055639-0.042089i,0.043005-0.081877i,-0.051716-0.0010114i,0.061942+0.019814i
0.01029-0.020202i,-0.015518+0.023705i,0.026322-0.030309i,-0.058404+0.048797i,0.67306-0.3968i,0.1148-0.050918i,-0.083425+0.040349i,0.37905-0.38002i,0.021823-0.074378i,-0.0049753+0.06359i,-0.036146+0.052236i,0.012782+0.029941i,-0.009747-0.05333i
-0.027325+0.0096493i,0.033982-0.010841i,-0.047046+0.01248i,0.084497-0.01524i,-0.79099+0.038271i,-0.11439-0.015753i,0.081763+0.025836i,-0.51517-0.15057i,-0.070303+0.00093942i,0.049749-0.021744i,0.0314-0.063105i,0.024257-0.0055004i,-0.042018+0.023341i
0.028915+0.014902i,-0.036009-0.017125i,0.049268+0.021834i,-0.085118-0.036725i,0.72297+0.34578i,0.083196+0.059227i,-0.035891-0.059713i,0.10983+0.51203i,0.020046+0.072714i,-0.030804-0.034321i,-0.070034+0.080101i,-0.011037-0.039887i,0.036716+0.03711i
-0.0073172-0.032154i,0.012635+0.038124i,-0.022466-0.04939i,0.047931+0.08057i,-0.46909-0.65377i,-0.050661-0.077414i,-0.0035064+0.046406i,0.38597-0.31813i,0.074306-0.054558i,-0.029739+0.038138i,0.13604-0.047504i,-0.045516+0.045934i,0.02458-0.060171i
-0.020478+0.022853i,0.019227-0.030972i,-0.016562+0.046177i,0.0095228-0.086828i,0.0939+0.79266i,0.025636+0.091701i,0.0046475-0.024008i,-0.42907-0.19861i,-0.10307-0.048616i,0.0603+0.021836i,-0.16548-0.047064i,0.085398+0.010918i,-0.079746+0.011968i
0.026438+0.0068949i,-0.029778+0.00034182i,0.035495-0.014537i,-0.049783+0.053374i,0.29071-0.72562i,0.011551-0.1115i,0.0081976+0.033791i,-0.0096862+0.45114i,0.019202+0.13347i,-0.014645-0.08531i,0.1102+0.14882i,-0.055082-0.086812i,0.065413+0.068861i
-0.0012369-0.026678i,0.0073404+0.022761i,-0.018967-0.01408i,0.050018-0.011923i,-0.5781+0.4912i,-0.077409+0.11229i,0.013723-0.06469i,0.41593-0.15885i,0.10766-0.10573i,-0.075854+0.078548i,0.0079484-0.18119i,-0.034152+0.10833i,0.017571-0.10435i
-0.03091+0.010901i,0.024731-0.010522i,-0.011625+0.0087944i,-0.026477-0.0013406i,0.71534-0.17362i,0.14917-0.058355i,-0.077015+0.060299i,-0.31374-0.33526i,-0.15828-0.021221i,0.12761+0.0097976i,-0.10897+0.11816i,0.10954-0.044529i,-0.099145+0.052586i
0.031941+0.031338i,-0.02708-0.0297i,0.015807+0.026055i,0.019647-0.01581i,-0.70757-0.15042i,-0.1708-0.049045i,0.12373+0.013048i,-0.19204+0.4498i,0.082519+0.13714i,-0.084396-0.11211i,0.1248-0.012308i,-0.10244-0.057751i,0.10368+0.047956i
0.011081-0.058439i,-0.015083+0.055963i,0.023693-0.049049i,-0.050343+0.025545i,0.58043+0.43969i,0.10495+0.15257i,-0.08776-0.11282i,0.52476-0.025364i,0.05226-0.14264i,-0.027089+0.14216i,-0.061001-0.050809i,0.01446+0.11241i,-0.022503-0.11035i
-0.066362+0.033899i,0.070182-0.030062i,-0.076246+0.020413i,0.090885+0.011854i,-0.34492-0.66891i,0.019833-0.17926i,-0.025774+0.14929i,-0.28232-0.48145i,-0.12948+0.042693i,0.1197-0.07397i,-0.0092438+0.029743i,0.080161-0.072156i,-0.074849+0.078984i
0.024955+0.0080064i,-0.03325-0.0064985i,0.048735+0.0032656i,-0.08963+0.006171i,0.78387-0.17652i,0.079102-0.036981i,0.00077788+0.018544i,-0.47605+0.088189i,-0.092109+0.040637i,0.040476-0.030678i,-0.14611+0.037803i,0.059349-0.026661i,-0.055428+0.013514i
-0.011795-0.015883i,0.019218+0.018813i,-0.03361-0.023824i,0.07304+0.035671i,-0.76467-0.2114i,-0.10136+0.0012382i,0.030957-0.034983i,0.28217+0.40328i,0.082116+0.054497i,-0.043891-0.021994i,0.14813+0.049777i,-0.064881-0.024276i,0.052733+0.033726i
0.0028463+0.012581i,-0.0074327-0.018249i,0.016901+0.028947i,-0.044768-0.057287i,0.57162+0.53507i,0.10115+0.056452i,-0.06998+0.003955i,0.25052-0.44228i,0.003719-0.09162i,-0.0013367+0.048931i,-0.091201-0.11536i,0.026278+0.059959i,-0.0091986-0.061313i
-0.0026458-0.0096236i,0.0041401+0.016066i,-0.0075268-0.028931i,0.018788+0.065452i,-0.26091-0.73141i,-0.058885-0.1111i,0.064255+0.057903i,-0.52549-0.025235i,-0.073321+0.035841i,0.045487-0.020463i,0.016578+0.12362i,0.021812-0.049235i,-0.038618+0.040188i
0.0023205+0.014072i,-0.0012985-0.02024i,-0.00080745+0.032767i,0.006588-0.069516i,-0.10152+0.76987i,-0.013423+0.12795i,-0.0050229-0.094214i,0.22886+0.48794i,0.054186+0.046376i,-0.039132-0.031732i,0.026167-0.091612i,-0.034698+0.0085709i,0.044685+0.010122i
