0.015804+0.024335i,-0.018026-0.029616i,0.021257+0.037762i,-0.026558-0.0519i,0.037405+0.082167i,-0.074903-0.18928i,-0.29015-0.84733i,0.050239+0.15115i,-0.067049-0.11858i,-0.12287-0.021172i,0.061525-0.019007i,-0.078394+0.022848i,0.31997-0.062567i
0.024097-0.0083884i,-0.029369+0.011109i,0.037465-0.015375i,-0.051415+0.022825i,0.080925-0.038621i,-0.18353+0.092834i,-0.78893+0.40726i,0.12473-0.056508i,-0.052258-0.017834i,0.10549-0.17505i,-0.070074+0.091168i,0.075933-0.093634i,-0.24821+0.25778i
0.0059347-0.031909i,-0.0064607+0.037868i,0.0070613-0.046891i,-0.0077117+0.062279i,0.0082311-0.094737i,-0.0070855+0.20849i,0.039787+0.88994i,-0.02523-0.15435i,0.042355+0.13499i,0.02102+0.093994i,0.015607-0.027112i,-0.039249+0.039479i,0.22575-0.20516i
-0.03842-0.0087674i,0.045166+0.011148i,-0.055108-0.014864i,0.071473+0.021346i,-0.10442-0.035146i,0.21338+0.083006i,0.77945+0.3652i,-0.087948-0.054807i,-0.017022+0.0028507i,-0.13231-0.11316i,0.034972+0.064615i,0.0052754-0.070857i,-0.2058+0.22559i
-0.0070226+0.013029i,0.01014-0.016393i,-0.015328+0.021691i,0.025023-0.031063i,-0.047277+0.051442i,0.13106-0.12426i,0.71572-0.58135i,-0.15944+0.10552i,0.16448-0.070735i,0.058728+0.041476i,0.033251-0.048125i,-0.064388+0.061247i,0.26282-0.21297i
-0.0084888+0.037294i,0.0084419-0.044133i,-0.0079342+0.054293i,0.0062672-0.071169i,-0.0010021+0.10551i,-0.023263-0.22037i,-0.25147-0.83676i,0.080562+0.10465i,-0.10622-0.0044697i,-0.048023+0.12096i,-0.026805-0.038876i,0.0592+0.0047782i,-0.26394+0.15371i
0.041665-0.0059396i,-0.048638+0.0059815i,0.058911-0.0057038i,-0.075867+0.004574i,0.11026-0.00067172i,-0.22559-0.018459i,-0.84432-0.20839i,0.10962+0.072275i,-0.033983-0.11237i,0.036531-0.097052i,0.00078013+0.0014888i,-0.034715+0.027719i,0.24676-0.17662i
0.0083385-0.011024i,-0.011463+0.01462i,0.016474-0.020445i,-0.025446+0.031057i,0.045036-0.054863i,-0.11464+0.14275i,-0.55026+0.73377i,0.095231-0.15413i,-0.035146+0.14986i,0.12998+0.049524i,-0.087812+0.027668i,0.099989-0.049952i,-0.30337+0.18937i
-0.007286-0.035244i,0.0098634+0.041452i,-0.013941-0.050667i,0.021122+0.065984i,-0.03647-0.097236i,0.089523+0.20235i,0.40224+0.77185i,-0.05796-0.10079i,-0.014423+0.02096i,-0.17564-0.076773i,0.095091+0.0239i,-0.10188+0.0031529i,0.30647-0.14215i
-0.033333+0.0046558i,0.039419-0.0049756i,-0.04859+0.0053597i,0.064158-0.0058561i,-0.096835+0.0066287i,0.21087-0.0087645i,0.88747-0.011513i,-0.15137-0.00023924i,0.13199-0.010364i,0.10131-0.049796i,-0.035182+0.030464i,0.052513-0.039442i,-0.2673+0.16282i
-0.006902+0.027975i,0.0091661-0.033838i,-0.012766+0.042726i,0.019153-0.057803i,-0.032964+0.089116i,0.081459-0.19574i,0.37595-0.79557i,-0.059746+0.11035i,0.0061616-0.011639i,-0.12657+0.16205i,0.076806-0.080213i,-0.088759+0.0721i,0.30127-0.17975i
0.0099634+0.016827i,-0.013069-0.020785i,0.018053+0.026981i,-0.027026-0.037914i,0.046839+0.061764i,-0.11848-0.14797i,-0.58005-0.70276i,0.10963+0.13917i,-0.073982-0.13954i,0.057436-0.091372i,-0.0628+0.011777i,0.082809-0.01196i,-0.30116+0.11958i
0.041021-0.00025641i,-0.048154+0.0010062i,0.05866-0.0023264i,-0.075951+0.0049267i,0.11081-0.011209i,-0.22645+0.0361i,-0.8324+0.2271i,0.098055-0.060008i,0.0018329+0.083593i,0.10438+0.084303i,-0.021924-0.018644i,-0.020364+0.016606i,0.25425-0.11546i
-0.01017-0.033031i,0.010511+0.039274i,-0.010564-0.048682i,0.0097836+0.064594i,-0.0061781-0.097695i,-0.013238+0.21128i,-0.22405+0.85854i,0.082584-0.12756i,-0.12337+0.053736i,-0.081789-0.073467i,-0.017175+0.043736i,0.056018-0.039569i,-0.289+0.12862i
