0.028317-0.038936i,-0.033308+0.046359i,0.040506-0.057172i,-0.051831+0.074359i,0.072356-0.10583i,-0.1214+0.18174i,0.40023-0.61671i,0.28932-0.46252i,-0.10371+0.17408i,0.065768-0.1178i,0.014689-0.015667i,0.0093393-0.034803i,0.014401+0.012114i
-0.025569+0.041169i,0.030112-0.048906i,-0.036681+0.060151i,0.047046-0.07798i,-0.065898+0.11054i,0.11112-0.18887i,-0.36932+0.6365i,-0.27071+0.47266i,0.099756-0.17502i,-0.06819+0.11411i,-0.039747-0.0031859i,-0.0076815+0.034706i,-0.0082212-0.0057431i
0.022737-0.043288i,-0.026824+0.051321i,0.032753-0.062973i,-0.042142+0.081406i,0.059292-0.11499i,-0.10063+0.19556i,0.33767-0.65493i,0.25141-0.48178i,-0.095295+0.17542i,0.069394-0.10939i,0.056548+0.02955i,0.0081371-0.036924i,-0.00055608+0.0028833i
-0.019894+0.0452i,0.023526-0.053501i,-0.028815+0.065524i,0.037226-0.084508i,-0.052663+0.11902i,0.090056-0.20166i,-0.30552+0.67179i,-0.23126+0.4901i,0.090037-0.17565i,-0.068839+0.10435i,-0.063568-0.060781i,-0.010579+0.041265i,0.011226-0.0037346i
0.017109-0.046813i,-0.020295+0.055347i,0.024953-0.067692i,-0.032396+0.08716i,0.046125-0.1225i,-0.079554+0.20699i,0.27308-0.68683i,0.21013-0.49787i,-0.083767+0.17608i,0.066169-0.099748i,0.060302+0.093752i,0.014686-0.047366i,-0.022921+0.0082349i
-0.01444+0.048047i,0.017193-0.056769i,-0.021237+0.069379i,0.027729-0.089252i,-0.039768+0.1253i,0.069228-0.2114i,-0.2405+0.69986i,-0.18795+0.50528i,0.07636-0.17704i,-0.061238+0.096299i,-0.047331-0.12519i,-0.019955+0.05474i,0.03466-0.016071i
0.011931-0.048842i,-0.014269+0.057703i,0.017719-0.070513i,-0.023286+0.090702i,0.033659-0.12732i,-0.059158+0.21477i,0.20792-0.71072i,0.1647-0.5125i,-0.067786+0.17878i,0.054115-0.094611i,0.026276+0.15199i,0.025738-0.062818i,-0.045417+0.026708i
-0.0096137+0.049165i,0.011556-0.058112i,-0.014435+0.071054i,0.019102-0.091464i,-0.027836+0.12851i,0.049388-0.21703i,-0.17542+0.7193i,-0.14042+0.51962i,0.058109-0.18149i,-0.045075+0.095112i,0.00036859-0.17158i,-0.031291+0.071007i,0.054195-0.039426i
0.0075027-0.049018i,-0.0090681+0.057997i,0.011398-0.071003i,-0.015191+0.091539i,0.022314-0.12887i,-0.039932+0.21819i,0.14305-0.72559i,0.11523-0.52664i,-0.047472+0.18519i,0.034558-0.097998i,-0.029479+0.18215i,0.035839-0.078734i,-0.060095+0.053378i
-0.041914+0.021402i,0.049643-0.025889i,-0.060836+0.032513i,0.078508-0.043183i,-0.11062+0.062972i,0.1874-0.11125i,-0.62326+0.38995i,-0.45194+0.30292i,0.15839-0.11709i,-0.082735+0.073532i,0.15883-0.11264i,-0.065468+0.075317i,0.038884-0.093363i
