0.034486-0.048959i,-0.047914+0.069805i,0.081493-0.12272i,-0.3356+0.52937i,-0.13311+0.22579i,0.048347-0.093491i,-0.023353+0.060406i,0.00603-0.047832i,0.022187+0.049119i,-0.52187-0.27095i,-0.08179-0.0076463i,0.035289-0.026735i,-0.24143-0.28075i
-0.06251-0.0065068i,0.086927+0.0070062i,-0.14906-0.0080797i,0.62775+0.016245i,0.26204-0.00034218i,-0.10676+0.0020492i,0.06861-0.00050169i,-0.055255-0.0046699i,0.06069+0.02255i,-0.41303-0.4322i,-0.03431-0.067038i,0.020687+0.015822i,0.027769-0.38426i
-0.022651-0.027877i,0.039785+0.043884i,-0.084584-0.085427i,0.43509+0.40989i,0.21857+0.19581i,-0.10505-0.091749i,0.076806+0.068138i,-0.064802-0.06358i,0.058532+0.080543i,-0.050072-0.61945i,0.050802-0.056706i,-0.025184+0.041033i,0.37866+0.089397i
-0.0026589+0.053526i,0.0072977-0.078115i,-0.019718+0.13993i,0.11802-0.60988i,0.065554-0.25873i,-0.033482+0.10319i,0.024815-0.059601i,-0.019146+0.033635i,0.0085631-0.00070548i,0.21766-0.50061i,0.061722-0.10755i,-0.040428+0.10093i,0.2194+0.23828i
0.054463+0.009877i,-0.077493-0.0034765i,0.13619-0.014994i,-0.58876+0.16894i,-0.25263+0.12356i,0.10588-0.076032i,-0.06998+0.067711i,0.057884-0.069667i,-0.065339+0.085277i,0.46665-0.44497i,0.044541+0.0017078i,-0.034998+7.6624e-05i,-0.052435+0.37453i
-0.046549-0.029982i,0.066103+0.045082i,-0.11483-0.084389i,0.48283+0.39179i,0.19581+0.18195i,-0.073301-0.082945i,0.037878+0.059371i,-0.015137-0.051512i,-0.017113+0.053979i,0.54283-0.21253i,0.096422+0.013481i,-0.086415-0.011113i,-0.23229+0.23102i
-0.034771+0.070759i,0.040424-0.095621i,-0.052429+0.15789i,0.13125-0.6317i,0.0071177-0.24535i,0.022096+0.089909i,-0.034833-0.049011i,0.048661+0.030032i,-0.077816-0.020466i,0.62251+0.076969i,0.041121+0.01324i,-0.030678-0.022285i,-0.35641-0.017421i
0.043594-0.0287i,-0.065315+0.038465i,0.12191-0.06239i,-0.56525+0.24095i,-0.26295+0.087226i,0.12076-0.027409i,-0.088082+0.0096499i,0.079841+0.0021925i,-0.093481-0.019435i,0.55637+0.30316i,0.019836+0.043673i,-0.0072204-0.047261i,-0.25034-0.24155i
-0.067029-0.0489i,0.087793+0.065089i,-0.13885-0.1045i,0.52156+0.39709i,0.1832+0.13976i,-0.055844-0.041396i,0.019482+0.011756i,0.0022358+0.0083389i,-0.027541-0.037289i,0.34749+0.49077i,0.026001+0.056992i,0.0024028-0.051992i,-0.010566-0.33694i
0.0018111+0.042377i,0.00066423-0.065468i,-0.0073825+0.12586i,0.060812-0.59999i,0.038984-0.28629i,-0.021497+0.13442i,0.016684-0.099819i,-0.013467+0.091617i,0.0078518-0.10786i,0.094515+0.63916i,0.025686+0.022188i,0.00077785-0.0082508i,0.25131-0.28031i
0.054188-0.042978i,-0.0771+0.054519i,0.13456-0.082021i,-0.57152+0.28262i,-0.2367+0.083134i,0.092814-0.014557i,-0.053987-0.0078846i,0.034041+0.025765i,-0.01753-0.056846i,-0.11583+0.59297i,-0.038023+0.052091i,0.052961-0.015713i,0.32834-0.036146i
-0.029318-0.027779i,0.048329+0.041937i,-0.098256-0.077725i,0.4909+0.35048i,0.2431+0.15364i,-0.11712-0.063059i,0.087907+0.036955i,-0.07966-0.019783i,0.088216-0.0062342i,-0.41681+0.44331i,0.0049712+0.080934i,-0.0041297-0.034942i,0.31567+0.2478i
0.0071302+0.052873i,-0.0065295-0.077315i,0.0037208+0.13947i,0.025662-0.61745i,0.033848-0.27025i,-0.026712+0.1147i,0.028766-0.07571i,-0.036271+0.060695i,0.059091-0.061626i,-0.54038+0.31399i,-0.047051+0.0043479i,0.020527+0.034494i,0.068702+0.33313i
0.05149-0.0092551i,-0.073835+0.019715i,0.13002-0.047399i,-0.55718+0.26556i,-0.23215+0.14199i,0.090522-0.071477i,-0.050296+0.054026i,0.025175-0.046426i,0.0095835+0.041259i,-0.56047+0.00087088i,-0.099379+0.04443i,0.048411-0.018923i,-0.22365+0.3467i
-0.045196-0.028249i,0.065724+0.040901i,-0.11824-0.073449i,0.52442+0.32601i,0.23173+0.14439i,-0.10065-0.062752i,0.069699+0.043041i,-0.061521-0.036459i,0.075852+0.039715i,-0.58341-0.22194i,-0.045512-0.0090827i,-0.0087736+0.0077459i,-0.343+0.11324i
-0.012879+0.061537i,0.013527-0.086516i,-0.014743+0.14945i,0.022897-0.62932i,-0.0075328-0.25866i,0.0093933+0.10042i,-0.0080936-0.056975i,0.0033081+0.032446i,0.013658-0.0042872i,-0.40556-0.382i,-0.072333-0.076224i,0.023986+0.038922i,-0.36431-0.18021i
0.053006-0.030424i,-0.074627+0.042526i,0.12912-0.07338i,-0.54493+0.31201i,-0.22486+0.13261i,0.088036-0.05609i,-0.051038+0.03903i,0.031338-0.036957i,-0.012133+0.054345i,-0.19811-0.5572i,-0.04367-0.06267i,0.014684+0.0095248i,-0.16476-0.3458i
-0.054091-0.033277i,0.075531+0.045113i,-0.12999-0.075231i,0.54842+0.30815i,0.22821+0.12599i,-0.091581-0.051496i,0.056289+0.035247i,-0.040121-0.034101i,0.030369+0.05361i,-0.0034643-0.59576i,0.025703-0.070712i,-0.0156+0.012489i,0.12573-0.36475i
-0.0031966-0.035933i,0.010819+0.058178i,-0.030837-0.11601i,0.18695+0.56756i,0.10317+0.27478i,-0.051605-0.12924i,0.036814+0.094673i,-0.026277-0.083995i,0.0068357+0.092609i,0.37355-0.4783i,0.088145-0.0088294i,-0.042838+0.0028613i,0.3648+0.18869i
