-0.00045049+0.0024657i,-6.3528e-05-0.0032925i,0.00094306+0.0045645i,-0.0025842-0.0067152i,0.0061775+0.011005i,-0.017545-0.023426i,0.6404+0.65422i,0.034567+0.025136i,-0.021704-0.005162i,-0.021353-0.3658i,-0.023136-0.030053i,0.025864+0.021658i,-0.037249-0.017417i
-0.010019-0.00498i,0.011321+0.0057988i,-0.013116-0.0070167i,0.015832+0.0090391i,-0.020686-0.013089i,0.033401+0.025195i,-0.63574-0.67638i,-0.010933-0.030064i,-0.0083463+0.020939i,0.26988-0.28334i,0.0010901-0.0078966i,0.01089+0.0032174i,-0.026557+0.00035696i
-0.0027528+0.01206i,0.0027006-0.013746i,-0.0025286+0.016109i,0.0020954-0.019752i,-0.00097636+0.026404i,-0.0028894-0.044233i,0.2215+0.90519i,0.015314+0.0202i,-0.00965+0.0065057i,-0.089394-0.37055i,-0.018194-0.0086089i,0.017893-0.0059909i,-0.02063+0.022968i
0.0065733-0.00080408i,-0.0073129+0.0015704i,0.0082911-0.0028387i,-0.0096869+0.0051493i,0.011981-0.010131i,-0.017311+0.025782i,0.23446-0.88455i,-0.0047115-0.046791i,0.01721+0.031381i,-0.37659-0.12462i,-0.0058391+0.018561i,-0.0062902-0.022832i,0.019866+0.03112i
0.0018094+0.0027706i,-0.0015125-0.0034541i,0.00091978+0.0045195i,0.00032252-0.0063702i,-0.0033104+0.010229i,0.013537-0.022142i,-0.60973+0.67552i,-0.039641+0.033917i,0.033306-0.025022i,-0.29745+0.27708i,0.010373+0.0013831i,-0.019968+0.004484i,0.033413-0.010964i
0.0074585-0.010029i,-0.0086716+0.011063i,0.010444-0.012413i,-0.013318+0.014316i,0.018904-0.017409i,-0.035022+0.024558i,0.87204-0.31861i,0.033173+0.0067101i,-0.01631-0.021574i,0.093556+0.38587i,0.00046504-0.0010716i,-0.0012221+0.015224i,0.0024111-0.032353i
-0.0072824+0.0049469i,0.0081209-0.0060569i,-0.0092757+0.0077132i,0.011036-0.010438i,-0.014257+0.01575i,0.023111-0.030891i,-0.47246+0.79594i,-0.013648+0.028406i,0.0066928-0.0061608i,-0.21146-0.30358i,-0.019267-0.022417i,0.0197+0.01278i,-0.027756-0.0025416i
0.0047999+0.0017944i,-0.0058828-0.0015067i,0.0075066+0.00096284i,-0.010191+0.00012563i,0.015447-0.0026307i,-0.030472+0.010832i,0.7897-0.46919i,0.02812-0.028012i,-0.0050954+0.018946i,-0.36854+0.006723i,-0.02793+0.020505i,0.018417-0.023582i,-0.011874+0.034286i
-0.0029859+0.0029539i,0.003901-0.0031032i,-0.0053443+0.0032684i,0.0078712-0.0034607i,-0.013155+0.0037302i,0.029418-0.0044102i,-0.91374+0.047718i,-0.045252+0.001073i,0.030226-0.0055325i,-0.19328+0.33321i,0.010486+0.024327i,-0.016093-0.019339i,0.027364+0.019605i
0.011016+0.0013909i,-0.012393-0.0017045i,0.014327+0.0022117i,-0.017337-0.0031328i,0.022958+0.0051553i,-0.038649-0.011758i,0.8388+0.39257i,0.026262+0.022715i,-0.011382-0.020815i,0.20058+0.33159i,0.017404+0.0069242i,-0.018777+0.0015912i,0.02639-0.012351i
-0.0039141-0.010156i,0.00475+0.01148i,-0.0059831-0.013332i,0.0079825+0.016192i,-0.011809-0.021461i,0.022458+0.035867i,-0.54604-0.75278i,-0.016559-0.02047i,-0.0016987+0.0038065i,0.37479-0.0055692i,0.022631-0.0091005i,-0.012565+0.015094i,0.0039989-0.027193i
