0.022327-0.024865i,-0.021774+0.029787i,0.018379-0.037294i,-0.0023974+0.05066i,-0.528-0.15103i,-0.12332+0.094235i,0.14205-0.26051i,0.074875-0.60724i,0.049+0.15623i,-0.15362-0.077155i,0.013318+0.094259i,-0.0515-0.081525i,0.074355+0.081446i
0.058732+0.043705i,-0.068034-0.049365i,0.082872+0.057541i,-0.11477-0.071816i,0.6631+0.20906i,-0.070573-0.096652i,0.22703+0.21959i,0.42227+0.37213i,-0.063474-0.04769i,-0.034373-0.075685i,-0.01292-0.041075i,-0.021531+0.0038866i,0.047381+0.014703i
-0.052325-0.054181i,0.061049+0.060724i,-0.075132-0.070023i,0.10595+0.085883i,-0.6515-0.23026i,0.057338+0.11531i,-0.20319-0.24969i,-0.39526-0.39335i,0.065751+0.039075i,0.013823+0.096125i,0.010931+0.02759i,0.017486+0.015523i,-0.040193-0.039724i
0.043839+0.062855i,-0.051834-0.070168i,0.064983+0.080455i,-0.094513-0.097729i,0.63693+0.24899i,-0.040771-0.13114i,0.17496+0.2759i,0.36878+0.41426i,-0.071225-0.03298i,0.011531-0.111i,-0.012953-0.015668i,-0.008318-0.032162i,0.026656+0.061179i
-0.033827-0.069317i,0.040972+0.077257i,-0.053043-0.088361i,0.081101+0.10684i,-0.62011-0.26469i,0.021643+0.1435i,-0.14323-0.29748i,-0.34225-0.43534i,0.078983+0.030176i,-0.040231+0.11929i,0.018198+0.0062725i,-0.0049186+0.04484i,-0.0080442-0.077603i
0.022915+0.073326i,-0.029125-0.081729i,0.040013+0.093454i,-0.066467-0.11289i,0.60184+0.277i,-0.00084003-0.15199i,0.10903+0.31391i,0.31494+0.45685i,-0.087956-0.031149i,0.07062-0.12039i,-0.025679-8.74e-05i,0.020919-0.052716i,-0.014056+0.087942i
-0.011748-0.07482i,0.016976+0.083509i,-0.026622-0.095644i,0.051391+0.11578i,-0.58296-0.28579i,-0.020707+0.15645i,-0.073462-0.32495i,-0.28611-0.47881i,0.097005+0.036077i,-0.10096+0.11408i,0.03429-0.0025228i,-0.038235+0.055336i,0.037873-0.091604i
0.0009409+0.073905i,-0.0051792-0.082702i,0.013569+0.095034i,-0.036628-0.1156i,0.5643+0.29115i,0.042089-0.15695i,0.0376+0.33063i,0.25502+0.50096i,-0.10501-0.044829i,0.12952-0.10059i,-0.042911+0.0015191i,0.055387-0.052655i,-0.061578+0.08849i
0.0089675-0.070837i,-0.0056879+0.07957i,-0.0014774-0.091893i,0.022854+0.11263i,-0.5466-0.29336i,-0.062474+0.15378i,-0.002445-0.33122i,-0.22104-0.52283i,0.11093+0.05699i,-0.15471+0.08052i,0.050491+0.0028309i,-0.070974+0.045012i,0.083419-0.078972i
-0.017545+0.065984i,0.015159-0.074497i,-0.009147+0.086622i,-0.010623-0.1073i,0.53048+0.29286i,0.081164-0.1474i,-0.031138+0.32719i,0.1837+0.54375i,-0.11391-0.071906i,0.17514-0.054835i,-0.056126-0.0099949i,0.083763-0.033086i,-0.10183+0.063845i
0.024487-0.059791i,-0.0229+0.067951i,0.017936-0.079714i,0.00034426+0.10012i,-0.51639-0.29021i,-0.097623+0.13839i,0.062456-0.31915i,-0.14273-0.56293i,0.11329+0.088738i,-0.18968+0.024758i,0.059117+0.019236i,-0.092771+0.017832i,0.11554-0.044256i
-0.029625+0.052735i,0.02872-0.060438i,-0.024672+0.071707i,0.0077307-0.091661i,0.50463+0.28602i,0.11149-0.12743i,-0.091007+0.30782i,0.09806+0.57951i,-0.10864-0.10653i,0.19755+0.0082918i,-0.05901-0.029681i,0.097311-0.00039478i,-0.12363+0.021608i
0.032918-0.045291i,-0.032566+0.052463i,0.029284-0.063143i,-0.013507+0.082515i,-0.49533-0.28092i,-0.1226+0.11521i,0.11649-0.29395i,-0.049867-0.5926i,0.099815+0.12429i,-0.19831-0.042788i,0.055609+0.040396i,-0.097025-0.017975i,0.12557+0.0025443i
-0.03444+0.037896i,0.034502-0.044496i,-0.031828+0.054528i,0.017032-0.073231i,0.48846+0.27551i,0.13094-0.10238i,-0.13879+0.2783i,-0.0014795+0.60139i,-0.086879-0.14101i,0.19185+0.07718i,-0.048972-0.050455i,0.09188+0.03601i,-0.12124-0.0266i
0.034353-0.030926i,-0.034695+0.036946i,0.032471-0.04631i,-0.018468+0.064299i,-0.48386-0.27035i,-0.13664+0.08956i,0.15795-0.26156i,0.055419-0.60514i,0.070133+0.15578i,-0.17841-0.10997i,0.039389+0.059003i,-0.082153-0.052503i,0.11093+0.049009i
-0.032885+0.024687i,0.033381-0.030148i,-0.031457+0.038859i,0.018069-0.056129i,0.48127+0.26588i,0.13997-0.077272i,-0.17415+0.24435i,-0.11124+0.60323i,-0.050062-0.16779i,0.15851+0.13976i,-0.027346-0.065306i,0.068393+0.066378i,-0.095246-0.068366i
0.030304-0.019406i,-0.030842+0.024356i,0.029086-0.032458i,-0.016151+0.049044i,-0.48037-0.26247i,-0.14126+0.06594i,0.18769-0.22717i,0.16812-0.59521i,0.027301+0.17637i,-0.13293-0.16534i,0.013483+0.068786i,-0.051378-0.07674i,0.075138+0.083475i
0.051646+0.049319i,-0.059654-0.056356i,0.072569+0.066936i,-0.10091-0.086992i,0.60685+0.33901i,-0.054284-0.098468i,0.18669+0.24625i,0.35954+0.4439i,-0.065005-0.065465i,0.040038-0.07337i,0.024892-0.054346i,-0.037852+0.013082i,0.056707+0.0073218i
-0.044237-0.059512i,0.051579+0.067329i,-0.063618-0.078889i,0.090693+0.10031i,-0.59253-0.35876i,0.039176+0.11551i,-0.15935-0.27268i,-0.32818-0.46012i,0.067214+0.05804i,-0.061592+0.0807i,-0.0262+0.034106i,0.032699+0.0095781i,-0.048043-0.034568i
0.034741+0.0677i,-0.041278-0.076172i,0.052281+0.088562i,-0.0779-0.11117i,0.57534+0.37575i,-0.020892-0.1294i,0.12797+0.29479i,0.29769+0.47585i,-0.072303-0.053305i,0.085629-0.082319i,0.022373-0.015805i,-0.0219-0.029064i,0.032688+0.057781i
-0.023766-0.073458i,0.029392+0.082432i,-0.039234-0.095469i,0.063246+0.11902i,-0.55604-0.38943i,0.00027394+0.13953i,-0.093535-0.31183i,-0.26744-0.49161i,0.079295+0.051973i,-0.11066+0.077616i,-0.014318+0.00060179i,0.0066268+0.044098i,-0.012047-0.075443i
0.011995+0.076548i,-0.016643-0.085853i,0.025243+0.099333i,-0.047546-0.12359i,0.53553+0.39945i,0.02172-0.1455i,0.057154+0.32337i,0.23669+0.50766i,-0.087069-0.054451i,0.13508-0.066376i,0.0031778+0.010664i,0.011681-0.053782i,-0.012154+0.086479i
-0.0001341-0.076929i,0.0037754+0.086384i,-0.011097-0.10009i,0.031643+0.12478i,-0.5147-0.40573i,-0.044089+0.14722i,-0.02-0.32923i,-0.20463-0.52399i,0.094448+0.06082i,-0.15724+0.048803i,0.0097676-0.017511i,-0.031437+0.057646i,0.038005-0.090322i
-0.011151+0.074748i,0.0085036-0.084172i,-0.0024479+0.097894i,-0.01635-0.12275i,0.49444+0.40841i,0.065868-0.14483i,-0.016791+0.32954i,0.17053+0.54031i,-0.10029-0.070833i,0.17562-0.025508i,-0.023207+0.019828i,0.051028-0.055664i,-0.063553+0.086929i
0.021278-0.070314i,-0.019574+0.079539i,0.014728-0.093072i,0.0023813+0.11784i,-0.47552-0.40786i,-0.086186+0.13869i,0.052178-0.32468i,-0.13375-0.5561i,0.10358+0.083951i,-0.18886-0.0025332i,0.035899-0.017854i,-0.068931+0.048228i,0.086945-0.076759i
-0.029791+0.064064i,0.028944-0.07294i,-0.025213+0.086103i,0.0096839-0.11056i,0.45859+0.40459i,0.10433-0.12937i,-0.085283+0.31523i,0.093827+0.57064i,-0.1035-0.099392i,0.19591+0.034044i,-0.04676+0.012131i,0.08382-0.036095i,-0.10655+0.060722i
0.036378-0.056514i,-0.036278+0.064919i,0.033533-0.077562i,-0.019438+0.10151i,-0.4441-0.39926i,-0.11977+0.11757i,0.11543-0.30196i,-0.050536-0.58307i,0.099455+0.1162i,-0.19603-0.067534i,0.054929-0.003443i,-0.094645+0.020319i,0.12105-0.040088i
-0.040888+0.048218i,0.041401-0.05606i,-0.039492+0.068068i,0.026654-0.091355i,0.43232+0.39258i,0.13218-0.10405i,-0.14216+0.28569i,0.0038887+0.5925i,-0.091152-0.1333i,0.18888+0.10139i,-0.059813-0.007266i,0.10069-0.0021482i,-0.12953+0.016387i
0.043315-0.039717i,-0.044299+0.046939i,0.04306-0.058237i,-0.031287+0.080755i,-0.42331-0.38526i,-0.14146+0.08959i,0.16526-0.26729i,0.045858-0.598i,0.078564+0.14963i,-0.17451-0.13398i,0.061108+0.018973i,-0.10159-0.017062i,0.13151+0.0087109i
-0.043789+0.031503i,0.045099-0.038084i,-0.044361+0.048635i,0.033452-0.070325i,0.41698+0.37797i,0.14769-0.074929i,-0.1847+0.2476i,-0.098217+0.59876i,-0.061933-0.16413i,0.1533+0.16372i,-0.05879-0.030655i,0.097349+0.035954i,-0.12695-0.033508i
0.042542-0.023994i,-0.044037+0.029944i,0.043637-0.039751i,-0.033396+0.060596i,-0.41307-0.37129i,-0.15109+0.060722i,0.20064-0.22737i,0.15251-0.59404i,0.041733+0.17589i,-0.12601-0.18922i,0.053094+0.04136i,-0.088294-0.053248i,0.11622+0.05639i
-0.03988+0.017512i,0.041435-0.022871i,-0.041222+0.031972i,0.031469-0.051998i,0.41122+0.36571i,0.15205-0.047512i,-0.21342+0.20726i,-0.20789+0.58331i,-0.018633-0.18412i,0.09366+0.20925i,-0.044473-0.050261i,0.075048+0.067824i,-0.10006-0.075917i
0.03615-0.01228i,-0.037658+0.017114i,0.037504-0.025576i,-0.02808+0.044843i,-0.411-0.36158i,-0.15102+0.035713i,0.22343-0.18777i,0.26342-0.56619i,-0.0065552+0.18823i,-0.057476-0.22289i,0.033551+0.056701i,-0.05846-0.078769i,0.079522+0.090904i
0.044294+0.051882i,-0.050845-0.059861i,0.061494+0.072221i,-0.085284-0.096966i,0.52516+0.45158i,-0.039906-0.094455i,0.14461+0.26169i,0.28324+0.51052i,-0.059308-0.093854i,0.095898-0.012222i,0.058714-0.043427i,-0.053737+0.012358i,0.066599+0.0058375i
-0.036251-0.061717i,0.042093+0.070373i,-0.051809-0.08357i,0.074236+0.10946i,-0.50892-0.46956i,0.023798+0.10982i,-0.11516-0.28423i,-0.24737-0.52065i,0.059477+0.086808i,-0.10851+0.0099853i,-0.055265+0.018i,0.045753+0.01279i,-0.05537-0.034736i
0.026118+0.069412i,-0.031127-0.078617i,0.039765+0.092495i,-0.060657-0.11934i,0.4899+0.48463i,-0.0046622-0.12187i,0.082018+0.3022i,0.21283+0.52999i,-0.062358-0.082255i,0.12203-0.003586i,0.045899+0.0044614i,-0.031766-0.034101i,0.037233+0.058982i
-0.014543-0.074529i,0.018624+0.084127i,-0.026076-0.098501i,0.045306+0.12606i,-0.46891-0.49621i,-0.016616+0.12998i,-0.046217-0.31491i,-0.179-0.5391i,0.066981+0.080878i,-0.13522-0.0073436i,-0.031742-0.022673i,0.013104+0.05024i,-0.013742-0.077026i
0.0022523+0.076829i,-0.0053512-0.086647i,0.011553+0.10131i,-0.029043-0.12934i,0.44688+0.50398i,0.039034-0.13381i,0.0089202+0.32192i,0.14512+0.54827i,-0.072234-0.08305i,0.14678+0.022812i,0.014177+0.035721i,0.0086335-0.060293i,-0.013225+0.087801i
