0.014239-0.039197i,-0.015509+0.046614i,0.017502-0.05778i,-0.021197+0.076628i,0.030155-0.11581i,-0.068699+0.25305i,-0.27577+0.7454i,0.10122-0.10654i,-0.35976-0.096761i,-0.13545-0.11388i,0.068456+0.061956i,-0.011435-0.18769i,0.046217+0.043609i
-0.026012-0.0091371i,0.031681+0.012147i,-0.040284-0.017186i,0.05488+0.026734i,-0.085253-0.049248i,0.19103+0.13951i,0.56933+0.60194i,-0.074489-0.18155i,-0.14716+0.39635i,-0.1327+0.071457i,0.08053-0.012318i,0.065359-0.07827i,0.046366+0.013515i
-0.028999+0.032704i,0.03438-0.036987i,-0.042782+0.043038i,0.057684-0.052526i,-0.090768+0.070599i,0.21668-0.12764i,0.78023-0.24598i,-0.19663-0.017224i,0.36927+0.24894i,0.063029+0.09282i,-0.011769-0.031286i,0.15017+0.043011i,-0.012359-0.0016646i
-0.0029731+0.035682i,0.0026801-0.041867i,-0.0022779+0.051396i,0.0018106-0.068047i,-0.0017202+0.10443i,0.0065562-0.24068i,0.075672-0.82407i,-0.05713+0.1933i,0.28547-0.33181i,0.12045-0.054902i,-0.06018+0.017232i,0.13198+0.11053i,-0.047714+0.0045875i
0.015622+0.00043971i,-0.020218-0.0021019i,0.027655+0.0050699i,-0.04123-0.011022i,0.071973+0.025795i,-0.19004-0.087791i,-0.74355-0.43963i,0.19243+0.15112i,-0.30984-0.37705i,-0.015152-0.0819i,-0.021189+0.022153i,0.0071544+0.1414i,-0.030148-0.010311i
0.012936-0.032546i,-0.01683+0.036613i,0.023191-0.04265i,-0.034972+0.052852i,0.062207-0.074556i,-0.16964+0.15452i,-0.7034+0.46785i,0.2039-0.10054i,-0.42841+0.20007i,-0.073594+0.06007i,0.0087554-0.03183i,-0.1118+0.12394i,-0.0019022-0.038492i
0.0017748-0.034085i,-0.0013914+0.039884i,0.00055747-0.048839i,0.001343+0.064587i,-0.0064716-0.09938i,0.029131+0.23181i,0.16842+0.82145i,-0.061925-0.20996i,0.15373+0.43652i,0.029617+0.10021i,-0.0062083-0.038223i,-0.15049+0.017698i,0.015511-0.026212i
-0.0055423-0.0067276i,0.0097978+0.0087724i,-0.01699-0.01187i,0.030658+0.017104i,-0.062795-0.02792i,0.1906+0.065263i,0.84832+0.201i,-0.25138-0.026651i,0.49295-0.055697i,0.059024-0.048454i,0.0088342+0.026156i,-0.12742-0.12894i,0.040076+0.023586i
-0.0055846+0.028098i,0.0094828-0.032327i,-0.015723+0.03888i,0.026883-0.050509i,-0.051369+0.076604i,0.14141-0.17808i,0.53808-0.64678i,-0.11557+0.17941i,0.048369-0.43797i,-0.075084-0.12112i,0.061656+0.049031i,-0.057063-0.18575i,0.054831+0.04338i
0.0024847+0.042905i,-0.0036239-0.049832i,0.0057474+0.060145i,-0.010216-0.07746i,0.021899+0.11359i,-0.073582-0.24216i,-0.38581-0.71776i,0.14668+0.12334i,-0.43071-0.07562i,-0.11955+0.022199i,0.044526-0.013357i,0.076126-0.10614i,0.010297+0.012068i
0.011088+0.018977i,-0.016856-0.021114i,0.026126+0.023862i,-0.042822-0.027566i,0.079864+0.032914i,-0.21821-0.041739i,-0.84424+0.050233i,0.19657-0.090868i,-0.18586+0.40046i,0.063258+0.12912i,-0.064229-0.046951i,0.21203+0.012483i,-0.072565-0.010978i
-0.0090957-0.037678i,0.010358+0.045877i,-0.012167-0.058228i,0.015093+0.078989i,-0.020997-0.12167i,0.041512+0.268i,0.11032+0.76618i,-0.016495-0.081495i,0.0134-0.29896i,0.0032545-0.21608i,-0.0023829+0.12286i,0.12355-0.0030311i,-0.014872+0.073645i
-0.0513-0.020694i,0.060128+0.023226i,-0.073085-0.026925i,0.094314+0.033i,-0.13691-0.045341i,0.27994+0.087823i,0.71776+0.2183i,-0.053213-0.021396i,-0.32372-0.046584i,-0.18308-0.028454i,0.087035+0.013919i,-0.029501+0.1401i,0.034704-0.0063745i
