-0.053361-0.0028445i,0.055623+0.002118i,-0.057687-0.00045196i,0.058346-0.004895i,0.29386+0.83139i,0.073429+0.017383i,-0.069488-0.011224i,0.21867+0.0078688i,-0.10308-0.0040754i,0.1036-0.0061379i,-0.092412+0.088686i,0.13999+0.075625i,-0.14664-0.050598i
-0.047506-0.0008754i,0.050287+0.0018819i,-0.053686-0.0038313i,0.058953+0.0094364i,-0.44842-0.82216i,0.053744-0.011081i,-0.056429+0.0013026i,0.15207-0.11364i,-0.080635+0.02148i,0.079076-0.026108i,-0.038405+0.094845i,0.14472+0.042688i,-0.14333-0.018747i
0.035775-0.025242i,-0.038315+0.025759i,0.041534-0.025506i,-0.046699+0.021773i,0.40782+0.80182i,-0.044844+0.047742i,0.055885-0.042372i,0.070247+0.10837i,0.040304-0.059086i,-0.040912+0.064997i,-0.029513-0.10141i,-0.13533+0.045719i,0.12128-0.065855i
-0.014843+0.039663i,0.015991-0.041348i,-0.017568+0.042481i,0.020661-0.040439i,-0.35005-0.79286i,0.01396-0.073091i,-0.018237+0.077897i,-0.015495+0.059431i,-0.011846+0.062782i,0.0049387-0.07225i,0.075539+0.065608i,0.091936-0.11043i,-0.068671+0.12028i
-0.0075226-0.041579i,0.0080859+0.043077i,-0.0085473-0.043887i,0.0080495+0.041249i,0.28845+0.80409i,0.021678+0.071168i,-0.028028-0.06937i,-0.11427+0.068352i,-0.01112-0.073592i,0.025683+0.073029i,-0.090636-0.021741i,-0.024142+0.15041i,-0.00092403-0.14562i
0.027954+0.035521i,-0.029458-0.036146i,0.030879+0.035858i,-0.031365-0.031752i,-0.23455-0.82557i,-0.043927-0.056734i,0.044528+0.046829i,-0.076602-0.18855i,0.058279+0.069325i,-0.065202-0.058586i,0.089704-0.020656i,-0.063477-0.14963i,0.081077+0.13187i
-0.048793-0.01972i,0.05097+0.019472i,-0.053065-0.018302i,0.054258+0.013369i,0.18092+0.85332i,0.065713+0.038937i,-0.062679-0.03563i,0.1993-0.025185i,-0.093267-0.020278i,0.092503+0.012949i,-0.069402+0.064879i,0.14084+0.09281i,-0.14558-0.068969i
0.060714-0.013489i,-0.063342+0.015326i,0.066043-0.018215i,-0.068208+0.025009i,-0.13491-0.90142i,-0.082799+0.0027442i,0.089169-0.0061825i,-0.0071944+0.12808i,0.081829-0.036442i,-0.083172+0.042766i,0.023267-0.095624i,-0.17045+0.003392i,0.1616-0.026176i
-0.044281+0.05368i,0.045826-0.057461i,-0.047335+0.062593i,0.048276-0.072093i,0.12542+0.95869i,0.058565-0.058207i,-0.063241+0.073875i,-0.031235+0.027312i,-0.047886+0.07129i,0.044014-0.083369i,0.03592+0.097095i,0.1369-0.10213i,-0.11596+0.11714i
0.00019391-0.071886i,0.00064477+0.076079i,-0.0018599-0.081597i,0.0040452+0.091437i,-0.1507-0.98385i,0.0049771+0.07732i,-0.013478-0.091384i,-0.11011+0.029164i,-0.0011633-0.093403i,0.016621+0.098945i,-0.093516-0.065689i,-0.046289+0.16417i,0.018749-0.16463i
