-0.028998+0.0063591i,0.032245-0.0066668i,-0.036708+0.0069464i,0.043483-0.0070778i,-0.055759+0.0065957i,0.088629-0.0027788i,-0.96475-0.17393i,-0.054189-0.047748i,0.028076+0.082554i,0.084958+0.14844i,-0.052849-0.038317i,0.071444+0.038293i,0.021412+0.086914i
-0.0056349+0.015233i,0.0062515-0.017557i,-0.0071285+0.02095i,0.0085495-0.026452i,-0.011429+0.037121i,0.020538-0.067489i,-0.31544+0.90957i,-0.041084+0.072246i,0.070661-0.043741i,0.17766-0.02466i,-0.066694+0.0037263i,0.075813-0.0038541i,0.081017+0.025249i
0.01245+0.0048945i,-0.014674-0.0049884i,0.017984+0.0050311i,-0.023455-0.0049858i,0.034282+0.004816i,-0.06577-0.0047472i,0.95728+0.03586i,0.086203+0.011962i,-0.066912-0.048934i,-0.065302-0.17203i,0.01537+0.07101i,-0.019332-0.079856i,-0.019125-0.072687i
0.0066942-0.01452i,-0.0064044+0.016763i,0.0057697-0.020043i,-0.0044368+0.025384i,0.0014212-0.035831i,0.0076216+0.066081i,-0.24293-0.92672i,-0.022412-0.083198i,-0.018992+0.074456i,-0.15872+0.11259i,0.075179-0.038258i,-0.082401+0.046742i,-0.043768+0.044216i
-0.021574-0.0048569i,0.023965+0.0040225i,-0.027287-0.0025549i,0.032421-0.00018993i,-0.041998+0.0060647i,0.068772-0.023605i,-0.82104+0.50442i,-0.063151+0.04944i,0.065504-0.006229i,0.16335+0.12697i,-0.070915-0.065974i,0.083845+0.068965i,0.044862+0.014487i
0.004646+0.028419i,-0.0063662-0.030811i,0.0090024+0.033946i,-0.013442-0.038483i,0.022252+0.046394i,-0.047406-0.06733i,0.73096+0.64305i,0.060148+0.035295i,-0.017512-0.049131i,0.071132-0.20458i,-0.03536+0.1005i,0.03115-0.11578i,0.00064131-0.032269i
0.028069-0.020176i,-0.029952+0.022989i,0.032283-0.026961i,-0.035428+0.033152i,0.040506-0.044622i,-0.053169+0.075711i,0.39946-0.90072i,0.012403-0.055046i,-0.038119+0.015697i,-0.22051+0.0027016i,0.11062-0.011978i,-0.124+0.024947i,-0.024541-0.0030534i
-0.034838-0.016813i,0.038529+0.017514i,-0.043522-0.018262i,0.05095+0.019082i,-0.064091-0.020119i,0.09835+0.022482i,-0.99005-0.10687i,-0.043635-0.0025097i,0.011094+0.039997i,0.077755+0.20265i,-0.05967-0.092449i,0.080043+0.098855i,-0.0079953+0.032611i
0.0027031+0.040653i,-0.00365-0.044544i,0.0050089+0.049715i,-0.0071091-0.057264i,0.01081+0.070373i,-0.019671-0.1041i,0.20569+0.98091i,-0.0037857+0.03782i,0.051547-0.016262i,0.15587-0.13494i,-0.051444+0.088894i,0.047154-0.11226i,0.051536-0.0017746i
0.033727-0.022588i,-0.036924+0.025144i,0.041196-0.028542i,-0.047487+0.033438i,0.058577-0.041622i,-0.087782+0.061012i,0.86908-0.50072i,0.043672+0.0061172i,-0.037013-0.060647i,-0.16321-0.09622i,0.089746+0.0049086i,-0.1101+0.010648i,-0.033132-0.063358i
-0.034349-0.016905i,0.037939+0.018704i,-0.042684-0.021218i,0.049502+0.025143i,-0.060944-0.032588i,0.088555+0.053892i,-0.74147-0.66794i,-0.001644-0.057179i,-0.054319+0.067816i,-0.041834+0.16494i,-0.028147-0.067138i,0.052093+0.079224i,-0.049737+0.075685i
