-0.028998+0.0063591i,0.032245-0.0066668i,-0.036708+0.0069464i,0.043483-0.0070778i,-0.055759+0.0065957i,0.088629-0.0027788i,-0.96475-0.17393i,-0.054189-0.047748i,0.028076+0.082554i,0.084958+0.14844i,-0.052849-0.038317i,0.071444+0.038293i,0.021412+0.086914i
0.013616-0.0099067i,-0.013311+0.0093799i,0.01235-0.0082397i,-0.0099049+0.0058287i,0.0034089-0.00025736i,0.019829-0.017116i,-0.76753+0.49911i,-0.11975+0.054356i,0.12025-0.00076907i,0.043323+0.1874i,0.041425-0.097294i,-0.073662+0.098601i,-0.065586-0.048374i
-0.0031283-0.028601i,0.0023357+0.031579i,-0.00084937-0.035454i,-0.0021633+0.040899i,0.0092983-0.04974i,-0.033479+0.070091i,0.80019-0.52502i,0.11102+0.011932i,-0.12103-0.058231i,-0.10828-0.033773i,-0.0043802-0.035008i,0.029362+0.071755i,0.022686+0.057814i
-0.024389+0.018791i,0.027338-0.019348i,-0.031337+0.019563i,0.037272-0.018852i,-0.04766+0.015295i,0.0741+0.0010141i,-0.73649-0.59669i,-0.024672-0.12141i,-0.01746+0.14577i,-0.010329+0.09776i,-0.024552+0.031739i,0.050638-0.069834i,0.050915-0.024044i
0.029294+0.010755i,-0.030936-0.012989i,0.032592+0.016276i,-0.033977-0.021627i,0.034012+0.032009i,-0.026708-0.061436i,-0.34428+0.87039i,-0.11521+0.070762i,0.15181-0.037669i,0.088993+0.0009549i,0.046514-0.0046877i,-0.09247-0.0054938i,-0.031014-0.056208i
-0.0065131-0.029291i,0.0053454+0.031401i,-0.0032357-0.033824i,-0.00085856+0.036585i,0.010077-0.039537i,-0.039574+0.041131i,0.92144+0.072408i,0.11471+0.085872i,-0.094142-0.13082i,-0.0036601-0.091472i,-0.039222-0.037607i,0.046987+0.083949i,-0.061009+0.054292i
-0.019146+0.01944i,0.021093-0.019216i,-0.023569+0.018217i,0.026897-0.01546i,-0.031862+0.0079088i,0.041487+0.019361i,-0.19488-0.89459i,0.036697-0.1421i,-0.08537+0.13556i,-0.10392+0.016831i,-0.0068695+0.061066i,0.046185-0.084854i,0.089701+0.047846i
0.022753+0.0047259i,-0.023027-0.0061862i,0.022704+0.0083243i,-0.020941-0.011733i,0.015067+0.018054i,0.0082777-0.034605i,-0.79839+0.44076i,-0.14384+0.019765i,0.15105+0.028391i,0.04634+0.11482i,0.058671-0.031557i,-0.093519+0.0044151i,0.0079538-0.11937i
-0.0063824-0.016995i,0.0053198+0.017325i,-0.003463-0.017241i,-1.0554e-06+0.016104i,0.00743-0.011839i,-0.029787-0.0061468i,0.65234+0.64026i,0.06818+0.1212i,-0.023859-0.14093i,0.11003-0.08851i,-0.059809-0.033792i,0.046747+0.073716i,-0.12291+0.050666i
-0.0077654+0.0096644i,0.008004-0.0086696i,-0.0080346+0.0067827i,0.007478-0.0030335i,-0.0050415-0.0054531i,-0.0061411+0.03231i,0.42694-0.81564i,0.084531-0.098483i,-0.11532+0.060566i,-0.12993-0.082137i,0.00027216+0.067043i,0.039655-0.067319i,0.10641+0.091131i
0.0062494+0.001688i,-0.0050688-0.002033i,0.0029359+0.0024213i,0.0011979-0.0027751i,-0.010475+0.0027103i,0.039979+0.0002764i,-0.91373-0.16914i,-0.11028-0.046587i,0.081151+0.086942i,-0.035507+0.15563i,0.0552-0.027698i,-0.066935-0.0088607i,0.032854-0.13658i
0.0018947-0.001569i,-0.0026839+0.00026177i,0.00381+0.0019786i,-0.0055134-0.0061852i,0.008367+0.015486i,-0.014478-0.045047i,0.11362+0.93009i,-0.015014+0.11083i,0.06299-0.093072i,0.15811-0.016565i,-0.040192-0.036084i,0.0091977+0.057551i,-0.13087+0.029854i
-0.0011244-0.0061439i,5.3353e-05+0.0075473i,0.0018182-0.0095813i,-0.0054089+0.01279i,0.013541-0.018661i,-0.040077+0.033736i,0.85566-0.39241i,0.10834-0.010906i,-0.10447-0.041671i,-0.060342-0.14116i,-0.02209+0.04123i,0.0519-0.017933i,0.074847+0.096919i
-0.008817+0.006372i,0.010649-0.0059577i,-0.013342+0.0049869i,0.017695-0.0027467i,-0.025977-0.0030124i,0.048573+0.023578i,-0.63419-0.69511i,-0.037265-0.10534i,-0.015582+0.11702i,-0.11596+0.089915i,0.04177+0.017174i,-0.028837-0.05341i,0.05415-0.092604i
0.013623+0.0053288i,-0.01404-0.0071189i,0.014211+0.0098883i,-0.013697-0.014611i,0.011031+0.024123i,0.0014665-0.05171i,-0.46775+0.81061i,-0.096961+0.068656i,0.12405-0.020684i,0.10953+0.092434i,0.014471-0.050702i,-0.053621+0.050757i,-0.090009-0.020574i
-0.0041978-0.016733i,0.002921+0.017765i,-0.00067134-0.018862i,-0.0036064+0.019897i,0.013054-0.020313i,-0.042638+0.016734i,0.90545+0.20233i,0.1025+0.075154i,-0.064276-0.11539i,0.072062-0.12849i,-0.066962-0.0021664i,0.08111+0.038934i,-0.0015156+0.082939i
-0.011685+0.014633i,0.01285-0.014043i,-0.01434+0.012579i,0.016341-0.0092007i,-0.01925+0.00074715i,0.02429+0.028077i,-0.071627-0.91647i,0.035977-0.12882i,-0.085406+0.10383i,-0.15235-0.047257i,0.026561+0.079082i,0.0019063-0.10555i,0.083205-0.011916i
0.019192-0.00017567i,-0.019062-0.00068856i,0.0182+0.0020698i,-0.015667-0.0044452i,0.0085588+0.0091225i,0.017371-0.021809i,-0.85134+0.33068i,-0.13584+0.015444i,0.12567+0.038573i,-0.0078616+0.17686i,0.072694-0.066678i,-0.10667+0.051018i,-0.033844-0.089174i
0.011179-0.03198i,-0.013135+0.034868i,0.016043-0.038502i,-0.02088+0.043359i,0.030606-0.050666i,-0.059636+0.06554i,0.90814-0.34322i,0.091279+0.040888i,-0.088964-0.088736i,-0.11769-0.050304i,0.027225-0.042146i,-0.0218+0.084602i,-0.010951+0.051308i
-0.035176+0.0068433i,0.038579-0.0063108i,-0.042986+0.0051518i,0.04915-0.0025867i,-0.059125-0.0038293i,0.082105+0.026318i,-0.60002-0.75275i,0.014235-0.11237i,-0.062006+0.12531i,-0.01625+0.10873i,-0.048631+0.0062128i,0.087794-0.028018i,0.049926+0.010771i
0.023964+0.026725i,-0.024873-0.029839i,0.025533+0.034061i,-0.025434-0.040339i,0.022869+0.051357i,-0.008922-0.07953i,-0.52959+0.78973i,-0.12284+0.027471i,0.15044+0.014768i,0.093964-0.00093973i,0.0367+0.030834i,-0.072578-0.059576i,0.0078001-0.063359i
0.010002-0.032545i,-0.012208+0.034431i,0.015488-0.036422i,-0.020885+0.038316i,0.031461-0.039286i,-0.061711+0.034524i,0.89915+0.26792i,0.076129+0.1119i,-0.044109-0.15134i,-0.0060202-0.086982i,-0.0031111-0.047851i,-0.010048+0.092065i,-0.082633+0.013152i
-0.029566+0.0072042i,0.031755-0.0060714i,-0.034332+0.0039945i,0.03741+7.4938e-05i,-0.041103-0.0092969i,0.045135+0.038933i,-0.0052455-0.92771i,0.077004-0.11715i,-0.12404+0.098287i,-0.092687+0.011973i,-0.033832+0.035643i,0.07902-0.039638i,0.054506+0.088687i
0.01747+0.018348i,-0.017143-0.020322i,0.016042+0.022894i,-0.013201-0.026472i,0.0056367+0.032098i,0.021306-0.044039i,-0.88152+0.26975i,-0.13738-0.026321i,0.1327+0.076467i,0.030696+0.10417i,0.050446+0.0028905i,-0.069546-0.042435i,0.065812-0.1021i
0.0061557-0.018187i,-0.007779+0.018234i,0.01016-0.017691i,-0.013972+0.015752i,0.021088-0.0098698i,-0.03994-0.01269i,0.51089+0.76718i,0.025446+0.1324i,0.023928-0.14154i,0.10757-0.064519i,-0.028163-0.042165i,-0.0014994+0.072149i,-0.133-0.013531i
-0.012703+0.00065318i,0.01286+0.00081468i,-0.012633-0.003175i,0.011444+0.0073097i,-0.0074066-0.015768i,-0.009143+0.040398i,0.58995-0.71456i,0.10825-0.065193i,-0.13028+0.019744i,-0.10428-0.091646i,-0.018762+0.044727i,0.055142-0.026637i,0.051348+0.12974i
0.00061203+0.0074845i,0.0009535-0.0078182i,-0.003512+0.0080209i,0.0080847-0.0077958i,-0.017677+0.0060945i,0.046496+0.0027924i,-0.86348-0.35704i,-0.088058-0.076766i,0.049387+0.11059i,-0.055411+0.13516i,0.04313-0.0048652i,-0.036813-0.034341i,0.091474-0.10409i
0.0073334+0.0024121i,-0.008139-0.004095i,0.0091176+0.0068009i,-0.010291-0.011601i,0.011553+0.02169i,-0.011687-0.052352i,-0.083218+0.93838i,-0.047724+0.098278i,0.091852-0.069413i,0.14623+0.0087868i,-0.017393-0.031516i,-0.021893+0.036949i,-0.12657-0.034498i
0.0025204-0.012017i,-0.0040106+0.013525i,0.0064417-0.015532i,-0.010835+0.018382i,0.020278-0.022936i,-0.049739+0.032593i,0.92415-0.20626i,0.10399+0.023266i,-0.088113-0.075202i,-0.034085-0.13705i,-0.022582+0.01838i,0.039946+0.018083i,0.018168+0.1173i
-0.016628+0.0035643i,0.018746-0.0027377i,-0.021647+0.0011779i,0.025973+0.0019855i,-0.03347-0.0094434i,0.051857+0.034475i,-0.47846-0.81732i,-0.0016602-0.10987i,-0.05412+0.10962i,-0.11691+0.06408i,0.017392+0.023502i,0.012387-0.052443i,0.09033-0.050897i
0.013805+0.015375i,-0.013957-0.017652i,0.013678+0.020895i,-0.012334-0.025977i,0.0078817+0.03537i,0.010054-0.060403i,-0.62985+0.70079i,-0.11289+0.033398i,0.12939+0.021008i,0.082403+0.097395i,0.030244-0.025727i,-0.068578+0.0071671i,-0.063756-0.064167i
0.0061076-0.022039i,-0.0079592+0.023093i,0.010829-0.024048i,-0.015732+0.024561i,0.025632-0.023423i,-0.054434+0.014106i,0.84984+0.38655i,0.072587+0.10434i,-0.025089-0.13648i,0.083634-0.098301i,-0.046751-0.030373i,0.043155+0.073353i,-0.048582+0.069521i
-0.022256+0.0076655i,0.023754-0.0066187i,-0.025449+0.0046184i,0.027315-0.0006005i,-0.029075-0.0086175i,0.02863+0.038247i,0.11721-0.91617i,0.076596-0.11124i,-0.12116+0.075252i,-0.12084-0.070437i,-0.012424+0.07182i,0.053387-0.084319i,0.081887+0.038591i
0.018736+0.012969i,-0.018452-0.014341i,0.017346+0.016138i,-0.014397-0.018641i,0.006487+0.02252i,0.021532-0.030288i,-0.90265+0.15171i,-0.13619-0.030013i,0.11452+0.082521i,-0.046228+0.15063i,0.084921-0.024737i,-0.11105-0.0075587i,0.019697-0.10344i
0.026778-0.028323i,-0.029867+0.030592i,0.034126-0.033357i,-0.040633+0.036867i,0.052569-0.041663i,-0.085155+0.049596i,0.97496-0.13583i,0.064734+0.057526i,-0.050074-0.10308i,-0.12417-0.078538i,0.060272-0.02961i,-0.074026+0.067146i,-0.032016+0.025418i
-0.039639-0.0096056i,0.042987+0.011432i,-0.047192-0.01417i,0.052821+0.018767i,-0.061352-0.028084i,0.079104+0.056089i,-0.42694-0.87903i,0.043505-0.091129i,-0.093233+0.091255i,-0.033738+0.12312i,-0.054765-0.029712i,0.096923+0.027979i,0.02652+0.038612i
0.011433+0.038756i,-0.0112-0.042377i,0.010414+0.047075i,-0.0083553-0.053673i,0.002747+0.064436i,0.017845-0.089563i,-0.69892+0.66649i,-0.11422-0.011615i,0.1302+0.060017i,0.10788+0.0050988i,0.0090088+0.054582i,-0.027392-0.094009i,0.046283-0.045649i
0.026151-0.027374i,-0.029244+0.028514i,0.033481-0.029484i,-0.039851+0.029848i,0.051188-0.028118i,-0.080627+0.016427i,0.83342+0.46143i,0.034556+0.12055i,0.0070522-0.15101i,-0.0065598-0.094128i,0.0305-0.036602i,-0.060189+0.068845i,-0.078557-0.036171i
-0.032274-0.0083938i,0.034192+0.010523i,-0.036278-0.013736i,0.038413+0.019101i,-0.040016-0.029753i,0.037491+0.060567i,0.19471-0.92064i,0.10237-0.082091i,-0.14395+0.051472i,-0.09203+0.011774i,-0.040653+0.0029459i,0.081066+0.012552i,0.0011741+0.10645i
0.0060319+0.026617i,-0.0048271-0.028705i,0.0026673+0.031234i,0.0014976-0.034398i,-0.01083+0.038571i,0.040597-0.044741i,-0.93038+0.078468i,-0.1157-0.062859i,0.098421+0.11135i,0.024375+0.099868i,0.027351+0.022827i,-0.027049-0.064964i,0.10805-0.057412i
0.01648-0.011994i,-0.018432+0.011376i,0.021043-0.0099672i,-0.024805+0.0068196i,0.031007+0.0009791i,-0.045133-0.027722i,0.34154+0.86733i,-0.014513+0.12631i,0.06583-0.12312i,0.10585-0.051473i,-0.0031527-0.031848i,-0.035487+0.045024i,-0.11001-0.074009i
-0.010527-0.0091084i,0.010201+0.010985i,-0.0092772-0.013709i,0.0069909+0.018029i,-0.00093506-0.026042i,-0.020919+0.047242i,0.73484-0.57993i,0.11558-0.02824i,-0.12635-0.022389i,-0.088303-0.096774i,-0.019075+0.021189i,0.042925+0.010714i,-0.013964+0.13555i
-0.0079889+0.0073843i,0.010011-0.0073427i,-0.013037+0.0069498i,0.018015-0.0056911i,-0.027673+0.001885i,0.054669+0.013138i,-0.77608-0.53665i,-0.057153-0.093467i,0.010422+0.11777i,-0.067433+0.12135i,0.023454+0.0018767i,-0.00014365-0.033859i,0.12397-0.048789i
0.0084258+0.010784i,-0.0089454-0.013016i,0.0094247+0.016346i,-0.0096542-0.021841i,0.0088405+0.032618i,-0.0024756-0.063363i,-0.28258+0.90854i,-0.070821+0.073623i,0.10787-0.034211i,0.13745+0.024439i,-0.006679-0.01472i,-0.031355+0.0016508i,-0.091273-0.084005i
0.01149-0.015142i,-0.013653+0.016526i,0.016899-0.018228i,-0.022314+0.020368i,0.033119-0.023127i,-0.064693+0.026586i,0.95683-0.0065328i,0.085378+0.052083i,-0.057084-0.10015i,-0.018224-0.13251i,-0.0076053+0.0028764i,0.0068365+0.038701i,-0.036623+0.10414i
-0.023436-0.0052256i,0.025707+0.006786i,-0.028639-0.0092745i,0.032681+0.013691i,-0.038972-0.023056i,0.052186+0.052033i,-0.29926-0.90957i,0.03326-0.098966i,-0.089035+0.085445i,-0.11379+0.04861i,-0.0052117+0.012291i,0.046341-0.025697i,0.095407+0.00088034i
0.0077567+0.026531i,-0.0072827-0.02929i,0.0061598+0.032969i,-0.0035741-0.0383i,-0.0030127+0.047277i,0.026201-0.068735i,-0.77069+0.56019i,-0.11351-0.0064207i,0.11724+0.064919i,0.064604+0.094208i,0.028096+0.0040898i,-0.055871-0.039163i,-0.017838-0.082443i
0.019949-0.021705i,-0.022525+0.022434i,0.02615-0.022859i,-0.031757+0.022428i,0.042004-0.019319i,-0.069079+0.0041413i,0.75956+0.55964i,0.032594+0.12027i,0.022702-0.14158i,0.082779-0.074613i,-0.014512-0.042988i,-0.0085343+0.082323i,-0.078111+0.029276i
-0.028972-0.0050756i,0.03055+0.0068756i,-0.032162-0.0097135i,0.033559+0.014638i,-0.033793-0.024717i,0.027529+0.054376i,0.30495-0.88062i,0.10846-0.07881i,-0.14523+0.032314i,-0.090642-0.077837i,-0.041549+0.04628i,0.086564-0.03949i,0.048712+0.08094i
0.011244+0.02515i,-0.010422-0.026944i,0.0086681+0.029046i,-0.004916-0.031524i,-0.0040383+0.034378i,0.033548-0.036796i,-0.92058-0.035126i,-0.11912-0.073299i,0.085521+0.12157i,-0.067994+0.11857i,0.075596+0.015992i,-0.085809-0.059237i,0.076299-0.083315i
0.039042-0.017327i,-0.042933+0.018491i,0.048125-0.019824i,-0.055739+0.021318i,0.069012-0.022788i,-0.10323+0.022697i,0.99133+0.087506i,0.039509+0.060902i,-0.013998-0.10059i,-0.11834-0.11685i,0.082073+0.0011886i,-0.10894+0.022823i,-0.03278-0.0079911i
-0.035438-0.026341i,0.038134+0.029369i,-0.041434-0.033549i,0.045679+0.039945i,-0.051674-0.051695i,0.062532+0.083844i,-0.22266-0.96388i,0.058661-0.064991i,-0.10634+0.05244i,-0.065548+0.13176i,-0.038752-0.063743i,0.073499+0.079825i,-0.0099689+0.047901i
-0.0054343+0.042869i,0.0069901-0.04642i,-0.0093999+0.050905i,0.013566-0.05697i,-0.022231+0.066329i,0.048812-0.086447i,-0.84027+0.50158i,-0.094231-0.039172i,0.097263+0.089876i,0.12382+0.025593i,-0.027206+0.057498i,0.028304-0.097118i,0.069523-0.0083711i
0.037146-0.014704i,-0.040698+0.014694i,0.045365-0.0142i,-0.052027+0.012562i,0.063134-0.0076873i,-0.089811-0.010995i,0.72129+0.64216i,-0.0012632+0.11323i,0.049319-0.1321i,0.0034401-0.10967i,0.049609-0.0084739i,-0.086978+0.022888i,-0.048436-0.076833i
-0.026196-0.022721i,0.027323+0.025644i,-0.028332-0.029722i,0.02886+0.035982i,-0.027641-0.04738i,0.017904+0.077676i,0.39644-0.86763i,0.11058-0.045409i,-0.14323+0.0050457i,-0.10276+0.0072901i,-0.026629-0.024519i,0.053592+0.053642i,-0.053925+0.09418i
-0.0078631+0.026857i,0.0099737-0.028544i,-0.013182+0.030434i,0.018571-0.032484i,-0.029333+0.034361i,0.06062-0.033695i,-0.93753-0.12711i,-0.085574-0.084665i,0.056417+0.12764i,0.019923+0.1062i,0.00020308+0.022845i,0.017333-0.057518i,0.12141+0.0017706i
0.020931-0.00076491i,-0.022789-0.00072039i,0.025127+0.0031896i,-0.028218-0.0076919i,0.032689+0.017374i,-0.040782-0.047415i,0.1477+0.93244i,-0.044625+0.10719i,0.094107-0.091141i,0.11145-0.044456i,0.0064621-0.010512i,-0.044106+0.0052635i,-0.060814-0.1131i
-0.0021624-0.015561i,0.0010467+0.017553i,0.00089476-0.020272i,-0.0045881+0.024289i,0.01286-0.031138i,-0.039548+0.04748i,0.85312-0.4127i,0.10799+0.0045162i,-0.10591-0.056966i,-0.079992-0.10516i,-0.0045358+0.0070303i,0.010863+0.030072i,-0.070412+0.10802i
-0.015515+0.00096832i,0.017824-0.00019775i,-0.021084-0.0011786i,0.026122+0.0038814i,-0.035248-0.010162i,0.058956+0.03126i,-0.65006-0.69979i,-0.025332-0.09549i,-0.026751+0.10782i,-0.079297+0.11503i,0.0072761-0.007534i,0.026769-0.0095792i,0.12252+0.011974i
0.0034893+0.019842i,-0.0033484-0.022566i,0.0029035+0.026414i,-0.001711-0.032398i,-0.0016919+0.043408i,0.014914-0.072829i,-0.47731+0.83679i,-0.080625+0.043848i,0.10746+0.0042429i,0.13529+0.037393i,-0.011959+0.0038601i,-0.015461-0.032253i,-0.038003-0.10514i
0.02276-0.012627i,-0.025656+0.01351i,0.029747-0.014463i,-0.036137+0.015371i,0.048033-0.015704i,-0.080498+0.012195i,0.94803+0.20136i,0.057984+0.069598i,-0.018127-0.11022i,-0.0073011-0.13355i,0.014261+0.0022368i,-0.033516+0.034499i,-0.072479+0.064642i
-0.025309-0.018118i,0.027381+0.020606i,-0.029922-0.024211i,0.033158+0.030024i,-0.037552-0.041265i,0.044488+0.073296i,-0.099627-0.9651i,0.059714-0.075792i,-0.11179+0.048699i,-0.11463+0.040564i,-0.015528-0.011085i,0.05875+0.017194i,0.07026+0.044368i
-0.0042751+0.034262i,0.0057059-0.037237i,-0.0080243+0.041023i,0.012197-0.046167i,-0.021155+0.054082i,0.049146-0.070675i,-0.88352+0.38935i,-0.098839-0.042064i,0.088322+0.10125i,0.056659+0.091923i,0.0089273+0.026543i,-0.018943-0.070925i,0.029998-0.070022i
0.032956-0.014063i,-0.03615+0.014039i,0.040373-0.013463i,-0.046436+0.011585i,0.056559-0.0060381i,-0.08063-0.01501i,0.63317+0.71585i,-0.0091813+0.11944i,0.069587-0.12742i,0.077941-0.061898i,0.017887-0.035756i,-0.056407+0.062003i,-0.078771-0.022457i
-0.028427-0.020305i,0.029647+0.022955i,-0.030679-0.026704i,0.031056+0.03254i,-0.029184-0.04328i,0.016719+0.071878i,0.48733-0.80731i,0.12486-0.037771i,-0.15068-0.017588i,-0.069742-0.075395i,-0.051828+0.011613i,0.090663+0.014408i,-0.0053351+0.09849i
-0.0018387+0.031911i,0.003487-0.033786i,-0.0061786+0.035798i,0.010987-0.037792i,-0.021062+0.039082i,0.051249-0.035552i,-0.90248-0.22687i,-0.08746-0.10573i,0.042419+0.14642i,-0.07504+0.09073i,0.049158+0.043457i,-0.03961-0.088291i,0.1154-0.033322i
0.043999-0.0011683i,-0.048128+0.00094043i,0.053572-0.00051487i,-0.061423-0.00037973i,0.074803+0.0026553i,-0.1083-0.011175i,0.95133+0.31303i,0.02245+0.054385i,0.011225-0.085546i,-0.093252-0.15832i,0.082981+0.042113i,-0.11334-0.035438i,-0.013552-0.034432i
-0.022923-0.038728i,0.024453+0.042572i,-0.026255-0.047715i,0.02841+0.055276i,-0.030998-0.06851i,0.033751+0.10279i,0.0023295-0.99724i,0.059926-0.041878i,-0.10194+0.018259i,-0.10842+0.12548i,-0.0039933-0.083627i,0.023973+0.11014i,-0.045083+0.034022i
-0.022217+0.037469i,0.024975-0.04033i,-0.028836+0.043873i,0.034839-0.04852i,-0.046053+0.055332i,0.077229-0.068655i,-0.94104+0.30112i,-0.070344-0.052066i,0.060628+0.10103i,0.13231+0.061483i,-0.059425+0.037603i,0.076108-0.067771i,0.067752+0.035817i
0.039765+0.00206i,-0.043191-0.0033717i,0.047588+0.0054759i,-0.053668-0.0092263i,0.063362+0.017225i,-0.085221-0.042246i,0.56421+0.7968i,-0.025392+0.095558i,0.076022-0.10157i,0.028686-0.12564i,0.047393+0.026059i,-0.082144-0.029611i,-0.0010221-0.094485i
-0.013192-0.03155i,0.013173+0.034828i,-0.012715-0.039227i,0.011221+0.045678i,-0.0067904-0.056793i,-0.010216+0.084538i,0.58751-0.76585i,0.10446-0.014739i,-0.12568-0.032192i,-0.11976-0.0087761i,0.0014982-0.036539i,0.0080445+0.069952i,-0.093514+0.054801i
-0.019695+0.019214i,0.022466-0.020043i,-0.026398+0.020777i,0.03255-0.021121i,-0.043979+0.020037i,0.074977-0.011888i,-0.89668-0.33658i,-0.055042-0.091445i,0.016148+0.12556i,0.0089358+0.12147i,-0.019265+0.0051597i,0.04695-0.025349i,0.10195+0.057823i
0.018059+0.011312i,-0.019356-0.013602i,0.020873+0.017017i,-0.022642-0.022655i,0.024576+0.033746i,-0.025543-0.065618i,-0.06301+0.95368i,-0.061719+0.082312i,0.10558-0.054377i,0.12599-0.035339i,-0.0016049+0.010393i,-0.026071-0.030043i,-0.00046832-0.12025i
0.0090071-0.01593i,-0.010991+0.017607i,0.014005-0.019805i,-0.019095+0.022878i,0.029376-0.027702i,-0.059835+0.037763i,0.93439-0.21725i,0.091158+0.027571i,-0.07602-0.077989i,-0.072574-0.12128i,0.015166+0.0084627i,-0.025773+0.024095i,-0.10244+0.057128i
-0.0182-0.0095276i,0.02042+0.011219i,-0.023453-0.013772i,0.027949+0.018088i,-0.035679-0.02689i,0.054446+0.053462i,-0.48632-0.83552i,0.00023941-0.086282i,-0.054052+0.085288i,-0.097621+0.1116i,0.0038623-0.026311i,0.031572+0.02694i,0.090601+0.060079i
-0.0066698+0.025218i,0.0077673-0.028126i,-0.0094621+0.032101i,0.012421-0.038045i,-0.018722+0.048472i,0.038732-0.074807i,-0.65702+0.72056i,-0.077892+0.017009i,0.092132+0.036658i,0.13795+0.05561i,-0.030242+0.013007i,0.019488-0.048919i,0.015186-0.094573i
0.031866-0.0036452i,-0.035289+0.003625i,0.03995-0.0033747i,-0.046915+0.0025293i,0.059219+0.00013913i,-0.09088-0.011118i,0.89213+0.40879i,0.029819+0.073593i,0.019331-0.10348i,0.0069332-0.14164i,0.03126+0.017889i,-0.063818+0.0054173i,-0.079943+0.014515i
-0.019748-0.031194i,0.021145+0.03456i,-0.02274-0.039188i,0.024514+0.04621i,-0.026211-0.058894i,0.02583+0.092568i,0.11447-0.97613i,0.072526-0.047176i,-0.11698+0.0076274i,-0.12424+0.032736i,-0.0075814-0.036082i,0.042836+0.060017i,0.026474+0.065148i
-0.019616+0.034669i,0.022158-0.03738i,-0.025816+0.040705i,0.03167-0.044969i,-0.042914+0.050917i,0.074776-0.061223i,-0.95962+0.19111i,-0.073314-0.065937i,0.0483+0.12169i,0.053855+0.098138i,-0.019814+0.031758i,0.029805-0.075359i,0.061847-0.032972i
0.040456+1.5694e-05i,-0.043891-0.0011492i,0.048254+0.0031072i,-0.054186-0.0068141i,0.063351+0.015085i,-0.082846-0.04165i,0.4705+0.84682i,-0.043861+0.10292i,0.10559-0.095939i,0.078243-0.059117i,0.038241-0.011478i,-0.083717+0.018665i,-0.050009-0.066106i
-0.019487-0.033461i,0.019859+0.036785i,-0.019772-0.041209i,0.018543+0.047611i,-0.013993-0.058416i,-0.0048645+0.084484i,0.65733-0.69379i,0.12317+0.0032953i,-0.13529-0.064581i,-0.061229-0.071921i,-0.040725-0.019908i,0.064617+0.059619i,-0.061356+0.083392i
-0.016953+0.030384i,0.019496-0.031841i,-0.023163+0.0332i,0.028987-0.034075i,-0.039921+0.033106i,0.069593-0.023043i,-0.8446-0.41824i,-0.047883-0.12147i,-0.0068329+0.15114i,-0.073961+0.073765i,0.01556+0.050296i,0.012034-0.086636i,0.12204+0.031152i
0.039817+0.016093i,-0.043541-0.017705i,0.048464+0.019869i,-0.055585-0.023104i,0.067736+0.029002i,-0.098078-0.045517i,0.8547+0.52454i,0.016703+0.044389i,0.021876-0.065676i,-0.047379-0.19267i,0.05998+0.080851i,-0.083969-0.089424i,0.01759-0.042184i
-0.0051615-0.043315i,0.005253+0.047395i,-0.0052445-0.052796i,0.0049513+0.060628i,-0.0037171-0.074082i,-0.0021033+0.1081i,0.23306-0.97326i,0.052002-0.027577i,-0.085786-0.0044374i,-0.1537+0.09867i,0.039438-0.081449i,-0.036228+0.1085i,-0.064546+0.0010169i
-0.034412+0.023989i,0.037975-0.025676i,-0.042796+0.027713i,0.049986-0.03027i,-0.06278+0.033686i,0.096535-0.03896i,-0.99073+0.076911i,-0.050007-0.052213i,0.029143+0.095962i,0.12475+0.10734i,-0.076281+0.00081178i,0.10031-0.015848i,0.039913+0.071361i
0.033504+0.018177i,-0.036228-0.020637i,0.039676+0.024141i,-0.044343-0.029691i,0.051528+0.040265i,-0.066774-0.070215i,0.36947+0.91178i,-0.036488+0.075233i,0.085816-0.068657i,0.067823-0.13225i,0.024604+0.054322i,-0.048429-0.070491i,0.048783-0.082319i
0.0025879-0.032553i,-0.0038317+0.035636i,0.0058192-0.039697i,-0.0093523+0.045507i,0.016879-0.055192i,-0.040443+0.078323i,0.75317-0.61751i,0.090546+0.0055636i,-0.099255-0.055324i,-0.13386-0.039084i,0.032022-0.028798i,-0.038088+0.056939i,-0.10528+0.00018993i
-0.025762+0.00659i,0.028745-0.0063136i,-0.032848+0.0056209i,0.039042-0.0039772i,-0.050084-0.00032003i,0.078698+0.015916i,-0.80513-0.53578i,-0.03066-0.087511i,-0.014806+0.11053i,-0.014449+0.1386i,-0.022688-0.021339i,0.051085+0.017422i,0.056282+0.094339i
0.0091578+0.01979i,-0.0095394-0.022561i,0.0098325+0.026511i,-0.0098122-0.032724i,0.0086707+0.044341i,-0.0019391-0.076091i,-0.27848+0.92416i,-0.067298+0.059337i,0.10245-0.021817i,0.14539-0.016279i,-0.022425+0.019991i,0.0097314-0.045927i,0.052954-0.095358i
0.018434-0.0098206i,-0.021088+0.010764i,0.02491-0.011949i,-0.031008+0.013482i,0.042629-0.015523i,-0.075181+0.018192i,0.96861-0.0025907i,0.072714+0.039529i,-0.045787-0.084248i,-0.057518-0.14436i,0.0283+0.024965i,-0.050017-0.0045288i,-0.10304-0.00023971i
-0.014081-0.020028i,0.01575+0.022572i,-0.017999-0.026193i,0.021263+0.031928i,-0.026667-0.042839i,0.038922+0.07362i,-0.29008-0.93179i,0.01552-0.072467i,-0.067111+0.058277i,-0.12488+0.10303i,0.017-0.04344i,0.01057+0.059027i,0.041328+0.08269i
