0.038916-0.037016i,-0.043957+0.040462i,0.051509-0.045264i,-0.064393+0.052804i,0.091964-0.06754i,-0.1916+0.11621i,-0.78185+0.32803i,0.15234-0.029541i,-0.20987+0.019463i,-0.17416+0.052541i,0.07169-0.042571i,-0.18931+0.063046i,0.013629-0.051762i
-0.0043446+0.027531i,0.0097711-0.028667i,-0.018424+0.029665i,0.033717-0.030087i,-0.066471+0.028225i,0.18023-0.012403i,0.85768+0.22907i,-0.14158-0.11106i,0.0063624+0.19403i,-0.21937+0.085768i,0.13657+0.014668i,-0.22947-0.11156i,0.07634+0.038295i
0.049508+0.019555i,-0.054185-0.023185i,0.060792+0.028868i,-0.071378-0.038971i,0.092641+0.061374i,-0.16529-0.14451i,-0.51878-0.67914i,0.068312+0.14908i,-0.085005-0.20216i,-0.11919-0.13076i,0.069672+0.039732i,-0.089597-0.15552i,0.064534-0.022267i
-0.053128-0.013678i,0.058113+0.017006i,-0.065099-0.02234i,0.076168+0.032031i,-0.098089-0.053919i,0.17177+0.13631i,0.51229+0.68706i,-0.057921-0.15948i,0.061211+0.21961i,0.10405+0.13306i,-0.067812-0.034872i,0.06489+0.15081i,-0.079648+0.029857i
0.055581+0.0084497i,-0.060816-0.011537i,0.068118+0.016599i,-0.079602-0.025971i,0.10211+0.047464i,-0.17673-0.12928i,-0.50738-0.69356i,0.049125+0.168i,-0.038503-0.23339i,-0.085422-0.13433i,0.062832+0.030888i,-0.036844-0.14253i,0.090163-0.031985i
-0.056555-0.0037777i,0.061959+0.0066744i,-0.069485-0.011524i,0.081282+0.020654i,-0.10425-0.041853i,0.1797+0.12323i,0.50462+0.69886i,-0.042604-0.17488i,0.017854+0.24373i,0.062807+0.13401i,-0.053872-0.027121i,0.0053302+0.12989i,-0.093715+0.030269i
0.055915-0.00053907i,-0.061394-0.0021969i,0.069038+0.0068718i,-0.081026-0.015808i,0.10432+0.036777i,-0.18042-0.11781i,-0.50428-0.70337i,0.0387+0.18062i,0.00014406-0.25118i,-0.036207-0.13125i,0.040666+0.022552i,0.029051-0.11184i,0.089154-0.027188i
-0.053732+0.0047295i,0.059196-0.0021468i,-0.066856-0.0023638i,0.078917+0.011121i,-0.10241-0.031886i,0.17901+0.11262i,0.50626+0.70754i,-0.037352-0.18574i,-0.015368+0.25637i,0.0061914+0.1252i,-0.02365-0.016105i,-0.064853+0.08743i,-0.076815+0.025435i
0.050272-0.0089632i,-0.055649+0.0065439i,0.063243-0.0022084i,-0.075285-0.0063599i,0.098858+0.026915i,-0.17583-0.10736i,-0.51016-0.71172i,0.038118+0.19066i,0.028135-0.2598i,0.026138-0.11522i,0.0039218+0.0069658i,0.099884-0.056262i,0.05843-0.027224i
-0.045944+0.01328i,0.051189-0.011041i,-0.058669+0.0069002i,0.070635+0.0014587i,-0.094228-0.021785i,0.17149+0.10192i,0.51532+0.71605i,-0.040282-0.19555i,-0.039082+0.2617i,-0.059307+0.10113i,0.016965+0.0051525i,-0.13151+0.018786i,-0.036732+0.033723i
0.041213-0.017551i,-0.046315+0.015505i,0.053668-0.011571i,-0.065546+0.0034345i,0.089144+0.016652i,-0.16668-0.096489i,-0.52097-0.72035i,0.043022+0.20021i,0.048969-0.26192i,0.091717-0.08328i,-0.0373-0.019875i,0.1571+0.023542i,0.014821-0.044743i
