0.038916-0.037016i,-0.043957+0.040462i,0.051509-0.045264i,-0.064393+0.052804i,0.091964-0.06754i,-0.1916+0.11621i,-0.78185+0.32803i,0.15234-0.029541i,-0.20987+0.019463i,-0.17416+0.052541i,0.07169-0.042571i,-0.18931+0.063046i,0.013629-0.051762i
-0.012072-0.003615i,0.016488+0.0024009i,-0.023598-0.0003984i,0.036488-0.003179i,-0.065341+0.010703i,0.1723-0.035396i,0.8781-0.16968i,-0.19514+0.015458i,0.22929+0.066577i,0.082759+0.14993i,0.0090495-0.077404i,-0.15353+0.079216i,-0.016754-0.062181i
0.014356+0.0041787i,-0.01892-0.0029169i,0.02621+0.00083295i,-0.039327+0.0028849i,0.068483-0.010666i,-0.17587+0.035925i,-0.87336+0.17018i,0.18878-0.012717i,-0.21366-0.080252i,-0.069498-0.17004i,-0.013054+0.085678i,0.15651-0.059096i,0.012116+0.078729i
-0.016417-0.0037724i,0.021119+0.0024064i,-0.028578-0.00017856i,0.041914-0.0037485i,-0.071369+0.01186i,0.17919-0.037761i,0.86881-0.16931i,-0.18245+0.0086536i,0.19687+0.094294i,0.053411+0.18569i,0.018608-0.090233i,-0.15569+0.035187i,-0.0032441-0.089008i
0.018524+0.0022983i,-0.023375-0.00076487i,0.031019-0.0016772i,-0.044595+0.0058909i,0.074383-0.014417i,-0.1827+0.041044i,-0.86398+0.16692i,0.1756-0.0031203i,-0.17843-0.10874i,-0.035638-0.19636i,-0.024488+0.090661i,0.14967-0.0080798i,-0.0072075+0.091872i
-0.020961+0.00014517i,0.025996-0.0019014i,-0.033869+0.0046182i,0.04774-0.0091846i,-0.077932+0.018194i,0.18684-0.045613i,0.85836-0.16321i,-0.16768-0.0036447i,0.15783+0.12319i,0.017381+0.20212i,0.029419-0.087254i,-0.13719-0.020765i,0.016416-0.087643i
0.023941-0.0032788i,-0.029212+0.0052915i,0.037376-0.0083185i,-0.05162+0.013273i,0.082316-0.022797i,-0.19194+0.051028i,-0.85158+0.15868i,0.15828+0.011052i,-0.13478-0.13686i,0.00034954-0.20357i,-0.0324+0.08095i,0.11758+0.049139i,-0.022083+0.078005i
-0.027532+0.0066994i,0.033097-0.0089715i,-0.041622+0.012308i,0.056326-0.017643i,-0.087633+0.027663i,0.19812-0.056658i,0.84353-0.15404i,-0.14731-0.018274i,0.10932+0.14871i,-0.016947+0.2017i,0.032963-0.073126i,-0.091073-0.074404i,0.022986-0.06558i
-0.0062116+0.0011555i,0.0034054-0.0033034i,0.0016299+0.0067957i,-0.011616-0.01312i,0.035667+0.027097i,-0.13001-0.077679i,-0.82968-0.40526i,0.21684+0.084161i,-0.28152-0.072727i,-0.094792+0.0066764i,-0.023032-0.013686i,0.098301-0.11143i,-0.052023-0.042388i
0.0076367-0.0011084i,-0.0048875+0.0030782i,-9.0937e-05-0.006325i,0.010025+0.012298i,-0.034045-0.02574i,0.12844+0.075378i,0.83204+0.4073i,-0.21832-0.09039i,0.28034+0.093626i,0.086139+0.014959i,0.030072+0.0081748i,-0.12958+0.099372i,0.053381+0.043315i
-0.0076001+0.0013167i,0.0048008-0.0031258i,0.00024724+0.0061473i,-0.010283-0.011793i,0.03446+0.024731i,-0.12916-0.073465i,-0.83175-0.40888i,0.21655+0.096053i,-0.27386-0.11347i,-0.078093-0.036206i,-0.033945-0.0026858i,0.15311-0.082873i,-0.048565-0.042451i
0.0062384-0.0020706i,-0.0032929+0.003763i,-0.0019382-0.0066114i,0.012212+0.011993i,-0.036719-0.024505i,0.13195+0.072439i,0.82908+0.40943i,-0.21183-0.10044i,0.2625+0.13124i,0.070397+0.057656i,0.035046-0.0038722i,-0.16859+0.064246i,0.038806+0.037444i
-0.0038544+0.0035465i,0.00069055-0.0051836i,0.0048091+0.0079323i,-0.015425-0.01314i,0.040392+0.025337i,-0.13632-0.072615i,-0.82456-0.40857i,0.20481+0.10308i,-0.24708-0.14616i,-0.062372-0.079596i,-0.034343+0.012196i,0.17669-0.045428i,-0.026474-0.026837i
0.0008457-0.0057515i,0.0025779+0.0073992i,-0.0083954-0.010127i,0.019414+0.015257i,-0.044919-0.027263i,0.14166+0.074047i,0.8189+0.40622i,-0.19631-0.10384i,0.22869+0.15792i,0.05312+0.10185i,0.03311-0.022386i,-0.17866+0.027659i,0.014518+0.010493i
0.0023866+0.00851i,-0.0060804-0.010224i,0.012229+0.012999i,-0.023667-0.018135i,0.049736+0.030058i,-0.14732-0.076496i,-0.81282-0.40264i,0.18716+0.10297i,-0.20842-0.16663i,-0.041785-0.12374i,-0.032611+0.033889i,0.17598-0.011371i,-0.0057738+0.010301i
-0.0055253-0.011494i,0.0094757+0.013308i,-0.01594-0.016172i,0.027782+0.02137i,-0.054399-0.033284i,0.15283+0.079484i,0.80689+0.39834i,-0.17804-0.10104i,0.18719+0.17281i,0.02779+0.14418i,0.033781-0.045603i,-0.16988-0.0037232i,0.0022976-0.033067i
0.0084011+0.014292i,-0.012582-0.016209i,0.019332+0.019171i,-0.031544-0.024446i,0.058673+0.036381i,-0.15791-0.082394i,-0.8014-0.39401i,0.16932+0.098793i,-0.16559-0.17721i,-0.011026-0.16186i,-0.036996+0.056127i,0.16108+0.018342i,-0.0048853+0.05466i
-0.011018-0.016498i,0.015405+0.018494i,-0.022413-0.021527i,0.034963+0.026856i,-0.062567-0.038793i,0.16257+0.084618i,0.79636+0.39032i,-0.161-0.096983i,0.14379+0.1806i,-0.0080893+0.17553i,0.041993-0.064073i,-0.14966-0.033253i,0.012892-0.071953i
0.013534+0.017802i,-0.018116-0.019829i,0.02537+0.022884i,-0.038244-0.028212i,0.066309+0.040097i,-0.16707-0.08569i,-0.79148-0.38779i,0.15281+0.096183i,-0.12163-0.18357i,0.028672-0.18422i,-0.047941+0.068393i,0.1351+0.048878i,-0.024396+0.082534i
-0.016202-0.018061i,0.02099+0.02006i,-0.0285-0.023074i,0.041714+0.028334i,-0.070259-0.040098i,0.1718+0.085397i,0.78632+0.38664i,-0.14424-0.096644i,0.098718+0.18635i,-0.049546+0.18746i,0.053656-0.068624i,-0.11663-0.065002i,0.036669-0.085228i
0.019287+0.017323i,-0.024312-0.019243i,0.032118+0.022158i,-0.045715-0.02729i,0.074796+0.038873i,-0.17719-0.083827i,-0.7804-0.38679i,0.13479+0.098241i,-0.074637-0.18877i,0.069492-0.1854i,-0.057912+0.064995i,0.093537+0.08066i,-0.046833+0.080344i
-0.022979-0.015823i,0.02829+0.01763i,-0.036447-0.02041i,0.050495+0.025379i,-0.080191-0.036752i,0.18353+0.081346i,0.77341+0.38781i,-0.12411-0.1005i,0.04916+0.19024i,-0.087505+0.17869i,0.059762-0.05838i,-0.065603-0.094229i,0.052556-0.069572i
0.027321+0.013921i,-0.03297-0.015606i,0.041541+0.018248i,-0.056113-0.023059i,0.086512+0.034236i,-0.1909-0.078514i,-0.76526-0.38907i,0.11214+0.10269i,-0.022406-0.18997i,0.10301-0.1684i,-0.058795+0.050093i,0.033408+0.10373i,-0.052611+0.055563i
-0.032176-0.01202i,0.038207+0.013607i,-0.047243-0.016143i,0.062398+0.020838i,-0.093569-0.031887i,0.1991+0.075951i,0.75619+0.38988i,-0.099179-0.10405i,-0.0050794+0.18707i,-0.11594+0.15573i,0.055263-0.041581i,0.0015456-0.10723i,0.047169-0.041292i
-0.013663-0.00081722i,0.013138-0.0027399i,-0.011711+0.0087469i,0.0081371-0.02005i,0.0018671+0.046037i,-0.045315-0.14391i,-0.42432-0.82227i,0.13434+0.19372i,-0.19792-0.21916i,-0.073498-0.048221i,-0.021759-0.024284i,0.16633-0.018289i,-0.029828-0.057729i
0.014669+0.00075144i,-0.014086+0.0026635i,0.012562-0.0084756i,-0.0088269+0.019503i,-0.0014595-0.045077i,0.045495+0.14226i,0.42498+0.82419i,-0.13187-0.19849i,0.18497+0.23449i,0.054367+0.062502i,0.030334+0.022429i,-0.18106-0.0097331i,0.03157+0.057576i
-0.014396+0.00023728i,0.013665-0.003578i,-0.011938+0.0092756i,0.0079144-0.020124i,0.002811+0.045409i,-0.047637-0.14206i,-0.4234-0.82441i,0.1267+0.20115i,-0.16785-0.24617i,-0.036385-0.076572i,-0.035778-0.019052i,0.18602+0.036516i,-0.028516-0.05319i
0.013111-0.0023206i,-0.012164+0.0056723i,0.010155-0.011357i,-0.0057497+0.02215i,-0.0055304-0.047299i,0.051295+0.14362i,0.42009+0.82257i,-0.11944-0.20125i,0.14747+0.25354i,0.019044+0.090833i,0.03899+0.013392i,-0.18239-0.059829i,0.022833+0.043122i
-0.011176+0.0054913i,0.0099762-0.0089424i,-0.0076432+0.014719i,0.0028041-0.025586i,0.0090938+0.050762i,-0.055881-0.14697i,-0.41573-0.81864i,0.11091+0.19871i,-0.12495-0.25638i,-0.0015997-0.10522i,-0.041189-0.0053095i,0.17201+0.078284i,-0.017268-0.02724i
0.0089602-0.0095492i,-0.0075004+0.013176i,0.0048357-0.019138i,0.00044499+0.030192i,-0.012971-0.055541i,0.060795+0.15184i,0.41101+0.8129i,-0.10193-0.19384i,0.10144+0.25497i,-0.016675+0.11915i,0.043596-0.0046582i,-0.15693-0.091463i,0.014467+0.0068351i
-0.0067507+0.014133i,0.0050477-0.017988i,-0.0020718+0.024198i,-0.0036251-0.035521i,0.016748+0.06115i,-0.065572-0.15768i,-0.40647-0.80594i,0.093155+0.18729i,-0.077893-0.25i,0.036243-0.13164i,-0.047111+0.015403i,0.139+0.099819i,-0.016311+0.01561i
0.0046914-0.018787i,-0.0027734+0.02289i,-0.00047916-0.029377i,0.0065497+0.041006i,-0.020216-0.066971i,0.069973+0.16383i,0.40239+0.79851i,-0.084936-0.17991i,0.054919+0.24241i,-0.05713+0.14145i,0.052092-0.025487i,-0.11949-0.10439i,0.02344-0.036944i
-0.0027568+0.023055i,0.00065029-0.027395i,0.0028465+0.034146i,-0.0092501-0.046076i,0.023408+0.07238i,-0.074031-0.16958i,-0.39874-0.79139i,0.077274+0.17256i,-0.032715-0.23319i,0.078855-0.1474i,-0.058262+0.033469i,0.098978+0.1064i,-0.035077+0.054034i
0.00077235-0.02657i,0.0015106+0.031108i,-0.0052353-0.038084i,0.01195+0.050273i,-0.02657-0.076877i,0.078015+0.1744i,0.39522+0.78519i,-0.069863-0.16594i,0.011111+0.22316i,-0.1005+0.14859i,0.064785-0.038224i,-0.077381-0.10684i,0.049193-0.064454i
0.0015272+0.029126i,-0.0039958-0.033808i,0.0079573+0.040953i,-0.01499-0.05334i,0.030076+0.080184i,-0.082341-0.17798i,-0.39138-0.78024i,0.062202+0.16044i,0.010292-0.21281i,0.12086-0.14459i,-0.07048+0.039196i,0.05423+0.10617i,-0.06298+0.067022i
-0.0044139-0.030708i,0.0071+0.035484i,-0.011333-0.042741i,0.018722+0.055267i,-0.034314-0.08229i,0.087438+0.1803i,0.38674+0.77656i,-0.053768-0.15608i,-0.031929+0.20221i,-0.13874+0.13557i,0.074128-0.036516i,-0.02903-0.10415i,0.07351-0.062036i
0.0080787+0.031484i,-0.011031-0.036316i,0.015589+0.043646i,-0.023396-0.056271i,0.03956+0.083437i,-0.093614-0.18164i,-0.38095-0.77384i,0.044194+0.15251i,0.054062-0.19104i,0.15317-0.12224i,-0.074794+0.030949i,0.0016457+0.099934i,-0.078433+0.051178i
-0.012562-0.031751i,0.015833+0.036625i,-0.020777-0.044015i,0.029068+0.056732i,-0.045879-0.084041i,0.10094+0.18246i,0.37395+0.77157i,-0.03341-0.14916i,-0.076619+0.17872i,-0.16361+0.10569i,0.072085-0.023702i,0.027387-0.092303i,0.076539-0.037096i
0.017718+0.03185i,-0.021352-0.036779i,0.026731+0.044248i,-0.035559-0.057085i,0.053076+0.084582i,-0.1092-0.18329i,-0.36597-0.76916i,0.021715+0.14537i,0.099108-0.16462i,0.1701-0.087162i,-0.066279+0.016122i,-0.056732+0.08007i,-0.068052+0.022767i
-0.023223-0.032082i,0.027242+0.037099i,-0.033078-0.044692i,0.042467+0.057707i,-0.060708-0.085472i,0.11791+0.18458i,0.35757+0.7661i,-0.0097595-0.1406i,-0.12065+0.14824i,-0.1732+0.067769i,0.0583-0.0093693i,0.084329-0.062497i,0.054585-0.010795i
-0.017933-0.0105i,0.020079+0.0073995i,-0.023052-0.0018041i,0.027613-0.0093041i,-0.036094+0.035987i,0.061862-0.1401i,0.15123-0.91258i,0.002353+0.23704i,-0.0444-0.29476i,-0.02699-0.078509i,-0.011983-0.036246i,0.15133+0.10364i,-0.0044045-0.062898i
0.019059+0.010227i,-0.021088-0.0071782i,0.023883+0.0016541i,-0.028168+0.0093553i,0.036198-0.0359i,-0.061108+0.13982i,-0.15144+0.9136i,0.0020252-0.23853i,0.025416+0.299i,0.0027861+0.080674i,0.020342+0.038298i,-0.14389-0.13232i,0.0075863+0.06314i
-0.019423-0.0084746i,0.021286+0.0053724i,-0.023848+0.00020537i,0.027791-0.011267i,-0.035291+0.037861i,0.059245-0.14185i,0.15288-0.91197i,-0.0078127+0.23678i,-0.0046532-0.29789i,0.019899-0.083294i,-0.026467-0.037326i,0.12887+0.15369i,-0.0082301-0.057496i
0.019341+0.0052381i,-0.021017-0.001973i,0.023322-0.0037876i,-0.026899+0.015057i,0.033842-0.041896i,-0.056809+0.14619i,-0.15493+0.90765i,0.014248-0.23171i,-0.016783+0.29136i,-0.041706+0.086483i,0.031527+0.033118i,-0.10863-0.16652i,0.0088817+0.04572i
-0.019126-0.00071537i,0.020624-0.0028095i,-0.022684+0.0088675i,0.025912-0.020485i,-0.03232+0.047742i,0.054336-0.15258i,0.15696-0.90094i,-0.020571+0.22367i,0.037794-0.27979i,0.06327-0.089831i,-0.036684-0.026165i,0.085701+0.17072i,-0.011992-0.028992i
0.019011-0.0047218i,-0.02036+0.0085771i,0.022213-0.015017i,-0.025137+0.027086i,0.031075-0.054895i,-0.052223+0.16046i,-0.1585+0.89248i,0.026203-0.21338i,-0.057492+0.26405i,-0.084976+0.092481i,0.042782+0.017557i,-0.06232-0.16718i,0.019261+0.0096975i
-0.019082+0.010597i,0.020321-0.014819i,-0.022014+0.021687i,0.024698-0.034266i,-0.030245+0.062704i,0.050636-0.16911i,0.15936-0.88306i,-0.03087+0.20175i,0.075362-0.24527i,0.10678-0.093329i,-0.050116-0.0087462i,0.040042+0.1575i,-0.031167+0.009097i
0.019257-0.016421i,-0.02042+0.021012i,0.021996-0.028312i,-0.024496+0.041409i,0.029729-0.070496i,-0.049471+0.17777i,-0.15963+0.87353i,0.034656-0.18975i,-0.091316+0.22462i,-0.12817+0.091275i,0.058344+0.0012145i,-0.0196-0.14356i,0.046789-0.024323i
-0.019303+0.021782i,0.020408-0.026715i,-0.021892+0.034418i,0.024242-0.048005i,-0.029211+0.077712i,0.048381-0.18585i,0.1597-0.86457i,-0.037962+0.17816i,0.10565-0.20314i,0.14817-0.085483i,-0.066562+0.0038487i,0.00095138+0.12707i,-0.063982+0.033602i
0.018903-0.026422i,-0.019941+0.031653i,0.02133-0.039709i,-0.023532+0.053731i,0.028248-0.084001i,-0.046879+0.19294i,-0.1601+0.85662i,0.041381-0.16751i,-0.11892+0.18153i,-0.16558+0.075585i,0.073523-0.0058021i,0.016474-0.10922i,0.079844-0.035771i
-0.017734+0.030267i,0.018673-0.035747i,-0.019933+0.044105i,0.021953-0.058504i,-0.026388+0.089275i,0.044463-0.19895i,0.16139-0.84979i,-0.045533+0.15793i,0.1317-0.16009i,0.1792-0.061767i,-0.07794+0.0046726i,-0.033402+0.090534i,-0.091384+0.031131i
0.01556-0.03342i,-0.016349+0.039113i,0.017422-0.047731i,-0.019202+0.062463i,0.023295-0.09369i,-0.040759+0.20407i,-0.16398+0.84388i,0.05088-0.14922i,-0.14442+0.13871i,-0.18807+0.044741i,0.078815-0.0011136i,0.050318-0.070866i,0.096217-0.021348i
-0.012303+0.036109i,0.012882-0.041996i,-0.013704+0.050857i,0.015172-0.065905i,-0.018851+0.097573i,0.035637-0.20864i,0.16804-0.83849i,-0.057581+0.14092i,0.15719-0.11704i,0.19172-0.025584i,-0.075698-0.0037864i,-0.067142+0.049652i,-0.093128+0.0090318i
0.0080786-0.038606i,-0.0083942+0.044693i,0.0089088-0.053804i,-0.010005+0.069182i,0.013206-0.10131i,-0.02926+0.21311i,-0.17336+0.83313i,0.065419-0.13251i,-0.16968+0.094623i,-0.19024+0.0055069i,0.068823+0.0087973i,0.083081-0.026267i,0.08237+0.0028938i
-0.0031881+0.041141i,0.0032089-0.047452i,-0.0033825+0.056844i,0.0040738-0.072591i,-0.0067708+0.10524i,0.022079-0.21784i,0.17946-0.82741i,-0.073818+0.12356i,0.18118-0.071146i,0.18429+0.014411i,-0.05908-0.012873i,-0.096677+0.0004223i,-0.065622-0.011895i
-0.0019316-0.043826i,0.0022068+0.050392i,-0.0023715-0.060105i,0.0020752+0.076271i,0.00013953-0.1095i,-0.014751+0.22298i,-0.18559+0.82114i,0.081942-0.11389i,-0.1907+0.046597i,-0.17494-0.033442i,0.047838+0.015426i,0.10607+0.027507i,0.04561+0.016426i
-0.013597-0.023394i,0.017508+0.022432i,-0.02364-0.020015i,0.034446+0.014216i,-0.05792+0.0015271i,0.14232-0.068186i,0.66569-0.6388i,-0.13151+0.19645i,0.12675-0.27071i,0.026008-0.076335i,0.0063043-0.041757i,0.053474+0.18806i,0.02018-0.057729i
0.015171+0.023288i,-0.018976-0.022281i,0.024943+0.019799i,-0.035491-0.013901i,0.058544-0.0020111i,-0.14217+0.069037i,-0.66585+0.6389i,0.1353-0.19452i,-0.14412+0.26275i,-0.047935+0.065274i,0.00013468+0.0472i,-0.030003-0.20269i,-0.016313+0.060164i
-0.016761-0.021451i,0.02047+0.02028i,-0.026285-0.017594i,0.03659+0.01143i,-0.059245+0.004856i,0.14213-0.072513i,0.66583-0.63601i,-0.13874+0.18899i,0.16029-0.24925i,0.068481-0.055597i,-0.0060163-0.048704i,0.0046948+0.20648i,0.012216-0.05614i
0.018638+0.018038i,-0.022284-0.016597i,0.027989+0.013581i,-0.038108-0.0069994i,0.060438-0.0098452i,-0.14268+0.078371i,-0.66505+0.63041i,0.14114-0.18018i,-0.17426+0.23069i,-0.088271+0.047106i,0.012469+0.046666i,0.019689-0.19982i,-0.0055588+0.046613i
-0.020974-0.013388i,0.024612+0.011594i,-0.030273-0.0081519i,0.040287+0.0010388i,-0.062398+0.016507i,0.14415-0.086086i,0.66314-0.62268i,-0.142+0.16881i,0.18531-0.20801i,0.10768-0.039133i,-0.020282-0.04211i,-0.040843+0.18416i,-0.0052437-0.033759i
0.02379+0.007953i,-0.027478-0.0057578i,0.033168+0.0018338i,-0.04317+0.0058789i,0.065184-0.024211i,-0.14661+0.094956i,-0.65999+0.61363i,0.14118-0.15579i,-0.19308+0.18243i,-0.12665+0.030735i,0.029675+0.036439i,0.057278-0.16171i,0.02056+0.02046i
-0.026929-0.0022106i,0.030718-0.00039848i,-0.036501+0.0048199i,0.046573-0.013151i,-0.068599+0.032294i,0.14986-0.10424i,0.65581-0.60409i,-0.13889+0.14211i,0.19768-0.15524i,0.14465-0.020943i,-0.040214-0.031114i,-0.06848+0.13495i,-0.03937-0.0096282i
0.030079-0.0034303i,-0.034+0.0064363i,0.039915-0.011335i,-0.050111+0.020262i,0.072227-0.040191i,-0.15343+0.11332i,-0.6511+0.59477i,0.13566-0.1286i,-0.19964+0.12757i,-0.1607+0.0090203i,0.050887+0.027326i,0.074859-0.10621i,0.059435+0.0035226i
-0.032837+0.0087006i,0.03689-0.012068i,-0.042945+0.017404i,0.05328-0.026877i,-0.075517+0.047536i,0.15673-0.12178i,0.64655-0.58613i,-0.13226+0.11582i,0.19976-0.10023i,0.17358+0.0053355i,-0.060324-0.02574i,-0.07748+0.077242i,-0.077769-0.0032219i
0.034797-0.013506i,-0.038953+0.017195i,0.045117-0.022921i,-0.055567+0.032887i,0.077906-0.05421i,-0.15912+0.12949i,-0.64283+0.57833i,0.12946-0.10394i,-0.19887+0.073639i,-0.18209-0.021901i,0.067109+0.026368i,0.077678-0.049069i,0.091307+0.0083809i
-0.035636+0.017921i,0.039841-0.0219i,-0.046059+0.027978i,0.056564-0.038393i,-0.078949+0.06033i,0.16013-0.13659i,0.6405-0.57121i,-0.12789+0.092831i,0.19769-0.04779i,0.18527+0.039961i,-0.070108-0.028615i,-0.076632+0.021966i,-0.097603-0.017329i
0.035195-0.022133i,-0.039384+0.026388i,0.045584-0.032802i,-0.056068+0.043647i,0.078419-0.066174i,-0.15949+0.14338i,-0.63985+0.56443i,0.12786-0.082111i,-0.19657+0.022425i,-0.18264-0.058461i,0.068738+0.031458i,0.075019+0.0043184i,0.095395+0.027487i
-0.033515+0.026369i,0.037623-0.030906i,-0.043736+0.037665i,0.054124-0.048949i,-0.076368+0.072076i,0.15726-0.15024i,0.64082-0.55757i,-0.12932+0.071323i,0.19548+0.0028102i,0.17432+0.076241i,-0.063109-0.033746i,-0.072827-0.030216i,-0.084906-0.035999i
0.030827-0.030807i,-0.034808+0.035649i,0.040784-0.04278i,-0.051026+0.054534i,0.073113-0.078299i,-0.15379+0.15747i,-0.64301+0.5503i,0.13185-0.060115i,-0.19395-0.02815i,-0.16101-0.092298i,0.054001+0.034516i,0.069373+0.055945i,0.067802+0.040434i
-0.027513+0.035499i,0.031345-0.040677i,-0.037165+0.048213i,0.047247-0.060478i,-0.069171+0.084927i,0.14965-0.16515i,0.64581-0.54253i,-0.13472+0.048387i,0.19122+0.053538i,0.14381+0.106i,-0.042691-0.033271i,-0.06353-0.081184i,-0.04682-0.03938i
0.024014-0.040335i,-0.02771+0.04587i,0.033392-0.053838i,-0.04334+0.066645i,0.065146-0.091814i,-0.14551+0.17312i,-0.64847+0.53442i,0.13713-0.036377i,-0.18645-0.078529i,-0.12405-0.11724i,0.030666+0.030133i,0.05409+0.1049i,0.025158+0.032797i
5.4231e-05-0.032301i,0.0038375+0.034199i,-0.010407-0.036333i,0.022784+0.038676i,-0.051321-0.040899i,0.15927+0.039838i,0.91147-0.11109i,-0.21742+0.08592i,0.25496-0.15364i,0.067094-0.045103i,0.026684-0.035106i,-0.080364+0.18617i,0.039915-0.043547i
0.0018355+0.03286i,-0.0056883-0.034653i,0.012184+0.03663i,-0.024431-0.038733i,0.052747+0.040566i,-0.16031-0.03875i,-0.91105+0.11078i,0.21874-0.081855i,-0.26404+0.13692i,-0.079789+0.023995i,-0.023512+0.042689i,0.10572-0.18037i,-0.037555+0.0487i
-0.0045856-0.031869i,0.0084656+0.033455i,-0.014966-0.035158i,0.027182+0.036884i,-0.0554-0.038161i,0.16274+0.03538i,0.90898-0.10791i,-0.21795+0.074805i,0.26924-0.11606i,0.091853-0.0050704i,0.018872-0.046416i,-0.12603+0.16458i,0.032156-0.048052i
0.008347+0.029594i,-0.012337-0.030895i,0.018942+0.032235i,-0.031249-0.03348i,0.059525+0.034075i,-0.16684-0.030175i,-0.90493+0.103i,0.21464-0.065402i,-0.26998+0.091996i,-0.10375-0.012143i,-0.011976+0.047196i,0.13922-0.14075i,-0.02211+0.043512i
-0.013101-0.02642i,0.017288+0.027391i,-0.024102-0.028317i,0.036628+0.02902i,-0.065126-0.028864i,0.17264+0.02376i,0.89885-0.096768i,-0.20873+0.054505i,0.26608-0.065918i,0.11551+0.028413i,0.0026338-0.046328i,-0.14416+0.11153i,0.0070331-0.037716i
0.018639+0.022763i,-0.023098-0.023391i,0.030212+0.023889i,-0.04307-0.024039i,0.071938+0.023119i,-0.17986-0.016798i,-0.89105+0.089977i,0.20055-0.043021i,-0.25789+0.039089i,-0.12664-0.044559i,0.0086581+0.04518i,0.14084-0.079791i,0.012059+0.033361i
-0.024584-0.018975i,0.029365+0.019274i,-0.036842-0.019364i,0.050114+0.018987i,-0.079459-0.01734i,0.18794+0.0098521i,0.88215-0.08327i,-0.19078+0.031722i,0.24616-0.012608i,0.13622+0.06119i,-0.020798-0.044859i,-0.13029+0.048141i,-0.032918-0.032524i
0.030457+0.015277i,-0.035577-0.015278i,0.043441+0.015i,-0.057162-0.014146i,0.087038+0.011837i,-0.19616-0.00327i,-0.87293+0.07705i,0.18033-0.021099i,-0.23195-0.012759i,-0.14306-0.078514i,0.032302+0.045957i,0.11431-0.018542i,0.052537+0.036142i
-0.035765-0.011721i,0.041205+0.01146i,-0.04944-0.010856i,0.063596+0.0095798i,-0.094001-0.0066813i,0.20379-0.0028671i,0.86423-0.071415i,-0.17014+0.011292i,0.21639+0.03666i,0.14595+0.096242i,-0.041617-0.048431i,-0.095-0.0079069i,-0.067812-0.04377i
0.040094+0.0082057i,-0.045807-0.0077055i,0.054361+0.0068079i,-0.0689-0.0051515i,0.099782+0.0017197i,-0.21019+0.0087297i,-0.85676+0.066178i,0.16102-0.0021098i,-0.20047-0.059145i,-0.14393-0.11362i,0.047462+0.051636i,0.074368+0.030964i,0.076239+0.053678i
-0.043189-0.0045208i,0.049108+0.0037876i,-0.057909-0.0026057i,0.072754+0.00058487i,-0.10403+0.0033543i,0.21498-0.01466i,0.85094-0.060956i,-0.15347-0.0068666i,0.18486+0.080537i,0.13652+0.1296i,-0.049096-0.054521i,-0.053904-0.051032i,-0.07649-0.063272i
0.04499+0.00042994i,-0.051046+0.00055184i,0.060019-0.0020334i,-0.075086+0.0044325i,0.10667-0.0088881i,-0.21808+0.021048i,-0.84688+0.05531i,0.14762+0.016123i,-0.16981-0.10125i,-0.12382-0.14304i,0.046465+0.055914i,0.034379+0.068806i,0.068708+0.069721i
-0.045635+0.0042429i,0.051771-0.0055059i,-0.060852+0.0073225i,0.076074-0.010137i,-0.10789+0.015147i,0.21969-0.028192i,0.84434-0.048904i,-0.14321-0.026033i,0.15514+0.1216i,0.10647+0.153i,-0.040197-0.054849i,-0.015825-0.084868i,-0.054473-0.070661i
0.045413-0.0095391i,-0.051592+0.011123i,0.060743-0.013318i,-0.076083+0.016596i,0.1081-0.022208i,-0.22027+0.036183i,-0.84283+0.041632i,0.13972+0.036707i,-0.14037-0.14159i,-0.085597-0.15894i,0.031425+0.050844i,-0.0022662+0.099347i,0.036434+0.064787i
-0.044681+0.015324i,0.050894-0.017261i,-0.060109+0.01987i,0.075564-0.023649i,-0.10779+0.029903i,0.22035-0.044838i,0.84174-0.033697i,-0.13648-0.047907i,0.12487+0.16084i,0.062491+0.16086i,-0.02151-0.044053i,0.020605-0.11172i,-0.017697-0.052202i
0.043779-0.021286i,-0.050042+0.023589i,0.059342-0.026624i,-0.074944+0.030914i,0.10743-0.037814i,-0.22044+0.053698i,-0.84053+0.025611i,0.13288+0.059045i,-0.10813-0.17858i,-0.038403-0.15931i,0.011711+0.035279i,-0.039705+0.12082i,0.0011209+0.034439i
0.018498-0.031325i,-0.016488+0.035515i,0.012485-0.041564i,-0.0039873+0.051373i,-0.01743-0.070998i,0.10392+0.13643i,0.78959+0.45674i,-0.22297-0.053207i,0.29394+0.015355i,0.083427+0.0035042i,0.0399-0.017094i,-0.18154+0.094768i,0.051553-0.023409i
-0.016795+0.032786i,0.014737-0.036864i,-0.010685+0.042741i,0.002134-0.052277i,0.019348+0.071456i,-0.10598-0.13604i,-0.78852-0.45688i,0.22113+0.057396i,-0.29132-0.034365i,-0.082756-0.028002i,-0.040632+0.025001i,0.19445-0.073497i,-0.052835+0.029735i
0.013579-0.033298i,-0.011366+0.037209i,0.0071387-0.042851i,0.0016173+0.052045i,-0.023354-0.070696i,0.11038+0.13435i,0.78477+0.45844i,-0.216-0.063117i,0.2833+0.05489i,0.082637+0.050025i,0.038149-0.03021i,-0.19744+0.047207i,0.048762-0.032112i
